 	tout	le	village	connaît	cette	jeune	fille	à	cause	de	son	attitude	dégagée	</S>
p	0.182854	0.462502	0.274463	0.00528704	0.0380185	0.00664101	0.00129884	0.00551681	0.00541589	0.00967799	0.00637845	0.00146318	0.000432683	5.10197e-05
o	0.039598	0.0990309	0.83718	0.017657	0.000909245	0.000487775	0.000391405	0.000306554	0.00128731	0.00148494	0.00052809	0.000232798	0.000414779	0.000491147
o	0.00314363	0.0203026	0.961965	0.00956452	0.00301198	2.67337e-05	7.10183e-05	0.00012591	0.000479546	0.000634088	0.000175518	0.000247991	5.49601e-05	0.00019664
é	0.156822	0.479649	0.133459	0.095341	0.0744437	0.00125431	0.0020242	0.0078025	0.00662942	0.00685605	0.00415896	0.00603517	0.00471525	0.0208095
t	0.0471391	0.158572	0.140673	0.473549	0.0918229	0.00436929	0.00917536	0.0181884	0.0155469	0.0106848	0.00523855	0.00440876	0.00213308	0.0184989
s	0.0222181	0.0560589	0.294609	0.527069	0.045765	0.002036	0.00989517	0.00683577	0.0124352	0.00897511	0.00431119	0.0020355	0.000669275	0.00708731
ω	0.224873	0.255446	0.0946503	0.233877	0.0855096	0.00348457	0.00538809	0.0232047	0.0162038	0.0199025	0.0188296	0.00446159	0.00361411	0.0105544
y	0.0433718	0.108157	0.0282743	0.558559	0.090776	0.0136675	0.0108998	0.0174312	0.0103015	0.00923307	0.00743232	0.00378181	0.0096872	0.0884277
é	0.02733	0.0657172	0.0711367	0.482432	0.042216	0.0126659	0.0100019	0.0587221	0.014421	0.0177955	0.0346553	0.0430421	0.018004	0.101861
e	0.0155635	0.0164441	0.01634	0.272828	0.384624	0.058626	0.019379	0.0386298	0.0152234	0.0197992	0.021177	0.0349392	0.0518776	0.0345487
y	0.000980678	0.00272517	0.00299607	0.562419	0.222849	0.0326415	0.126292	0.00841467	0.0153416	0.00674514	0.0015584	0.00459325	0.0025877	0.00985662
é	0.000412646	0.00230601	0.00419751	0.656226	0.246776	0.0118084	0.0245931	0.00518009	0.00646481	0.00383784	0.00168851	0.0136432	0.00349811	0.0193684
b	0.00055526	0.00200905	0.00453784	0.433707	0.294836	0.0100172	0.0110885	0.0155513	0.0233021	0.0166707	0.0111384	0.0090411	0.00886749	0.158677
h	0.0204011	0.0267565	0.00803612	0.542374	0.137694	0.0153817	0.0315295	0.0358318	0.065065	0.0572614	0.0213022	0.00289042	0.00210723	0.0333686
á	0.0193799	0.0225573	0.00933278	0.13769	0.068699	0.0031438	0.0170858	0.0442751	0.0809544	0.073026	0.055793	0.0323087	0.0297053	0.406049
m	0.00941662	0.00718671	0.00234342	0.0203106	0.275866	0.12781	0.122908	0.216325	0.0643616	0.0385796	0.0227199	0.0234665	0.0105338	0.0581718
w	0.000287356	0.000916535	1.88021e-05	0.000373643	0.00722185	0.293046	0.526629	0.0921107	0.0313256	0.0121848	0.00775692	0.00530324	0.00832452	0.0145017
á	0.000111683	0.000231661	4.23648e-05	0.000526005	0.00280546	0.509777	0.446763	0.0186014	0.0110363	0.00426213	0.00204729	0.00153563	0.00103318	0.0012265
n	0.00213813	0.0012786	4.15945e-06	2.89455e-05	0.00489627	0.766932	0.168486	0.0294461	0.0074253	0.00438297	0.00425356	0.00113536	0.0066122	0.00298017
a	0.00409389	0.0123694	0.000140034	0.000656165	0.0319657	0.505508	0.227527	0.0573886	0.025644	0.013103	0.0160375	0.00713369	0.0300441	0.0683889
o	0.00476923	0.00695134	0.00272873	0.0101903	0.399894	0.026759	0.0223607	0.245124	0.09363	0.0868446	0.0446237	0.032725	0.00779532	0.0156043
y	0.00174531	0.0134539	0.0123564	0.050296	0.220688	0.00890001	0.0858377	0.0924734	0.215564	0.0961919	0.0320246	0.138101	0.00988984	0.0224783
ú	0.00036379	0.00277907	0.00257062	0.0300331	0.342221	0.0218502	0.0324899	0.0591119	0.0490284	0.0335371	0.0229872	0.362899	0.0182532	0.0218749
r	0.000641583	0.0019775	0.000396499	0.0112065	0.377798	0.0530844	0.0364949	0.121335	0.0925578	0.0848398	0.0420079	0.110356	0.00703487	0.0602683
u	0.000859384	0.00219216	0.00112083	0.00267177	0.13837	0.0428641	0.0519983	0.0958227	0.271633	0.185956	0.130946	0.0315279	0.0129475	0.03109
w	0.000226379	0.00029346	5.51236e-05	0.00107517	0.0329501	0.00353769	0.00716386	0.211105	0.159635	0.186857	0.159715	0.0524093	0.0506759	0.1343
ó	0.0026588	0.00630895	0.00115094	0.0100979	0.0286178	0.0034179	0.00645292	0.0919949	0.18697	0.171403	0.271997	0.107109	0.0393857	0.0724359
m	0.000533244	0.000566275	0.000279907	0.00284783	0.0225508	0.00150475	0.0016621	0.0789784	0.10246	0.18363	0.120974	0.196159	0.0668893	0.220965
