 	je	recherche	la	vase	du	protoptère	avec	le	harpon	</S>
n	0.92432	0.0572773	0.0128623	0.000341004	0.00256746	0.000395642	0.000294377	0.00187322	4.11981e-05	2.74076e-05
g	0.90924	0.0902461	0.000298635	1.49195e-06	7.0536e-05	5.36687e-05	3.90545e-06	1.81172e-05	6.51902e-05	2.62196e-06
á	0.500897	0.492615	0.00382389	0.000158457	0.000114373	0.00156849	1.428e-05	2.55526e-05	0.000777328	5.79855e-06
í	0.100144	0.565798	0.134439	0.00255828	0.0148321	0.020302	0.0317394	0.00836258	0.0507589	0.0710661
m	0.0120632	0.102792	0.757252	0.110317	0.00314374	0.00124429	0.00181816	0.00201367	0.00230595	0.00704934
o	0.000258283	0.0286403	0.813757	0.111325	0.0227181	0.00562908	0.003525	0.00437627	0.000738197	0.0090328
k	0.00151874	0.00136672	0.240912	0.72935	0.00497767	0.00244986	0.00149366	0.000760272	0.000180792	0.0169903
i	9.9902e-06	5.5324e-05	0.0339589	0.963271	0.000746301	0.000107807	0.000136098	0.000284908	3.21576e-05	0.00139764
n	1.76528e-05	0.000256743	0.17227	0.803928	0.0140922	0.00147853	0.00143551	0.0017649	4.21921e-05	0.00471416
d	0.00138413	0.00162332	0.198305	0.627479	0.0995841	0.00642919	0.0156302	0.00165251	0.000222522	0.0476905
á	0.0236493	0.00854137	0.163811	0.335377	0.181877	0.0656074	0.0302396	0.00371388	0.00124877	0.185935
n	0.0079156	0.00754981	0.0314451	0.0100088	0.690062	0.204547	0.0216619	0.0164774	0.00776497	0.00256739
y	0.03201	0.0224831	0.00427227	0.000360865	0.181871	0.501156	0.0587515	0.00759866	0.154787	0.0367097
ω	0.014081	0.0104787	0.00392149	0.000274521	0.0939845	0.773236	0.0154879	0.0060944	0.071728	0.0107131
m	0.000922317	0.0111764	0.0720369	0.0334707	0.124942	0.644032	0.00763078	0.0126904	0.0676217	0.0254769
b	0.000516025	0.000192034	0.00415694	0.00419359	0.197775	0.0963836	0.176789	0.0305713	0.00310472	0.486317
ώ	0.000144518	9.59377e-05	0.00577665	0.00363857	0.167887	0.222192	0.326289	0.0682816	0.00642437	0.19927
</S>	0.000119358	0.000186805	0.00697494	0.0027255	0.14227	0.072388	0.281505	0.212699	0.0345488	0.246583
