 	le	forgeron	bat	le	fer	sur	l'	enclume	</S>
o	0.981169	0.0161006	0.00060748	0.000378679	0.000170321	0.000854824	0.00053081	0.00013898	4.93796e-05
k	0.0685824	0.914896	0.00112901	0.000393606	0.000680451	0.000317698	0.00113552	0.00979846	0.00306676
u	0.00304971	0.988801	0.000309828	0.000225703	0.000688597	0.000556751	0.00075954	0.00424015	0.00136891
b	0.00674183	0.987827	0.000984888	0.000272576	0.00154119	0.000208578	0.000168946	0.00190942	0.000345269
h	0.252118	0.0698632	0.185067	0.0227202	0.00822267	0.0580302	0.128749	0.112776	0.162453
a	0.661996	0.106864	0.166793	0.0204809	0.00488398	0.00569721	0.00306612	0.00394426	0.0262743
l	0.085441	0.0011511	0.674356	0.164632	0.010266	0.0134214	0.00689644	0.00026314	0.0435733
á	0.087207	0.000475107	0.114778	0.201484	0.0521837	0.0334526	0.0653307	0.0141033	0.430985
a	0.461091	0.000939438	0.185585	0.254999	0.0510733	0.0107701	0.00814376	0.00351458	0.023884
b	0.0186517	0.0141631	0.384515	0.272459	0.289082	0.0074113	0.00130433	0.00181668	0.0105962
έ	0.0107478	0.0358845	0.662614	0.175142	0.0796953	0.0284157	0.00214081	0.000159711	0.00520005
r	0.00792728	0.00313743	0.473367	0.230849	0.185341	0.0356572	0.00547389	0.00384629	0.0544014
έ	0.0625292	0.00592961	0.382143	0.269214	0.0989299	0.0713923	0.0374518	0.00551329	0.066897
έ	0.0055778	0.000603547	0.128485	0.42207	0.229012	0.152209	0.0378792	0.012587	0.0115771
e	0.00453094	0.00110477	0.0213031	0.0764708	0.422064	0.308445	0.0858255	0.0701588	0.0100967
d	0.00199377	0.00375936	0.00780675	0.0183496	0.606042	0.201804	0.0260861	0.127746	0.00641197
u	0.000353429	0.000535095	0.00248838	0.0244711	0.646561	0.155305	0.0242953	0.0717309	0.0742601
n	0.000949177	2.27762e-05	0.00439731	0.0472806	0.567538	0.236975	0.0739867	0.056151	0.0126994
g	0.000666854	1.1324e-05	0.00475326	0.0432621	0.171255	0.295449	0.363252	0.08211	0.0392405
a	0.00360218	1.16846e-05	0.0114058	0.0302656	0.0618256	0.105745	0.285155	0.462098	0.0398912
m	0.00118772	8.52732e-06	0.00340316	0.0132917	0.0129764	0.145786	0.570818	0.0991191	0.15341
ó	0.00224985	0.000197246	0.00506271	0.00736545	0.0113298	0.0972896	0.497484	0.0691343	0.309887
n	0.0010915	0.000102714	0.00125881	0.00280835	0.00409202	0.0275411	0.168437	0.700036	0.0946325
d	0.000564818	3.1364e-06	0.00178051	0.00210702	0.00379396	0.00614512	0.0902672	0.848257	0.0470813
z	6.95074e-05	2.95145e-06	0.000118843	0.000284201	0.00185909	0.00177849	0.0394707	0.906361	0.0500554
o	1.41717e-06	6.77922e-06	1.27367e-05	4.34577e-05	0.00172946	0.000681518	0.0055383	0.983914	0.00807208
n	3.1653e-05	0.000159505	0.000351664	0.00111367	0.0179526	0.00784891	0.0150141	0.627228	0.3303
d	0.00155707	0.000628702	0.00345095	0.00329075	0.0150068	0.0337993	0.102921	0.544539	0.294807
o	0.000550015	9.811e-05	0.000620513	0.000539997	0.00438215	0.00691777	0.0405151	0.870869	0.0755078
</S>	0.0075428	5.19996e-05	0.00473486	0.00374043	0.00350593	0.0224121	0.195316	0.147769	0.614927
