 	qui	va	me	faire	goûter	les	beignets	</S>
o	0.604706	0.342034	0.0182962	0.0285789	0.000331985	0.00539999	0.000154103	0.000498907
m	0.0768101	0.756119	0.0324833	0.0154157	0.0705145	0.00535158	0.031939	0.011367
a	0.0198564	0.311903	0.00584598	0.00183159	0.659284	0.000534001	0.000128336	0.000616243
m	0.132484	0.523942	0.0185531	0.018813	0.277391	0.00507858	0.00171896	0.0220204
b	0.075487	0.18238	0.0747108	0.0597007	0.577977	0.00679511	0.000281899	0.0226675
i	0.22327	0.337432	0.0710761	0.0944303	0.0962111	0.0432522	0.00252547	0.131803
s	0.0887537	0.117196	0.242631	0.4763	0.00378654	0.0303712	0.0178969	0.0230651
i	0.13744	0.1227	0.281479	0.213215	0.0279401	0.038435	0.061647	0.117145
n	0.00486193	0.00687786	0.362966	0.528789	0.00476314	0.0723436	0.0042844	0.015114
g	0.0234901	0.00466118	0.814381	0.0556157	0.00288119	0.0155906	0.0018299	0.08155
á	0.00638756	0.00460883	0.840938	0.0753714	0.0175063	0.0173031	0.00133217	0.0365526
i	0.0114163	0.00466108	0.0893971	0.48635	0.0102053	0.355977	0.00903087	0.0329624
k	0.00303238	0.00771131	0.0169449	0.0857497	0.155122	0.307287	0.293989	0.130164
á	0.00267648	0.00801392	0.0179767	0.157172	0.0489237	0.336598	0.300578	0.12806
t	0.000405159	0.00179928	0.0107147	0.0347819	0.0238309	0.141283	0.665502	0.121683
í	0.00250059	0.00459141	0.0183984	0.0765039	0.00354497	0.11653	0.600596	0.177334
n	0.000635346	0.00355836	0.0287131	0.053323	0.00632197	0.0781416	0.664503	0.164804
d	0.00297572	0.00313078	0.0161212	0.0182222	0.00196881	0.113624	0.414052	0.429905
a	0.00409375	0.00229166	0.0458651	0.00706623	0.0037842	0.0311404	0.187789	0.717969
</S>	0.00233935	0.00141682	0.0126333	0.0183332	0.00133342	0.0708372	0.0844287	0.808678
