 	cela	a	l'	apparence	d'	un	homme	mais	c'	est	un	esprit	</S>
e	0.417607	0.360129	0.0628394	0.0262227	0.0655271	0.0200276	0.0286967	0.00685817	0.00585878	0.00350303	0.00240334	0.00012453	0.000202561
d	0.047769	0.656163	0.128954	0.0824418	0.013541	0.00646145	0.0059732	0.0135799	0.00213651	0.0095109	0.00820776	0.0228824	0.00237978
í	0.0890752	0.625958	0.163963	0.013818	0.0082542	0.0170448	0.00305199	0.0381016	0.00182328	0.00209114	0.000762475	0.00947211	0.0265843
m	0.0568862	0.158119	0.45441	0.0776701	0.0395624	0.0197467	0.0100921	0.00911192	0.0143244	0.0132544	0.00772808	0.0154929	0.123602
b	0.108044	0.161412	0.335379	0.0352934	0.121862	0.140843	0.0366285	0.0248592	0.0143532	0.00636071	0.00255365	0.000516929	0.0118944
v	0.117915	0.0672765	0.18603	0.167338	0.17014	0.116195	0.0320657	0.0301254	0.0227988	0.0130653	0.00345597	0.000938868	0.0726555
a	0.0479348	0.0350844	0.10191	0.269303	0.230049	0.108851	0.0160929	0.0179994	0.01446	0.00946611	0.00377301	0.00181263	0.143263
l	0.0240331	0.0104818	0.0766724	0.36656	0.323487	0.0405727	0.0158094	0.00365587	0.00691085	0.00369317	0.0013823	0.00322886	0.123512
a	0.11787	0.103014	0.164735	0.0849481	0.155787	0.116193	0.0355156	0.0467584	0.0205407	0.0154851	0.00569886	0.00967812	0.123776
m	0.038703	0.0145168	0.0796655	0.0180578	0.331768	0.291417	0.122275	0.0364267	0.0184798	0.00798326	0.00803757	0.00175053	0.0309195
o	0.0201806	0.0186717	0.0475396	0.0123928	0.137193	0.266268	0.168186	0.143171	0.0611632	0.00830873	0.00216365	0.0108602	0.103901
r	0.0192873	0.0423549	0.0923005	0.0128573	0.133589	0.264535	0.191972	0.184826	0.0165575	0.00449006	0.00533282	0.017511	0.0143872
o	0.00705107	0.00685832	0.0162151	0.00176071	0.026594	0.34142	0.0352666	0.536781	0.0116587	0.00246667	0.00312848	0.00305851	0.00774059
n	0.0012634	0.00132855	0.00669815	0.000519984	0.0260852	0.270693	0.0545279	0.610987	0.0121383	0.00163994	0.0018317	0.00317312	0.00911329
d	0.015539	0.0214056	0.0468351	0.00583818	0.0420017	0.245247	0.0522689	0.452698	0.0210801	0.0113907	0.0107243	0.00334925	0.071622
z	0.00336728	0.00413541	0.00724521	0.00162674	0.0134901	0.126435	0.0240489	0.746778	0.0217512	0.00827247	0.00557522	0.00752243	0.029752
á	0.00116028	0.00211614	0.00672072	0.00250246	0.0169248	0.100684	0.0188198	0.778867	0.0232091	0.00695041	0.00275945	0.00657188	0.0327135
á	0.0101535	0.00691866	0.0417554	0.00344974	0.102306	0.130627	0.186188	0.174778	0.212975	0.0639931	0.0306366	0.00379681	0.0324218
é	0.00321306	0.00577128	0.0133908	0.00316392	0.0193812	0.0299221	0.0454462	0.0719827	0.22444	0.268683	0.248809	0.027288	0.0385084
d	0.00547953	0.0114423	0.0204778	0.00353529	0.0186468	0.0187543	0.0263098	0.0397076	0.105464	0.236806	0.350893	0.140556	0.0219279
í	0.0024254	0.0107839	0.0156945	0.00189345	0.00794429	0.0194855	0.0148907	0.0645975	0.0489342	0.17035	0.105995	0.174455	0.36255
o	0.00203288	0.00123377	0.00772084	0.00180759	0.00841451	0.0196076	0.028184	0.0259748	0.0939022	0.190796	0.306999	0.190181	0.123147
l	0.000232123	0.00110562	0.00369469	0.00880871	0.00233514	0.00270235	0.00290661	0.00476829	0.00328013	0.0196775	0.078376	0.855899	0.0162141
í	0.000192666	0.00105034	0.00280855	0.00125956	0.00152618	0.00195707	0.000456113	0.00220929	0.000546889	0.0147312	0.0860089	0.868694	0.0185592
m	0.000174667	0.000341333	0.00210406	0.000844591	0.00317181	0.00436517	0.00157034	0.00708145	0.0104284	0.04421	0.111078	0.703003	0.111627
i	0.000219671	0.000195486	0.00126165	0.00202423	0.00370557	0.00628511	0.00603024	0.0100704	0.0263284	0.090692	0.126733	0.507396	0.219058
</S>	0.0012546	0.000454966	0.00289258	0.0019646	0.00777632	0.01124	0.0119289	0.0113258	0.055349	0.103884	0.106285	0.122334	0.56331
