 	c'	est	lui	qui	a	provoqué	l'	autre	</S>
o	0.311688	0.24982	0.137638	0.0579246	0.149721	0.0274514	0.0524517	0.00180765	0.0114976
l	0.055998	0.226195	0.0271761	0.0183469	0.0577021	0.310529	0.0360087	0.175451	0.0925937
ώ	0.0115661	0.066232	0.0346291	0.0297059	0.0517988	0.173345	0.0233855	0.147387	0.46195
b	0.0149619	0.05126	0.0474519	0.0220554	0.0961999	0.304982	0.102343	0.147448	0.213298
h	0.158436	0.20651	0.138045	0.127356	0.134974	0.0252662	0.103774	0.046463	0.0591748
i	0.215119	0.200408	0.147261	0.0470024	0.0488671	0.155991	0.044003	0.021025	0.120324
o	0.0381797	0.0382335	0.186959	0.190741	0.228073	0.0787199	0.134275	0.0435067	0.0613117
b	0.00242701	0.0057205	0.00440538	0.0182897	0.0589509	0.300852	0.113572	0.380708	0.115074
i	0.00866857	0.00986825	0.00486411	0.0099868	0.0590115	0.616384	0.0351723	0.192221	0.0638236
a	0.00104685	0.00217757	0.00480908	0.0121555	0.0369481	0.597043	0.0564766	0.0921717	0.197171
á	0.0134243	0.0117336	0.0302816	0.0742416	0.126723	0.0363808	0.375453	0.234677	0.0970841
d	0.00560348	0.00549044	0.00320758	0.00975778	0.0276314	0.0271411	0.287113	0.310344	0.323711
z	0.00122611	0.000992196	0.00134235	0.00571096	0.00952788	0.00856225	0.0672758	0.133597	0.771766
e	0.00484432	0.00353723	0.0150792	0.140076	0.0865467	0.00113052	0.0592254	0.548996	0.140564
w	0.00520575	0.00552008	0.0571724	0.117359	0.135341	0.0560458	0.206045	0.104358	0.312953
a	0.0182861	0.0350162	0.108954	0.119973	0.212205	0.0463651	0.208401	0.129769	0.12103
</S>	0.00286582	0.00300005	0.0176182	0.0300415	0.0462988	0.0105736	0.166437	0.0804785	0.642686
