 	tu	vantes	ta	force	mais	si	on	commence	le	combat	tuseras	le	premier	à	verser	les	larmes	</S>
n	0.649421	0.00976849	0.0626685	0.107119	0.136476	0.0130773	0.0116841	0.0037837	0.00311857	0.000792184	0.000443768	0.000532828	0.000253886	0.000345053	7.64831e-05	0.000273865	0.000132136	3.36459e-05
ω	0.836693	0.00387567	0.0686954	0.00288169	0.0843402	0.00196263	0.00110591	0.000198724	0.000138138	1.53457e-05	7.90667e-06	2.64745e-05	5.0928e-06	1.15562e-05	1.36201e-06	7.48974e-06	3.07343e-05	2.37424e-06
l	0.393406	0.430509	0.0237656	0.0222059	0.0258945	0.0352944	0.0187044	0.0118733	0.00831013	0.00145351	0.00629692	0.00329622	0.00240517	0.00276311	0.000568796	0.00102264	0.00443758	0.00779279
ó	0.0428079	0.0280961	0.023694	0.0480867	0.0285334	0.103698	0.101085	0.0595454	0.0580104	0.0104789	0.0142766	0.0499782	0.0139523	0.072243	0.0210251	0.0433322	0.0132759	0.267881
o	0.301816	0.128314	0.113762	0.0976807	0.0556805	0.0543734	0.0343267	0.0218035	0.0253379	0.00414717	0.00517921	0.0269511	0.00684738	0.0300554	0.00480549	0.0131021	0.0108084	0.0650081
d	0.0220505	0.930233	0.00602683	0.00395135	0.00123302	0.00381129	0.00252734	0.00650165	0.00246439	0.00385291	0.00411353	0.000695939	0.00211224	0.00121758	0.00295548	0.000917879	0.000149087	0.00518555
z	0.00421142	0.978748	0.00192649	0.000206275	0.000245608	0.000123919	0.000273346	0.00193722	0.000683676	0.0032343	0.00474096	0.000137708	0.00108565	0.000214443	0.000759236	0.000159434	0.000257509	0.00105516
ω	0.0578073	0.855428	0.0244772	0.00502456	0.00564178	0.00214044	0.00139885	0.00578266	0.00305266	0.00820808	0.0142565	0.00122509	0.00618349	0.00166628	0.00322175	0.000691876	0.0014126	0.00238126
ώ	0.0114657	0.649182	0.155131	0.0166599	0.00495635	0.00214193	0.00331149	0.0176807	0.0363549	0.0101251	0.0174658	0.0110136	0.0133658	0.0167264	0.0134116	0.00525007	0.00256859	0.0131895
o	0.0703203	0.0509481	0.356659	0.270859	0.0299139	0.0252127	0.0192146	0.0182493	0.0318849	0.00377538	0.00285722	0.0239591	0.00410125	0.0237924	0.00895275	0.0218212	0.00244856	0.0350307
