 	les	aliments	gras	font	grossir	</S>
b	0.521095	0.436216	0.0279021	0.0143139	0.000106316	0.000366737
e	0.10472	0.706952	0.152049	0.0357983	0.0001036	0.000377657
a	0.076907	0.743497	0.153092	0.0213036	0.000957105	0.00424354
b	0.583711	0.186989	0.0564501	0.0706177	0.00262538	0.0996067
á	0.0352496	0.131308	0.509547	0.259525	0.000656614	0.0637131
w	0.0884643	0.32565	0.333421	0.076443	0.0141421	0.161879
ú	0.06604	0.107161	0.296973	0.349617	0.00574048	0.174468
r	0.395189	0.088514	0.412079	0.0428551	0.0239904	0.0373718
a	0.55926	0.0862054	0.103108	0.166388	0.0133995	0.0716399
b	0.034467	0.0143923	0.145767	0.663095	0.0526575	0.0896216
í	0.0825725	0.0418712	0.113652	0.699901	0.00561105	0.056393
i	0.118096	0.0484938	0.200316	0.530403	0.0328109	0.0698802
k	0.0125327	0.00278303	0.0228805	0.172656	0.726691	0.062457
o	0.00253256	0.000932637	0.00283017	0.0472824	0.914878	0.0315447
n	0.00288307	0.000686391	0.0043567	0.0184911	0.948264	0.0253186
d	0.0124918	0.00186394	0.0078531	0.00725501	0.758914	0.211622
í	0.046582	0.0162586	0.055105	0.0201188	0.588796	0.27314
s	0.00693836	0.00206998	0.0310384	0.263157	0.143215	0.553582
á	0.0109893	0.00148838	0.00368521	0.350189	0.202906	0.430742
m	0.0751444	0.0126834	0.0221834	0.597488	0.208127	0.0843738
o	0.126001	0.154729	0.0288825	0.19778	0.133183	0.359425
r	0.0198887	0.0248429	0.015989	0.107698	0.429927	0.401655
o	0.0727112	0.0219127	0.109809	0.0531389	0.373547	0.368881
</S>	0.00866335	0.00151321	0.00698687	0.0211623	0.0707095	0.890965
