 	l'	enfant	se	vante	devant	son	père	parce	qu'	il	vient	d'	avoir	une	nouvelle	voiture	</S>
m	0.700934	0.275859	0.00774177	0.00021199	0.00322609	0.00432012	0.00111236	0.00238337	0.00127367	0.00117434	0.000144624	0.000284199	0.00011263	0.000156183	0.000200318	0.000771068	9.42411e-05
w	0.015327	0.978492	0.00474647	0.000321594	0.000360928	3.81685e-05	5.2211e-07	1.82023e-05	4.48008e-05	4.10143e-05	7.79381e-05	9.39087e-05	8.50925e-05	0.000158772	2.21716e-05	2.0634e-05	0.000150504
á	0.00114052	0.99867	8.70263e-05	1.24657e-05	6.12364e-05	1.5113e-05	1.30689e-06	1.13839e-06	2.86865e-06	1.07662e-06	7.34366e-07	1.15518e-06	1.16861e-06	1.08488e-06	3.49749e-07	5.95036e-07	2.37646e-06
n	0.102591	0.895665	0.000438581	3.79333e-05	5.96116e-05	0.000226418	9.34296e-05	0.00019807	0.000154772	9.87968e-05	1.51287e-05	1.16511e-05	1.7441e-05	1.88375e-05	8.73323e-06	2.80161e-06	0.000361746
a	0.0665577	0.780684	0.0478766	0.00162119	0.00618426	0.0323472	0.00666818	0.00436355	0.0126653	0.01254	0.0053583	0.00223118	0.00332661	0.00121133	0.000405371	7.6685e-05	0.0158827
l	0.697022	0.067375	0.0876841	0.0273521	0.0058101	0.0177501	0.0084617	0.0201165	0.01194	0.019224	0.00616231	0.00578008	0.00459766	0.00504218	0.0055667	0.000647957	0.00946796
á	0.107254	0.00432585	0.0799143	0.0365675	0.00508368	0.0225482	0.00990376	0.0576713	0.0461939	0.0443898	0.0927983	0.0571342	0.0651793	0.0943742	0.0377573	0.00506153	0.233843
a	0.0494619	0.0169516	0.392477	0.308273	0.0222141	0.00380148	0.0045551	0.0105399	0.00739458	0.0069229	0.0209131	0.0190933	0.029505	0.0297453	0.00890603	0.00487514	0.0643711
f	0.00635549	0.00306172	0.111531	0.821959	0.0149391	0.000506037	0.000450181	0.000645198	0.000735952	0.000692462	0.00638582	0.00305956	0.00947578	0.00441708	0.000794767	0.00575065	0.00924088
ú	0.00215527	0.00016259	0.0479405	0.906503	0.0244639	0.000799906	0.000385368	0.000330853	0.000404947	0.000368332	0.0015827	0.00162409	0.00387491	0.00198993	0.000248904	0.00236546	0.00479901
r	0.0138669	0.00215091	0.0369627	0.861941	0.0219323	0.000955364	0.000118476	0.000423432	0.000391988	0.000265302	0.00230237	0.00940496	0.0141105	0.0170529	0.00122903	0.00594476	0.0109471
á	0.173999	0.00878166	0.209508	0.268802	0.0692838	0.0506668	0.00144924	0.013452	0.0144587	0.00695966	0.0119888	0.0339117	0.0244792	0.0607527	0.0276198	0.000525228	0.0233615
o	0.0556278	0.0111598	0.109394	0.271888	0.392807	0.0812408	0.0241915	0.00461242	0.00827932	0.00847633	0.00492755	0.00538068	0.00470319	0.00641922	0.00607996	0.00164139	0.00317091
k	0.00165004	0.000509134	0.0166347	0.275042	0.622995	0.0382014	0.00489174	0.00274477	0.0032545	0.00216311	0.00427278	0.00293247	0.00749269	0.00379235	0.00131517	0.00811916	0.00398939
ω	0.000385344	4.19837e-05	0.00444448	0.080423	0.774108	0.0232825	0.00974865	0.00695439	0.00588644	0.00175158	0.00177514	0.00424887	0.0126628	0.0108931	0.00463253	0.0277867	0.0309749
