 	le	bateau	n'	arrive	plus	à	boundji	</S>
k	0.748405	0.136035	0.0319749	0.00951696	0.0257376	0.0358962	0.0110551	0.00137992
u	0.106309	0.390011	0.0478991	0.0295744	0.08592	0.0462718	0.261143	0.0328718
u	0.00682146	0.0566992	0.0887	0.070999	0.230021	0.0406754	0.0433125	0.462771
m	0.200208	0.164177	0.336151	0.0864267	0.0357375	0.0760938	0.00859952	0.0926067
a	0.479415	0.0569863	0.143783	0.115737	0.0127174	0.019466	0.0481338	0.123762
á	0.356417	0.028968	0.188216	0.0684017	0.0250867	0.0520228	0.0165791	0.264309
b	0.0543907	0.0336245	0.45839	0.171381	0.0502472	0.049577	0.00442152	0.177968
h	0.0215257	0.0146063	0.114022	0.248292	0.203935	0.146033	0.0550586	0.196528
i	0.0286698	0.00887035	0.144262	0.210641	0.217488	0.230614	0.0300532	0.129401
á	0.0504155	0.0314459	0.140666	0.217536	0.204641	0.153645	0.038161	0.16349
m	0.0265022	0.0106854	0.181721	0.181969	0.180467	0.311092	0.0500525	0.0575113
b	0.0172379	0.0102809	0.0476069	0.0595722	0.0326115	0.0937029	0.487462	0.251526
o	0.00773013	0.00238016	0.00956539	0.0298864	0.0417479	0.0506954	0.719948	0.138047
n	0.00475311	0.00205492	0.0155061	0.0552904	0.135956	0.0827408	0.458352	0.245347
d	0.0343436	0.015153	0.0950417	0.102122	0.14671	0.0789681	0.396192	0.13147
z	0.0173325	0.0121501	0.0263675	0.0358035	0.0779279	0.0484467	0.596809	0.185163
i	0.0120817	0.00587725	0.0691787	0.100935	0.0933768	0.0234113	0.499452	0.195687
o	0.0124874	0.00926993	0.184288	0.143783	0.118916	0.221822	0.0570945	0.25234
p	0.00371455	0.00672743	0.0554577	0.0698721	0.343384	0.276541	0.0810306	0.163273
f	0.000178041	0.0010512	0.0132183	0.0576817	0.624151	0.07993	0.0805969	0.143193
a	0.000860724	0.00123828	0.0204068	0.0789525	0.658222	0.104625	0.0468162	0.0888785
k	0.00562567	0.00244512	0.0219498	0.0639712	0.269676	0.153729	0.0843965	0.398207
a	0.00608222	0.00237827	0.0240958	0.0560843	0.322159	0.154511	0.0641371	0.370552
á	0.000652371	0.000675932	0.00501676	0.0100523	0.0594183	0.0664575	0.0844529	0.773274
</S>	0.0112618	0.00308848	0.049438	0.0270564	0.0266911	0.0990993	0.00891498	0.77445
