 	il	se	fait	une	paillasse	avec	la	balle	de	riz	</S>
w	0.815364	0.162077	0.0088492	0.00115366	0.00193282	0.00308131	0.00146865	0.00227013	0.00345388	0.000296885	5.25292e-05
a	0.639846	0.285419	0.0190805	0.00601854	0.00888131	0.013008	0.00532057	0.00564327	0.0133114	0.00344108	3.00065e-05
l	0.21107	0.600074	0.157983	0.0137415	0.00216569	0.00169549	0.00200095	0.00176644	0.00302923	0.00212205	0.00435146
á	0.0656732	0.212723	0.171691	0.0542624	0.0170317	0.033055	0.0263201	0.0126586	0.0276711	0.0199366	0.358977
a	0.153657	0.12883	0.273389	0.0895641	0.00701722	0.0250531	0.0371657	0.0213899	0.0410792	0.0819425	0.140913
b	0.00467835	0.131088	0.534653	0.294391	0.0185744	0.00163023	0.00115114	0.000430697	0.000575088	0.000232798	0.0125949
ω	0.0422834	0.351354	0.340462	0.207819	0.0456066	0.00349474	0.0013437	0.000433183	0.00136361	0.000539731	0.00529971
n	0.00236587	0.0682428	0.447348	0.407801	0.0577547	0.00517382	0.00258063	0.000723646	0.00111432	0.00073262	0.00616194
g	0.00917702	0.0724456	0.55538	0.314115	0.0158036	0.00704137	0.00589415	0.00316869	0.00276244	0.00045482	0.0137569
ώ	0.141463	0.0573497	0.298701	0.134549	0.0647608	0.0630722	0.037756	0.0299881	0.0438548	0.00792419	0.120581
e	0.00721198	0.0296117	0.14027	0.38092	0.350955	0.0391721	0.0165328	0.0163367	0.0138599	0.00290828	0.00222263
b	0.00134894	0.00782114	0.0231519	0.263438	0.630093	0.0324877	0.0162438	0.00972338	0.0071895	0.00136328	0.00713973
é	0.0028462	0.0074844	0.0101929	0.0974701	0.809156	0.0516066	0.00876256	0.00259718	0.00447769	0.000504294	0.00490156
e	0.000658511	0.00831899	0.0351947	0.141635	0.625321	0.0567071	0.0206548	0.00348855	0.014993	0.000685844	0.0923427
y	0.000317376	0.00258882	0.026023	0.196884	0.59851	0.096658	0.0273723	0.00521211	0.00792905	0.000288839	0.0382169
á	0.0155705	0.0250841	0.0860694	0.149095	0.231642	0.114283	0.0884616	0.1138	0.0376769	0.0188354	0.119482
f	0.0272678	0.00988949	0.0201781	0.0351722	0.133946	0.351139	0.144735	0.158177	0.0660781	0.0249857	0.0284323
u	0.00492611	0.00740696	0.0113599	0.0229959	0.332702	0.25169	0.139631	0.113285	0.0392495	0.0149453	0.0618085
l	0.00656097	0.00477681	0.0154811	0.0789526	0.293721	0.154151	0.121142	0.095163	0.0194264	0.00938275	0.201242
ú	0.000960305	0.0013338	0.0116744	0.0404417	0.198385	0.153185	0.198622	0.169556	0.0406512	0.00719299	0.177997
m	0.000152015	0.000559015	0.00474362	0.0191448	0.0590572	0.375735	0.257616	0.114562	0.0642083	0.0040247	0.100197
ó	0.00791732	0.0055838	0.00688299	0.00931372	0.0212089	0.130667	0.203949	0.210918	0.120879	0.00932328	0.273357
i	0.00315325	0.00242576	0.00483979	0.00647004	0.0263843	0.210078	0.179066	0.197062	0.195683	0.129664	0.0451748
b	0.00061284	0.00180838	0.00568474	0.0140421	0.0377498	0.191347	0.268763	0.0892947	0.138784	0.0223272	0.229587
v	0.00206175	0.0144828	0.0171351	0.0312866	0.134533	0.386858	0.15852	0.0386607	0.142415	0.0294448	0.0446033
é	0.000188926	0.00134584	0.00385334	0.00868201	0.244371	0.280594	0.180801	0.0458104	0.15305	0.0225256	0.0587774
é	0.00010953	0.000333843	0.00172341	0.00545366	0.0581203	0.11623	0.237407	0.11838	0.0935771	0.00191685	0.366748
l	0.000250281	0.0010561	0.00849512	0.0108968	0.0102825	0.067515	0.149133	0.139904	0.278255	0.0393542	0.294858
á	0.00202487	0.00306225	0.0132172	0.0192055	0.00825651	0.057228	0.106416	0.072457	0.100396	0.087133	0.530604
l	0.00130611	0.000784054	0.00315651	0.00227765	0.0020227	0.0327403	0.0692111	0.222106	0.250317	0.354831	0.0612474
ώ	0.00307601	0.00252493	0.00505395	0.00597571	0.00780442	0.0356137	0.104472	0.0966619	0.0686937	0.526194	0.14393
s	7.95217e-05	0.000157064	0.000811518	0.000856248	0.000935545	0.019285	0.0351924	0.069087	0.101608	0.615684	0.156304
ω	6.40464e-05	0.000136282	0.00100574	0.00364223	0.00488138	0.0174589	0.108277	0.161451	0.0529079	0.430042	0.220134
</S>	2.01724e-05	4.78962e-05	0.000359626	0.000785426	0.00122524	0.019016	0.0536435	0.0861479	0.107745	0.12289	0.608119
