 	quand	auras-tu	achevé	ton	travail	</S>
n	0.641423	0.226877	0.0631748	0.0529877	0.00802758	0.00750943
ω	0.139378	0.793504	0.00984554	0.0559326	0.000678763	0.000660563
l	0.355611	0.358542	0.064852	0.107959	0.0477784	0.0652582
ó	0.023323	0.0177659	0.0388397	0.0566828	0.0693992	0.793989
o	0.152857	0.179274	0.109383	0.164554	0.192709	0.201223
s	0.124614	0.17918	0.342339	0.0663576	0.197355	0.0901544
í	0.0610273	0.130412	0.569242	0.0337954	0.165861	0.0396622
í	0.0552783	0.0236045	0.380092	0.0749836	0.0952279	0.370814
s	0.0486189	0.0459256	0.581544	0.199905	0.0480729	0.0759343
á	0.0573571	0.0444185	0.511588	0.226472	0.0510432	0.109121
i	0.0636271	0.148922	0.323855	0.181913	0.225396	0.0562868
s	0.0195635	0.0355128	0.122322	0.253032	0.498288	0.0712823
á	0.00246771	0.00468359	0.186908	0.0704632	0.700773	0.0347042
l	0.00211514	0.00208746	0.166466	0.0971072	0.58961	0.142614
a	0.00740088	0.0126784	0.185725	0.303053	0.218595	0.272547
l	0.00710747	0.00675533	0.264928	0.277067	0.238643	0.205499
á	0.028252	0.015264	0.104131	0.267124	0.291098	0.294131
n	0.0148671	0.0106572	0.0317742	0.654368	0.232933	0.0554001
ω	0.0135714	0.0860206	0.0181423	0.73884	0.0741229	0.0693031
i	0.0026104	0.00645592	0.0512928	0.117753	0.320784	0.501104
k	0.0216853	0.00293364	0.0263258	0.344844	0.24541	0.358801
á	0.0194859	0.0124647	0.0663854	0.59018	0.220309	0.0911746
n	0.0200623	0.0102777	0.0216846	0.293675	0.136805	0.517495
g	0.00493026	0.00817523	0.00513	0.540723	0.0662384	0.374803
á	0.00652837	0.065977	0.0110058	0.614773	0.046655	0.255061
n	0.00577038	0.00796921	0.0461327	0.502507	0.0464943	0.391127
d	0.0156014	0.0101121	0.0173455	0.410189	0.0203917	0.52636
e	0.00224227	0.0161422	0.00346242	0.109489	0.0324695	0.836195
</S>	0.00038188	0.00209192	0.00543943	0.110317	0.0627086	0.819061
