 	le	sang	de	la	viande	s'	est	coagulé	dans	la	marmite	</S>
a	0.43537	0.44113	0.0780552	0.0209365	0.0108832	0.00891152	0.00128869	0.000900323	0.00155665	0.000844652	2.47448e-05	9.89142e-05
l	0.0544735	0.896371	0.0279572	0.00620312	0.00450416	0.00244252	0.00153362	0.00442628	0.000915047	0.000399632	0.000172277	0.00060162
ó	0.0264916	0.791217	0.0617378	0.0505291	0.0285635	0.0168478	0.00657012	0.00110465	0.00283834	0.00123332	9.91246e-05	0.0127678
n	0.0382464	0.856404	0.0550161	0.0226127	0.00494867	0.00464683	0.0016603	0.00154072	0.00234542	0.00152785	0.000207598	0.010843
g	0.195578	0.621984	0.0881574	0.0340894	0.0136558	0.01667	0.00583582	0.00713324	0.00384849	0.00212013	0.000849053	0.0100786
ó	0.143969	0.66017	0.0801123	0.0471329	0.0175318	0.0133428	0.00216523	0.00280297	0.00277456	0.0015299	0.00669151	0.0217773
m	0.0702644	0.0636953	0.338616	0.143153	0.214567	0.127752	0.023776	0.00240208	0.0040979	0.00204712	4.63781e-05	0.00958267
á	0.402118	0.014287	0.175937	0.157112	0.0875351	0.115614	0.0215519	0.000548492	0.00319114	0.00852876	3.93299e-05	0.0135362
n	0.089696	0.0146521	0.156949	0.291307	0.246259	0.138428	0.0417886	0.00930035	0.00493157	0.00264906	0.000616343	0.00342383
y	0.0193321	0.0208339	0.0244271	0.049328	0.813085	0.0424656	0.00857324	0.00100183	0.00425224	0.00352852	0.000675386	0.0124967
a	0.00088002	0.00061338	0.00388302	0.0151448	0.953239	0.0150703	0.00406407	0.00102044	0.000686246	0.000505907	0.00425197	0.000640792
m	0.0176468	0.0143349	0.0833814	0.229266	0.324017	0.183699	0.0520871	0.0520975	0.0257043	0.00257069	0.0021466	0.0130491
a	0.148029	0.0485591	0.163039	0.249834	0.183283	0.152024	0.0201839	0.00525986	0.00892518	0.00687685	0.00146859	0.0125173
á	0.0269498	0.00226876	0.0628498	0.0915013	0.0801489	0.439804	0.255908	0.00837737	0.0165405	0.00524188	5.53417e-05	0.0103546
m	0.00406765	0.0027614	0.0105557	0.0154932	0.0324943	0.175859	0.594541	0.0890174	0.0617368	0.0081322	0.000810509	0.00453039
i	0.0061843	0.000329719	0.0101742	0.0262415	0.0333905	0.137169	0.489272	0.0793214	0.172919	0.0331535	0.000130792	0.0117139
k	0.00157286	0.000681014	0.00134433	0.00368891	0.00324106	0.0470653	0.430096	0.430552	0.0688002	0.00738836	0.000386774	0.00518316
a	0.000333387	0.000428715	0.00111224	0.00412592	0.000963648	0.0298861	0.099127	0.823738	0.0298545	0.00332501	2.41771e-05	0.00708136
n	0.000128837	0.000117485	0.000772464	0.0025575	0.000442883	0.0136185	0.0377495	0.898005	0.0373228	0.00367888	0.000603295	0.00500218
g	0.00243208	0.00136565	0.00281301	0.00796774	0.00630467	0.0469174	0.116716	0.70799	0.0653941	0.0151827	0.00371065	0.023205
á	0.00507032	0.00236528	0.0180048	0.0677186	0.0383502	0.118027	0.0692126	0.303488	0.129735	0.0474722	0.0282768	0.172279
m	0.00129753	0.000565091	0.00614189	0.0123862	0.0246625	0.0354495	0.0474151	0.0507678	0.387487	0.365219	0.0515571	0.017052
á	0.00460531	0.000820135	0.00965511	0.00746987	0.00202143	0.00370026	0.0114698	0.0171632	0.427611	0.348595	0.0571248	0.109764
s	0.00672215	0.00230246	0.0164048	0.0197851	0.00791416	0.0184104	0.0148847	0.0279183	0.216082	0.542825	0.102741	0.0240098
á	0.00106698	0.000252863	0.00166716	0.00323576	0.0154865	0.00503716	0.00837436	0.00751971	0.175613	0.542553	0.175743	0.0634503
n	0.00229316	0.000708132	0.00306484	0.00424021	0.00387917	0.0044496	0.00390799	0.00493668	0.0600256	0.424658	0.394431	0.0934056
d	2.93115e-05	0.000172879	0.000108101	0.00038498	0.00375591	0.000452388	0.000268567	0.00226411	0.00979812	0.0227572	0.951188	0.00882061
z	2.43992e-06	1.52935e-05	1.32168e-05	1.9644e-05	0.000277738	2.8449e-05	1.75801e-05	0.000121563	0.000496598	0.00407259	0.987732	0.00720281
ú	1.53577e-06	3.28592e-06	5.12689e-06	1.3292e-05	5.24786e-05	2.61968e-05	4.20828e-05	0.000490968	0.00154582	0.00590875	0.978833	0.0130775
n	0.000238019	0.000150416	0.000136018	0.000688278	0.00305014	0.00150235	0.00112218	0.00447947	0.0176746	0.0265859	0.700867	0.243506
g	0.00025283	0.000279146	0.000391539	0.00128412	0.000919327	0.00243437	0.00498888	0.00878842	0.0998263	0.174721	0.456611	0.249503
u	0.000189611	8.53484e-05	0.000300175	0.00121322	0.00406619	0.00344773	0.00238752	0.0091437	0.0200948	0.0471718	0.841767	0.0701334
</S>	0.000329082	3.97024e-05	0.000466095	0.000628266	0.00031074	0.00206869	0.00378791	0.00389217	0.0367146	0.168549	0.167052	0.616161
