 	dans	la	maison	il	fait	chaud	</S>
s	0.511857	0.386035	0.0849935	0.0118742	0.00446632	0.000645843	0.000127771
á	0.225737	0.243386	0.479192	0.0127965	0.0253572	0.00698704	0.00654439
n	0.250008	0.312894	0.411286	0.00311809	0.00331474	0.0186554	0.000723158
d	0.0238886	0.294744	0.584677	0.00852351	0.00292146	0.0061019	0.079144
é	0.0387015	0.0582426	0.866572	0.00354225	0.001482	0.00695122	0.0245087
e	0.178385	0.177124	0.212993	0.138244	0.153619	0.0886532	0.0509824
é	0.159318	0.164871	0.0874697	0.339127	0.219714	0.00659072	0.0229094
d	0.288239	0.0303442	0.0743743	0.401518	0.176586	0.0065039	0.0224339
í	0.126867	0.0194456	0.0107097	0.403288	0.323484	0.0184438	0.0977617
l	0.0450275	0.0099209	0.00642888	0.139995	0.359864	0.0408235	0.39794
a	0.0176101	0.00471339	0.00924239	0.22463	0.358791	0.182624	0.202389
y	0.026554	0.0207104	0.0133743	0.213152	0.169941	0.340936	0.215332
á	0.0220998	0.00639877	0.00656678	0.0927954	0.166503	0.524404	0.181232
n	0.00386719	0.00141415	0.000696041	0.013227	0.0350151	0.869507	0.0762733
g	0.0090122	0.0301533	0.0116804	0.116406	0.097154	0.62386	0.111734
a	0.00047153	0.00656229	0.0374917	0.0140138	0.0137962	0.695849	0.231816
l	0.00366835	0.00304887	0.000366458	0.0520828	0.161396	0.225515	0.553922
á	0.0249854	0.0165759	0.00139736	0.078146	0.20033	0.176691	0.501875
</S>	0.0151387	0.00592717	0.00235388	0.034691	0.0867811	0.463848	0.39126
