 	cette	année	le	riz	n'	a	pas	donné	beaucoup	</S>
m	0.62109	0.226929	0.031795	0.0150024	0.0301712	0.0188817	0.0242444	0.0259283	0.00308378	0.00287407
ó	0.272022	0.0648225	0.132644	0.135934	0.107489	0.0700576	0.035406	0.0393556	0.0192211	0.123048
ε	0.225014	0.676819	0.00807036	0.0105256	0.01298	0.0144457	0.00477416	0.00266854	0.0232084	0.0214946
b	0.139541	0.58161	0.0695224	0.0125923	0.0248436	0.0182363	0.0090525	0.0123887	0.0251174	0.107096
h	0.00628401	0.69208	0.0874434	0.0271511	0.0416818	0.0335969	0.0106502	0.0100774	0.0157021	0.0753336
a	0.0174272	0.843605	0.0374162	0.0306849	0.0146637	0.00769132	0.00366764	0.00634799	0.0143771	0.0241192
n	0.165142	0.494333	0.183723	0.0347055	0.0237183	0.00884643	0.0084203	0.00490664	0.0112043	0.0650012
á	0.216031	0.318178	0.0797371	0.017336	0.0280196	0.0182194	0.0220704	0.00934083	0.0128343	0.278233
a	0.200439	0.0354989	0.331273	0.105375	0.152005	0.0579982	0.0337581	0.0381288	0.0115335	0.0339905
y	0.0938639	0.0713277	0.245916	0.168259	0.168182	0.0914256	0.0452603	0.0420013	0.0167883	0.0569758
é	0.209105	0.0210226	0.232397	0.2635	0.114026	0.0450073	0.0195001	0.0134085	0.0188454	0.0631876
l	0.0319842	0.00958864	0.185939	0.234891	0.145744	0.057647	0.0255906	0.0289488	0.0287458	0.250921
ώ	0.0123491	0.00892874	0.143174	0.311433	0.185756	0.0798224	0.0216032	0.0201451	0.0246189	0.192169
s	0.00993454	0.00577673	0.172129	0.24513	0.175343	0.132477	0.0535491	0.0467079	0.0474418	0.111511
ω	0.0327111	0.0135425	0.11849	0.23243	0.159251	0.122602	0.045071	0.0297049	0.0925581	0.15364
í	0.0188931	0.00317491	0.124624	0.118163	0.179554	0.194263	0.0952655	0.069842	0.0861523	0.110069
d	0.0209934	0.00636005	0.0749873	0.0657633	0.154693	0.197862	0.183509	0.154841	0.0763229	0.0646677
z	0.00929239	0.00209074	0.0193783	0.018138	0.115531	0.147068	0.0937774	0.0974378	0.0929942	0.404292
e	0.0396425	0.000916488	0.0370145	0.066556	0.167831	0.155667	0.106103	0.0708961	0.133318	0.222056
o	0.00709217	0.000760508	0.0313743	0.0289525	0.127114	0.101355	0.178726	0.219564	0.102895	0.202165
p	0.00486758	0.027526	0.011042	0.0053441	0.0174069	0.0484796	0.0826455	0.140855	0.3958	0.266034
f	0.000508526	0.0254205	0.00706628	0.0030117	0.0139712	0.0407466	0.104067	0.111473	0.254989	0.438745
ú	0.00193211	0.0147844	0.0102517	0.00427134	0.0256251	0.0636963	0.235042	0.148735	0.170715	0.324947
á	0.0117375	0.00333573	0.0107233	0.0089458	0.0368898	0.0430058	0.163393	0.0846071	0.115691	0.52167
i	0.00419507	0.00251414	0.017933	0.00754515	0.0326887	0.034928	0.0584356	0.168021	0.137962	0.535777
y	0.0116866	0.00805395	0.0346745	0.00956525	0.0266523	0.0347021	0.0597512	0.124965	0.21519	0.474758
í	0.00418086	0.00206541	0.0161375	0.0146341	0.0177952	0.0223363	0.0413516	0.0969763	0.270519	0.514003
í	0.000564763	0.000303642	0.00255761	0.00287403	0.010354	0.0149251	0.0366079	0.0594502	0.0888448	0.783518
k	0.00571449	0.00263804	0.034322	0.0203793	0.0519308	0.0441233	0.061628	0.180081	0.137521	0.461662
a	0.000940835	0.0075624	0.0195969	0.0106335	0.0285413	0.0308353	0.0850554	0.21508	0.16433	0.437425
á	0.000753658	0.00289273	0.00735441	0.00345797	0.00995822	0.0116888	0.0333837	0.0549214	0.104156	0.771433
</S>	0.00227113	0.00283008	0.0224032	0.0149992	0.0452145	0.043158	0.0337583	0.115887	0.136252	0.583226
