 	le	malade	a	maigri	</S>
o	0.510238	0.476168	0.0126936	0.000574566	0.000325498
k	0.0595059	0.913664	0.0133076	0.0109643	0.0025578
ω	0.0229163	0.955523	0.00119884	0.0160376	0.00432446
n	0.0134198	0.96016	0.0114248	0.0119458	0.00304921
í	0.207988	0.746919	0.00457945	0.00382215	0.0366915
m	0.611905	0.0962135	0.251176	0.0111273	0.0295784
ú	0.799501	0.0487838	0.104227	0.0171645	0.0303233
ó	0.327516	0.0608565	0.334741	0.0210926	0.255794
m	0.085109	0.027197	0.468156	0.140271	0.279267
i	0.0798368	0.00954129	0.130427	0.15487	0.625325
s	0.00500487	0.0107848	0.0453368	0.648818	0.290055
y	0.00217552	0.00268765	0.00784335	0.736736	0.250558
έ	0.00614694	0.00158737	0.00790492	0.661199	0.323162
n	0.00970346	0.00985297	0.0352683	0.387229	0.557946
y	0.0155603	0.0157056	0.0128778	0.232841	0.723015
ε	0.0078602	0.00710939	0.000821815	0.374879	0.60933
</S>	0.00436846	0.00285896	0.00494831	0.203947	0.783877
