 	ce	voleur	a	beaucoup	de	cicatrices	au	dos	à	cause	de	la	bastonnade	qu'	il	a	reçue	dans	la	rue	</S>
m	0.477261	0.410013	0.0672344	0.00397626	0.0144534	0.0115402	0.0055041	0.00167428	0.00166814	0.000482478	0.00143826	0.00301969	2.6421e-05	0.000631506	0.000182619	0.000189799	2.34953e-05	0.000463007	0.000142936	5.77651e-05	1.718e-05
ú	0.053977	0.88928	0.0292183	0.00328915	0.00207922	0.000313419	0.00366083	0.000607153	0.00105946	0.000480217	0.00135411	0.0012456	0.000328815	0.00027638	0.000918592	0.00299923	0.00172445	0.00315667	0.00132685	0.000175572	0.00252876
b	0.037788	0.918941	0.00788673	0.0046766	0.0059932	0.00283254	0.00481296	0.000903995	0.00170271	0.00165219	0.00224138	0.00315467	0.00215373	0.000274808	0.000302107	0.000778131	0.000372174	0.00025354	0.000314499	0.000387553	0.00257699
h	0.101019	0.0278268	0.118573	0.0683454	0.134782	0.153618	0.0187067	0.0207321	0.0187722	0.0200646	0.0204589	0.0116612	0.00245476	0.0121478	0.0118426	0.006084	0.00137314	0.019097	0.0166291	0.00479838	0.211013
u	0.638212	0.0713105	0.103159	0.0209661	0.0756562	0.0497795	0.00597396	0.00677175	0.00329733	0.00312932	0.00327909	0.00421286	0.00223521	0.00160783	0.00098051	0.00119134	0.000517212	0.000874253	0.00114934	9.84776e-05	0.00559756
m	0.348375	0.00656203	0.358531	0.0721601	0.0495877	0.0206581	0.0138306	0.00512985	0.0102128	0.00462304	0.00561378	0.00625822	0.0013672	0.00599104	0.00712139	0.0139334	0.00206198	0.0282966	0.00564532	0.00197955	0.0320611
ú	0.45082	0.0479435	0.225836	0.0543239	0.0388388	0.00367307	0.0187931	0.00271612	0.0159132	0.0193036	0.0142508	0.0119321	0.0204719	0.0128882	0.0242836	0.0133592	0.00180862	0.00319731	0.00294015	0.00179859	0.0149088
ó	0.164232	0.0186078	0.449464	0.198817	0.0922291	0.00730683	0.0215385	0.00575747	0.00468437	0.00533182	0.00443695	0.00335537	0.003947	0.000982783	0.00295315	0.00404729	0.0016328	0.00240383	0.00140414	0.00185996	0.00500726
d	0.028402	0.00175625	0.261043	0.378075	0.214488	0.0591448	0.0215509	0.00528185	0.00311719	0.00435715	0.00304111	0.00185407	0.00275376	0.000700983	0.0015324	0.0031911	0.00123123	0.0029897	0.00103928	0.000555533	0.00389448
i	0.00982896	0.00456043	0.0965752	0.669167	0.0910859	0.0289554	0.0127324	0.00166387	0.00845999	0.00583821	0.00502809	0.00425443	0.0180098	0.0017121	0.00155272	0.00864481	0.00257559	0.00628369	0.00133152	0.000145126	0.0215949
l	0.0149207	0.00157287	0.0237554	0.322483	0.251189	0.288039	0.0381006	0.00929607	0.0121304	0.00411664	0.00364818	0.00386948	0.00248879	0.00111326	0.000885038	0.00332102	0.0010473	0.00779945	0.00358889	0.0004475	0.00618628
i	0.00176725	0.00117181	0.0227917	0.312753	0.21256	0.0709443	0.0483535	0.0143531	0.0215974	0.0155041	0.0222531	0.0115976	0.0104338	0.0126081	0.0184263	0.0292484	0.0137108	0.0101787	0.00857907	0.00163829	0.13953
b	0.00424479	0.00104566	0.00853202	0.138681	0.235521	0.316396	0.0756005	0.0402046	0.0177402	0.00980601	0.0112576	0.0058214	0.0114668	0.00632255	0.00538214	0.00926381	0.0321828	0.00392417	0.00546162	0.0220686	0.0390767
h	0.0060503	0.00857507	0.0224574	0.0915364	0.098339	0.481261	0.0805672	0.121405	0.0111837	0.0129004	0.00915957	0.00310836	0.00658385	0.00155148	0.00225565	0.00100673	0.00612708	0.00149646	0.000931477	0.0312908	0.0022131
i	0.000620744	0.000616966	0.00173005	0.0167832	0.0521287	0.821207	0.0622895	0.0285099	0.00177434	0.00258136	0.00131182	0.000258297	0.00048052	9.68927e-05	0.000229531	0.00022425	0.00203239	0.00088419	0.00132933	0.00248326	0.00242812
í	0.000567699	0.00016387	0.00427061	0.0265027	0.110651	0.762527	0.0588567	0.0124686	0.00668068	0.00461836	0.0020035	0.000696187	0.00116908	0.000454655	0.000532846	0.000427119	0.000223172	0.00264553	0.00123226	0.000279674	0.00302914
m	0.00236234	0.000182098	0.0105774	0.0988357	0.179927	0.34343	0.247911	0.0256883	0.0232095	0.00989852	0.00660262	0.00493427	0.0034004	0.00336184	0.00393012	0.00654354	0.000742086	0.0117791	0.00174179	0.00010832	0.0148329
ó	0.0150283	0.00245842	0.00717883	0.0223826	0.0474762	0.0485048	0.149261	0.0218023	0.154136	0.132582	0.0638179	0.0552267	0.109754	0.055005	0.0307265	0.0374077	0.00298519	0.020217	0.00423705	0.000185193	0.0196269
k	0.00337024	0.00026604	0.00253879	0.0172283	0.04669	0.224455	0.230022	0.287642	0.058986	0.0302009	0.0146325	0.00945563	0.0250116	0.00743095	0.00292801	0.00384996	0.0106923	0.00244943	0.00185087	0.0174745	0.00282501
ω	0.000773398	0.000304316	0.0028168	0.00766649	0.0168479	0.229251	0.0463328	0.576002	0.0354561	0.0412905	0.00991157	0.00212639	0.0129289	0.00417068	0.00090002	0.00039438	0.00173073	0.000842888	0.00075454	0.00771485	0.0017843
r	5.10658e-05	4.76336e-05	0.0005514	0.00491245	0.0205753	0.195005	0.0652906	0.626204	0.0207299	0.00909656	0.00404145	0.00180708	0.00311231	0.00259923	0.00063551	0.000784583	0.00793946	0.00137663	0.00129923	0.0298115	0.00412932
ω	0.000522607	0.00186693	0.0016489	0.0187578	0.0752797	0.290816	0.121248	0.306405	0.0478695	0.0181252	0.0146755	0.00685005	0.00615417	0.00941812	0.00358127	0.00411935	0.00663888	0.00622917	0.00457356	0.00288641	0.0523343
m	0.00316965	0.000160768	0.00179815	0.00725995	0.0273242	0.0425687	0.326744	0.114095	0.238121	0.0575735	0.036779	0.0420182	0.022289	0.0238076	0.0139864	0.0121037	0.00225117	0.0164258	0.00255051	0.000157263	0.00881679
b	0.0139139	0.00205963	0.00121211	0.0021279	0.00623162	0.00194093	0.0572398	0.016097	0.217338	0.108591	0.107666	0.0976026	0.103488	0.0625715	0.0477054	0.0676482	0.00512744	0.0286874	0.00693419	0.000706529	0.0451107
é	0.015182	0.00103071	0.00114753	0.0034588	0.0123295	0.00456457	0.102754	0.151829	0.137655	0.124624	0.124925	0.0758723	0.161736	0.0146626	0.0142746	0.0167127	0.0145721	0.00549768	0.00518918	0.00137798	0.0106048
á	0.00547401	0.000867314	0.00240171	0.0114081	0.0218578	0.0132874	0.111612	0.124155	0.125553	0.194255	0.0901344	0.0514606	0.139781	0.0205281	0.033426	0.0167628	0.00771628	0.00817712	0.00304217	0.000618465	0.0174816
l	0.00090059	0.000216565	0.0038229	0.00796226	0.00468754	0.00375842	0.0272823	0.0391886	0.123091	0.103343	0.104697	0.108492	0.119628	0.0748002	0.0722041	0.0757296	0.0414046	0.0585524	0.0130574	0.00201223	0.0151691
í	0.00215135	6.74256e-05	0.00231653	0.0270671	0.00789237	0.0053498	0.0173451	0.0367033	0.103365	0.0687727	0.106322	0.0690971	0.0842959	0.0536738	0.0339664	0.0862732	0.0608221	0.0526827	0.0160492	0.00482739	0.16096
l	0.000675686	1.84768e-05	0.000731803	0.00503701	0.00306094	0.00262433	0.0157222	0.0365788	0.121209	0.068002	0.0957611	0.142265	0.0898096	0.0863511	0.0477882	0.0985606	0.0946238	0.0476774	0.0187589	0.0121511	0.0125928
ó	0.00125168	0.000118585	0.000888136	0.00796793	0.00280533	0.00152271	0.00841645	0.0168111	0.0691299	0.0346627	0.079039	0.0632987	0.0974086	0.0436085	0.0274123	0.0949473	0.350432	0.0419267	0.0122477	0.0121431	0.0339615
b	0.000292022	5.34692e-05	0.000904651	0.0056865	0.0037561	0.00205383	0.0128198	0.118138	0.133286	0.0587084	0.0724426	0.0813861	0.207192	0.0614134	0.0210215	0.0315295	0.111362	0.00857399	0.00581994	0.0602233	0.00333717
h	0.00017594	0.000367016	0.00331428	0.00725291	0.0126266	0.0108286	0.0413189	0.251299	0.13159	0.161215	0.141045	0.0630498	0.0451608	0.0116325	0.0177522	0.0155757	0.0139096	0.0452519	0.0123245	0.00929947	0.00501038
á	0.00032416	8.25943e-05	0.000226861	0.00253048	0.0103496	0.0556832	0.0534703	0.345605	0.0888113	0.149706	0.0776795	0.0261781	0.0593239	0.0110657	0.0110987	0.0111257	0.025091	0.0275509	0.0175317	0.00498422	0.0215807
l	0.00064798	2.23052e-05	0.000299811	0.000556179	0.00126708	0.00131707	0.0070606	0.0123673	0.066464	0.157204	0.167257	0.160099	0.0767064	0.0956975	0.100487	0.0897652	0.00904267	0.0386935	0.00962655	0.000465004	0.00495437
í	0.000469899	7.86618e-05	0.000312248	0.00244315	0.00139456	0.00125514	0.00491545	0.0113763	0.0426254	0.0537501	0.136035	0.105483	0.0789903	0.0768363	0.0617852	0.106007	0.166925	0.0365308	0.0155097	0.0109515	0.0863248
í	0.000120218	5.64299e-06	0.000146381	0.000688067	0.000503013	0.000649822	0.00291423	0.00992459	0.0306499	0.0508331	0.085167	0.0934334	0.102723	0.156596	0.121404	0.0956163	0.120458	0.032964	0.0293407	0.0506158	0.0152462
y	0.00117656	0.000327815	0.00154914	0.0152791	0.00800374	0.0126738	0.0114656	0.00819383	0.0132891	0.0204083	0.0303598	0.0320664	0.0394782	0.013174	0.0299798	0.112358	0.244579	0.170149	0.158507	0.0486323	0.0283499
ú	0.000152176	4.25979e-05	0.000687476	0.0117464	0.0010045	0.000590445	0.000390437	0.00122463	0.0106702	0.00905634	0.0208862	0.0650455	0.128995	0.0244585	0.0235239	0.130667	0.172821	0.165597	0.196399	0.00652824	0.0295142
r	0.000671823	7.05438e-05	0.000105392	0.00540011	0.0038656	0.00461396	0.00508071	0.0147731	0.0673389	0.0608104	0.075054	0.106346	0.131867	0.0491092	0.02288	0.125198	0.0888482	0.0707755	0.0954236	0.00170149	0.070067
ú	0.000191863	1.49818e-05	8.60773e-05	0.00272502	0.00529771	0.00533836	0.00824295	0.0507867	0.0798048	0.0449893	0.115163	0.158526	0.0556115	0.0962357	0.0475789	0.0721376	0.0954063	0.0427059	0.0937968	0.00292926	0.0224318
m	5.20406e-05	4.78119e-06	0.000215755	0.000560699	0.000682893	0.000313274	0.00367607	0.00891167	0.048645	0.0331362	0.0769161	0.108201	0.0209482	0.0933581	0.1021	0.18609	0.0534115	0.137639	0.0934233	0.00662147	0.0250931
ú	0.000549785	0.000681362	0.000371597	0.000719506	0.00110559	0.000324257	0.0052987	0.0030351	0.0455372	0.118728	0.104774	0.0765126	0.206787	0.0667345	0.110489	0.0675457	0.0269424	0.0172839	0.0353069	0.00540696	0.105867
a	9.07148e-05	0.000204172	0.000324193	0.0014003	0.00417834	0.00185698	0.0109971	0.00928608	0.0309633	0.0734011	0.0976469	0.106138	0.0661372	0.0317201	0.0523637	0.131555	0.0582204	0.0613981	0.133484	0.0336102	0.0950238
s	0.000324808	6.94893e-05	0.000698546	0.00363425	0.00457456	0.00593394	0.010055	0.00831763	0.0123406	0.0165605	0.0322427	0.0280665	0.00894146	0.0141565	0.0292299	0.105888	0.0896623	0.133257	0.213775	0.181638	0.100633
á	0.000241633	0.000170219	0.000630366	0.012394	0.00164312	0.00128062	0.000803322	0.000477952	0.00357168	0.00413841	0.0126837	0.0300939	0.0284391	0.00570311	0.0114122	0.126971	0.114321	0.243657	0.287166	0.014341	0.0998605
b	0.000492159	6.0819e-05	0.000139824	0.0017091	0.000823652	0.000825991	0.000785946	0.000656151	0.00527321	0.00675547	0.0307944	0.0926089	0.0181915	0.0444315	0.0512756	0.180961	0.0800015	0.0747593	0.150674	0.0584452	0.200336
a	0.000261151	0.00021907	0.000282009	0.000349129	0.000351379	0.000437865	0.000870753	0.00389254	0.00388028	0.0122127	0.0279004	0.0302626	0.00608749	0.00905052	0.0188434	0.0157912	0.016352	0.0532222	0.0937476	0.697252	0.00873388
l	0.000142267	0.000149491	0.000121694	0.000288524	0.000336206	0.00162769	0.00155833	0.00651712	0.00904252	0.0544153	0.0529741	0.0348429	0.0672088	0.0796244	0.109878	0.0353885	0.0272007	0.049383	0.104483	0.237401	0.127416
a	0.000235454	7.66877e-05	0.000229785	0.000664957	0.00149909	0.00296193	0.00300875	0.0125085	0.0063198	0.0125051	0.0319811	0.0246446	0.00618052	0.0319534	0.0472785	0.0255277	0.118749	0.0304922	0.0660419	0.377798	0.199343
b	0.000669033	5.22799e-05	0.000417447	0.0013675	0.00165474	0.00241167	0.0036514	0.00493467	0.00657244	0.0093403	0.0150929	0.0209788	0.00723698	0.029092	0.0370203	0.0586656	0.0277843	0.0806047	0.166078	0.184528	0.341846
