 	le	silure	m'	a	piqué	dans	le	ruisseau	vouma	</S>
n	0.506479	0.481171	0.00651461	0.00210479	0.000934748	0.000760626	0.000266184	0.00172053	1.33283e-05	3.5291e-05
g	0.133953	0.861193	0.00348011	0.000143274	0.00058017	0.000145827	2.71595e-05	0.000472536	3.99977e-07	4.13262e-06
ω	0.0389755	0.9285	0.0182417	0.00393289	0.00961014	0.000440154	7.66381e-05	0.000196135	1.63548e-05	1.08227e-05
l	0.175362	0.758922	0.0442616	0.00524058	0.0105544	0.000730467	0.000208986	0.00208096	0.000300478	0.00233855
ω	0.305174	0.529674	0.0513358	0.0286129	0.00935888	0.0107784	0.00693586	0.0119163	0.00644198	0.0397715
á	0.326422	0.201063	0.11495	0.152091	0.0207271	0.0266587	0.0183933	0.014287	0.0208364	0.104571
m	0.0107204	0.0308359	0.0317518	0.598723	0.185466	0.0751559	0.0329873	0.00265956	0.000978578	0.0307213
a	0.00134066	0.00441286	0.143766	0.242925	0.331892	0.233445	0.0194863	0.0015356	0.00280669	0.01839
i	0.0018153	0.00287169	0.0112772	0.428778	0.428885	0.0771218	0.0346478	0.0014586	0.00074407	0.0124003
n	0.00194106	0.00172773	0.0123428	0.190273	0.398272	0.185511	0.132926	0.00547775	0.00563889	0.0658895
g	0.00432656	0.00773516	0.043152	0.109474	0.576736	0.209571	0.0310695	0.00840207	0.00211714	0.00741574
á	0.0187029	0.0252469	0.164707	0.0564181	0.589065	0.114945	0.00732567	0.0144637	0.00104783	0.00807814
s	0.00519643	0.00126584	0.0427113	0.01748	0.0507925	0.345864	0.100088	0.40238	0.0206891	0.0135338
á	0.122974	0.0118494	0.0239575	0.025291	0.112023	0.33007	0.111171	0.119365	0.114553	0.0287469
w	0.0495263	0.0130674	0.0579841	0.0178092	0.0368884	0.0987664	0.0652038	0.365341	0.293058	0.00235506
ó	0.0106616	0.00460473	0.0694013	0.0314697	0.0552284	0.13573	0.177019	0.266395	0.231792	0.0176981
m	0.00470931	0.00314694	0.00679214	0.00733495	0.00618318	0.0489723	0.241106	0.0800867	0.558251	0.043417
á	0.00337393	0.000756767	0.00487952	0.00295064	0.00264209	0.0867022	0.156162	0.0582021	0.144201	0.54013
</S>	0.0170926	0.00119578	0.00778157	0.00341015	0.00206367	0.0122359	0.0534949	0.142938	0.711709	0.0480783
