 	une	femme	qui	quitte	son	mari	arbitrairement	est	une	imbécile	</S>
o	0.921822	0.0499186	0.00524597	0.017793	0.00373753	0.000360916	0.000227392	0.000335647	0.000356415	0.000138134	6.38324e-05
y	0.0875182	0.88693	0.00527341	0.0127424	0.000812518	0.000801879	0.00467686	0.000303378	0.000350191	0.000368584	0.000222898
ú	0.79498	0.196008	0.000886442	0.00352082	0.00108639	0.0010413	0.00207589	6.36738e-05	0.000122899	0.000148428	6.66919e-05
r	0.935721	0.0401492	0.000700716	0.000978864	0.000395812	0.00642467	0.00929454	0.000693294	0.00193755	0.00165645	0.00204812
u	0.874988	0.0317076	0.020052	0.0152011	0.0102472	0.0193148	0.0133768	0.00329435	0.00594604	0.00263537	0.00323671
y	0.290903	0.226704	0.363448	0.0205046	0.027443	0.0112647	0.00249399	0.0108389	0.00818256	0.00664695	0.0315704
é	0.53313	0.0901658	0.104796	0.0815734	0.0679582	0.0372242	0.0162187	0.0180352	0.0126104	0.013795	0.024493
e	0.298503	0.0137658	0.369802	0.108375	0.132957	0.0282844	0.0045921	0.0101259	0.00851059	0.00251371	0.02257
t	0.00752147	0.00917125	0.130467	0.531375	0.039863	0.243655	0.010128	0.00402554	0.00173796	0.00245558	0.0195994
o	0.0030097	0.000231537	0.051654	0.882629	0.0190244	0.0269118	0.0104454	0.00136361	0.000340302	0.000575708	0.00381506
n	0.00513076	0.000153843	0.0787694	0.822021	0.0409883	0.0285048	0.0196818	0.00133421	0.000473158	0.00039623	0.00254694
á	0.0243466	0.00041544	0.146635	0.699835	0.0713764	0.0266604	0.0113691	0.00459614	0.00090961	0.000747434	0.0131084
o	0.0267171	0.000491723	0.115141	0.209963	0.574391	0.0205052	0.00876561	0.0124277	0.00746125	0.00659008	0.0175456
l	0.00214488	0.000723539	0.00878216	0.128209	0.159252	0.493324	0.18573	0.00700856	0.00331064	0.00524728	0.00626812
ó	0.000356226	1.65777e-05	0.00482337	0.0290326	0.0339252	0.747241	0.137877	0.0100274	0.00559472	0.010789	0.0203169
m	0.000845477	8.69567e-05	0.0166913	0.0660751	0.0953314	0.65444	0.11327	0.0136902	0.00676735	0.0105824	0.02222
i	0.00476051	0.00010982	0.00725017	0.0373707	0.0717448	0.640324	0.0902275	0.0689612	0.0194697	0.0141839	0.0455975
ó	0.00868692	0.000158925	0.0670965	0.0241752	0.18555	0.173566	0.186568	0.232655	0.0538094	0.0143936	0.0533416
n	0.00274226	0.000885181	0.00654933	0.00751912	0.0177664	0.270547	0.271093	0.21386	0.113277	0.0529359	0.0428241
g	0.00548509	0.000357027	0.00270902	0.00196932	0.00757475	0.181069	0.407449	0.13882	0.0798833	0.0203719	0.154311
u	0.000182862	8.63727e-05	0.00125581	0.002027	0.00661284	0.0639126	0.648933	0.170813	0.0788229	0.00938964	0.0179639
a	0.000307093	2.86671e-05	0.000345264	0.00132661	0.00229235	0.0107527	0.713582	0.122297	0.0961806	0.0317792	0.0211082
a	0.000109995	1.14809e-06	0.000959945	0.00020615	0.00159235	0.00266403	0.0931664	0.547112	0.213517	0.0487663	0.0919041
d	0.00083918	1.02212e-05	0.0100485	0.00244216	0.00731265	0.0209272	0.03436	0.250783	0.333919	0.20188	0.137479
i	0.00011674	2.47488e-05	0.000231667	0.000113247	0.000279728	0.00323812	0.0287029	0.0836747	0.0968532	0.148482	0.638283
e	0.000185606	1.21414e-05	0.000471304	0.000207316	0.000858521	0.00309729	0.036466	0.180652	0.238522	0.325944	0.213584
d	0.000149657	1.93831e-05	0.00102256	0.00176194	0.000810862	0.00727621	0.026832	0.0983089	0.198527	0.403924	0.261367
z	3.1443e-05	1.36485e-05	0.000244045	0.000247476	0.000427536	0.00982985	0.0104188	0.0235304	0.0720746	0.674922	0.20826
ú	0.000414231	0.000636552	0.000503976	0.00167178	0.00178676	0.00626345	0.0393498	0.058321	0.153539	0.66245	0.0750629
ú	0.00282185	8.0638e-05	0.000468993	0.000361626	0.000808095	0.00146478	0.0123971	0.0292248	0.0495825	0.743705	0.159084
l	0.000220679	2.21874e-06	0.00106918	0.000217517	0.000282669	0.000606042	0.00504314	0.0443075	0.0987163	0.338734	0.510801
ú	0.000681769	2.1605e-05	0.00166944	0.000678014	0.000858926	0.00316106	0.010071	0.0731309	0.190043	0.290061	0.429623
</S>	0.000708209	6.84734e-05	0.000253048	0.000159771	0.00024742	0.00125347	0.00535353	0.0428492	0.154475	0.280483	0.514149
