 	j'	ai	gardé	un	morceau	de	goudron	dans	une	boite	</S>
n	0.955277	0.0318487	0.00307433	0.00317399	0.00315441	0.00169301	0.000866317	0.000454055	0.000182434	0.000223976	5.2293e-05
g	0.918345	0.0698291	0.0004638	0.00442488	0.0022698	0.00224421	0.0014375	0.000351336	0.000501695	0.000119675	1.3081e-05
á	0.949053	0.0414232	0.00120175	0.00272377	0.00124632	0.000711839	0.0015863	0.000222134	0.00115836	0.000555306	0.000117828
í	0.00727783	0.279321	0.0971446	0.0319114	0.0152082	0.0190673	0.00816057	0.0232611	0.0307754	0.0212828	0.46659
b	0.00198586	0.0431843	0.922648	0.0118627	0.0027542	0.00210134	0.00158711	0.00324973	0.00333923	0.000801841	0.00648588
ó	6.44736e-05	0.00496735	0.982363	0.00583066	0.00135613	0.000866922	0.000652495	0.000811676	0.000666228	0.000960693	0.00146072
m	0.00432232	0.0975769	0.551062	0.150132	0.0541222	0.0115063	0.0126738	0.0213178	0.0593722	0.0114289	0.0264859
b	0.0193748	0.0376917	0.176823	0.330533	0.179977	0.110819	0.0519787	0.0318619	0.0283297	0.0043588	0.0282523
i	0.000354446	0.00985078	0.113248	0.273831	0.302484	0.187109	0.0518375	0.0247244	0.00645627	0.00298502	0.0271199
b	0.00134289	0.0790821	0.0108667	0.217347	0.334626	0.241499	0.0781584	0.0208607	0.00759846	0.000749002	0.00786988
v	0.00169915	0.00461567	0.00904354	0.264769	0.30261	0.125646	0.271873	0.0101775	0.00130243	0.002791	0.00547256
u	3.69822e-05	0.000357804	0.0139336	0.140219	0.240168	0.174988	0.416875	0.00839618	0.00105756	0.00028855	0.00367904
n	8.93765e-05	0.000531186	0.00117325	0.263226	0.463922	0.137533	0.0911058	0.0237603	0.00887635	0.00410322	0.00567943
g	0.00171688	0.00651883	0.00407465	0.248051	0.398694	0.205996	0.0839009	0.0237624	0.010119	0.00146984	0.0156957
u	0.000328971	0.000152574	0.00053911	0.111023	0.419884	0.214944	0.22956	0.00767717	0.00458925	0.000504434	0.0107972
s	1.1797e-05	0.00112007	0.000300877	0.0566494	0.21717	0.309663	0.0256985	0.320664	0.0463841	0.00209608	0.0202426
í	0.000192288	0.000584834	0.00034537	0.0403383	0.148471	0.217032	0.101726	0.354185	0.0856315	0.00429296	0.0472006
n	0.000177241	0.000946369	8.99623e-05	0.00447749	0.0323839	0.212696	0.355185	0.285892	0.0894575	0.0060153	0.0126793
d	0.00210012	0.00306064	0.000223773	0.00366106	0.0163083	0.152992	0.636691	0.1042	0.0666887	0.000485405	0.0135886
z	7.04696e-05	0.000763424	0.000206181	0.00428171	0.0168155	0.119098	0.621085	0.0997187	0.0809502	0.00243867	0.054572
a	2.99715e-05	7.61188e-05	7.69572e-05	0.00826393	0.0276149	0.0811945	0.761817	0.0406095	0.0412428	0.00553367	0.0335406
n	5.52651e-05	0.000847092	0.00217182	0.0252626	0.0539484	0.118001	0.553703	0.0983769	0.032461	0.0081917	0.106981
d	6.21219e-05	0.000232565	0.000811081	0.0161913	0.0619485	0.183869	0.347456	0.277509	0.0556265	0.00622132	0.0500722
z	3.27633e-05	0.000224339	0.000509061	0.010919	0.0423423	0.129464	0.532174	0.112495	0.0348259	0.00698867	0.130026
a	1.98894e-05	2.53968e-05	0.000194071	0.00604147	0.0299346	0.0861278	0.762041	0.0392419	0.0190825	0.0028166	0.0544742
</S>	1.90728e-05	0.0012459	0.00059455	0.00404771	0.0121661	0.0650822	0.0326188	0.533777	0.179384	0.0256676	0.145397
