 	cet	enfant	a	de	la	gale	aux	fesses	</S>
m	0.738592	0.213264	0.0186931	0.00766137	0.0115007	0.00431245	0.00537973	0.000364176	0.000231983
w	0.0350993	0.954982	0.00302731	0.00107341	0.000847282	0.00122529	0.0021832	0.000156613	0.00140592
á	0.00414843	0.995197	0.000194812	0.00017201	0.000128512	0.000111531	3.0317e-05	9.4786e-06	8.30022e-06
n	0.111782	0.88227	0.00199598	0.00120318	0.0011118	0.000199888	0.000699846	3.47013e-05	0.000702301
a	0.0758749	0.336348	0.080692	0.0645591	0.0351568	0.0449282	0.0169767	0.00778698	0.337678
w	0.644574	0.0485549	0.13087	0.0722278	0.0311503	0.00683578	0.037646	0.00866958	0.0194715
ó	0.197781	0.0256676	0.149053	0.122587	0.0978261	0.130401	0.0739529	0.0463684	0.156363
a	0.0897036	0.0200894	0.414055	0.179366	0.113872	0.022977	0.0561508	0.00842676	0.0953596
d	0.00996952	0.00172202	0.447367	0.252364	0.0932376	0.0601686	0.0206205	0.0187401	0.0958109
í	0.00814931	0.00159023	0.356662	0.356889	0.0646243	0.0615311	0.0124426	0.00269776	0.135414
l	0.0124949	0.00916133	0.178173	0.316965	0.17596	0.0559938	0.0386849	0.0121163	0.200451
a	0.00194062	0.00141634	0.112193	0.274303	0.22356	0.127576	0.0392919	0.0135789	0.20614
p	0.010909	0.00241141	0.0794049	0.244093	0.383646	0.199687	0.0160913	0.0346024	0.029155
á	0.00362992	0.00483745	0.0687537	0.121691	0.190507	0.582689	0.00123365	0.00485385	0.0218045
n	0.00180064	0.000134246	0.0309922	0.0571369	0.0910554	0.788218	0.00269486	0.000740991	0.0272272
d	0.00218672	0.000121645	0.076542	0.165619	0.273045	0.425576	0.015742	0.00933621	0.0318314
á	0.012972	0.00209035	0.0796371	0.215873	0.274626	0.21171	0.0252038	0.061005	0.116883
m	0.00952968	0.000608237	0.0584159	0.144387	0.294271	0.263013	0.125969	0.0445302	0.0592767
á	0.0631007	0.00582926	0.0268412	0.0655689	0.23752	0.254847	0.157683	0.0122434	0.176366
n	0.0155578	0.00168696	0.0206089	0.0669082	0.137471	0.179841	0.145423	0.381178	0.0513239
y	0.00628513	0.00416669	0.00851189	0.0378985	0.0530404	0.0331719	0.25	0.564957	0.0419685
ώ	0.00315525	0.00210145	0.00311386	0.0182311	0.0190601	0.0460014	0.156945	0.721746	0.0296452
ώ	0.00033635	0.000388065	0.00326686	0.0229631	0.0163197	0.00624838	0.0141451	0.914662	0.0216709
</S>	0.000826979	5.64354e-05	0.00823253	0.022006	0.0339013	0.0623405	0.436159	0.139645	0.296833
