 	les	gens	sont	déçus	du	fait	qu'	il	n'	y	a	pas	eu	de	gibier	pour	commémorer	la	mort	du	notable	</S>
b	0.360418	0.602847	0.00970399	0.00190214	0.00353219	0.000560305	0.00120158	0.000328191	0.00022619	0.00106147	0.000710501	0.00115676	0.00189723	0.00334125	0.00126545	0.00200041	0.00409724	0.00250868	0.000175051	0.00104705	1.23675e-05	7.09054e-06
a	0.0390839	0.939196	0.0118546	0.00140234	0.000652712	0.000321814	0.000469214	0.000410971	7.83012e-05	0.000192646	0.000307766	0.000149679	0.000381572	0.00040477	0.000726066	0.000818051	0.00123141	0.00112731	0.000221198	0.000396826	0.000556025	1.63905e-05
r	0.0338716	0.954067	0.00639722	0.000882689	0.000217351	0.000175747	0.000325738	0.00020871	2.01854e-05	5.22097e-05	7.86631e-05	3.93541e-05	0.000135407	0.00026478	0.000486535	0.000324761	0.000729521	0.00104114	0.000255545	7.54535e-05	0.00032882	2.16588e-05
e	0.594056	0.342096	0.0207956	0.00267803	0.00125747	0.000990015	0.00084059	0.000511226	7.72087e-05	0.00016363	0.000491857	0.000307996	0.00086664	0.00289192	0.0103929	0.00463802	0.00828304	0.00432204	0.000751229	0.000280631	0.000780083	0.0025276
á	0.321487	0.228734	0.241235	0.00545643	0.0178212	0.0117118	0.00779969	0.00636463	0.00586369	0.00620685	0.00903488	0.00872346	0.0118309	0.0177882	0.0151611	0.0254879	0.00810909	0.0222688	0.00972876	0.00626397	0.000718998	0.0122032
d	0.0620399	0.00689825	0.603029	0.0721804	0.0290885	0.0136359	0.00299435	0.00263128	0.00689864	0.00616485	0.0121737	0.0169025	0.0186088	0.0144067	0.0279306	0.0125563	0.00742003	0.0164091	0.0364272	0.011601	0.00143127	0.0185718
í	0.00972989	0.00351624	0.869954	0.0279066	0.0129887	0.00226238	0.00061671	0.000564151	0.000550073	0.000278987	0.00252269	0.00155573	0.00363972	0.00311397	0.0116312	0.00425304	0.000817812	0.00415023	0.00741191	0.00120116	0.00128045	0.030054
k	0.0297331	0.00799564	0.273372	0.117932	0.103886	0.0288211	0.011925	0.0102293	0.0272231	0.020244	0.023085	0.0384114	0.0332736	0.0387009	0.0294581	0.0350504	0.0122703	0.0203083	0.02573	0.0191347	0.00151747	0.0916986
ω	0.0038511	0.00690492	0.0464555	0.867376	0.0239351	0.00855762	0.00115578	0.000831119	0.0019947	0.00117496	0.00129727	0.00167831	0.00401807	0.00261593	0.00206685	0.00252321	0.0101466	0.00185777	0.00822415	0.000453271	0.00140445	0.0014775
n	0.00154653	0.00284234	0.0523661	0.706554	0.0596738	0.0163124	0.00237375	0.00132285	0.00282487	0.00164481	0.0033083	0.00522188	0.010494	0.00808326	0.00992399	0.00907728	0.0387675	0.0135605	0.0231095	0.00710742	0.00730402	0.0165815
g	0.0062355	0.000913509	0.0525121	0.692483	0.101085	0.0212571	0.00563023	0.00314521	0.00287607	0.00428274	0.0069012	0.00700693	0.010897	0.0123238	0.01097	0.012879	0.00996452	0.00674804	0.0108887	0.00298992	0.00385131	0.0141589
