 	ça	sent	le	brûlé	</S>
é	0.986682	0.00280571	0.00852664	0.00163662	0.000349421
d	0.452577	0.205748	0.0610035	0.274701	0.00597069
í	0.219739	0.637291	0.121858	0.0112689	0.00984364
l	0.0673787	0.25632	0.405511	0.0558738	0.214916
a	0.209127	0.130254	0.271959	0.00595402	0.382705
t	0.111564	0.511567	0.0982833	0.0678279	0.210758
s	0.00955747	0.639627	0.0132162	0.29588	0.0417192
o	0.0133276	0.476257	0.0722239	0.367241	0.0709507
l	0.0022275	0.0439579	0.066883	0.683443	0.203489
o	0.00450905	0.165381	0.113198	0.470563	0.246349
y	0.0267785	0.0296511	0.408219	0.0759791	0.459373
í	0.0381785	0.0257754	0.799812	0.0309575	0.105276
b	0.00559041	0.0101775	0.205425	0.123088	0.655719
o	0.0103838	0.00247414	0.204241	0.510779	0.272122
n	0.000559492	0.00769152	0.0583206	0.705807	0.227621
g	0.00488875	0.00715654	0.0828438	0.59844	0.306671
a	0.0131797	0.00450628	0.0223773	0.422816	0.53712
</S>	0.0198174	0.00194199	0.242427	0.00858816	0.727225
