 	la	femme	ramasse	les	brins	d'	herbe	</S>
o	0.975273	0.0232988	0.000134903	0.000142272	0.000108029	0.000470428	0.000514915	5.77337e-05
y	0.0606578	0.937448	0.000609291	7.67033e-05	0.000135513	0.000207327	0.000425437	0.000440215
ú	0.865223	0.134281	0.000134852	3.01865e-05	0.00014394	8.43e-05	8.27097e-05	1.92922e-05
r	0.918001	0.0532057	0.000952035	0.000396093	0.000889294	0.0018743	0.00452292	0.0201591
u	0.983562	0.00316344	0.00138649	0.000693372	0.00110262	0.00221972	0.0022399	0.0056328
l	0.108038	0.0918939	0.575935	0.113297	0.0223754	0.0242716	0.0123891	0.0518004
á	0.200249	0.00850368	0.368631	0.143028	0.118629	0.0449927	0.0131377	0.102829
a	0.448048	0.0069116	0.286996	0.150159	0.0555149	0.0311818	0.00758561	0.0136036
t	0.0213022	0.00240163	0.745524	0.140416	0.0770406	0.00768324	0.00156433	0.00406785
ώ	0.0107106	0.000268265	0.656146	0.205321	0.0795663	0.0239783	0.00369082	0.0203182
ώ	0.00733348	0.000223114	0.653199	0.139377	0.088995	0.0607483	0.02829	0.0218337
t	0.013332	3.76376e-05	0.166684	0.308997	0.157685	0.291354	0.0411334	0.0207773
s	0.0188109	0.000226061	0.179238	0.141216	0.177857	0.166837	0.184036	0.131779
a	0.00639302	0.000113825	0.0435329	0.255143	0.206351	0.115135	0.347082	0.0262488
l	0.00657355	0.000901163	0.0817562	0.345231	0.121754	0.0932553	0.188586	0.161942
e	0.00186901	3.92093e-05	0.0309081	0.0430524	0.282979	0.095006	0.221893	0.324253
e	0.00449802	3.8366e-05	0.144204	0.0550918	0.0701891	0.24555	0.198412	0.282016
</S>	0.00421188	4.41002e-05	0.0213594	0.0034818	0.0232351	0.0873496	0.556164	0.304154
