 	il	y	a	des	nappes	de	brume	sur	le	fleuve	</S>
l	0.214465	0.358881	0.132911	0.153388	0.09904	0.0211311	0.00581959	0.00623766	0.00744349	0.000478094	0.000204322
e	0.175887	0.224373	0.136266	0.149492	0.195253	0.0181773	0.00823699	0.0301608	0.0439129	0.0153768	0.00286362
b	0.0387347	0.219509	0.17169	0.225732	0.228544	0.0348721	0.00783289	0.0161689	0.0100851	0.021716	0.0251153
o	0.00734782	0.0207893	0.0355595	0.0876913	0.774139	0.0436814	0.00762776	0.00367422	0.00125325	0.00551559	0.0127207
n	0.00538743	0.0439587	0.0642833	0.170585	0.634206	0.0447246	0.0011412	0.00246538	0.00285882	0.0034499	0.0269402
g	0.0590437	0.0425737	0.0456817	0.148598	0.587475	0.0459642	0.00697896	0.0108224	0.011391	0.0155183	0.025953
i	0.0286334	0.0263382	0.0277451	0.0856367	0.799572	0.0221514	0.00215468	0.00139389	0.00124568	0.00129779	0.00383112
í	0.129159	0.0622337	0.143984	0.135403	0.0280231	0.408939	0.043549	0.0266979	0.0139175	0.00111744	0.00697688
s	0.0407822	0.0187392	0.199257	0.0541294	0.00289626	0.174992	0.29447	0.134049	0.056651	0.0046175	0.0194164
á	0.00130588	0.00126784	0.0229625	0.0114766	0.00121782	0.0391936	0.737181	0.12655	0.0222312	0.00494767	0.0316653
a	0.0222586	0.00403855	0.0464276	0.0336343	0.0034628	0.0770196	0.566991	0.107647	0.0493447	0.00847178	0.0807045
s	0.00372203	0.00223922	0.0118197	0.0142908	0.00259993	0.112329	0.40149	0.261173	0.151254	0.0207468	0.0183351
á	0.000646572	0.000927045	0.00615513	0.00472779	0.000937459	0.022427	0.415071	0.280967	0.104411	0.0609263	0.102804
n	0.0101224	0.00316479	0.0085656	0.0146856	0.00429297	0.0444795	0.179418	0.166251	0.215446	0.287995	0.0655791
d	0.00385029	0.00175719	0.00774331	0.0296879	0.0280192	0.0855001	0.45351	0.0891953	0.0961619	0.16753	0.0370443
z	0.00234203	0.00114836	0.00747037	0.0126503	0.015305	0.0570583	0.414121	0.104178	0.123017	0.197209	0.0655001
á	0.000407872	0.000749618	0.00314502	0.0142327	0.0783183	0.0421914	0.140112	0.103832	0.133102	0.454853	0.0290554
l	0.000188636	0.00060554	0.00199887	0.00571421	0.00370925	0.0195531	0.0501424	0.0914628	0.0822829	0.340181	0.404162
é	0.000658987	0.00115869	0.0043818	0.00464014	0.00373608	0.0126044	0.137146	0.212494	0.207305	0.25848	0.157395
</S>	0.000609567	0.00152393	0.00452759	0.00363166	0.00068688	0.0244135	0.0598282	0.182021	0.181438	0.170642	0.370679
