 	ils	vont	attaquer	otsegne	cette	nuit	</S>
b	0.714747	0.278823	0.000344528	0.00132868	0.00350051	0.00121461	4.14549e-05
á	0.881002	0.112771	0.000519438	0.00129275	0.00336404	0.000974957	7.5634e-05
a	0.819257	0.17821	0.000487243	0.000120526	0.000980104	0.000105076	0.000840212
b	0.159286	0.77155	0.049655	0.00572013	0.00391809	0.00157861	0.00829144
á	0.482195	0.387279	0.098283	0.0223798	0.0043978	0.00129239	0.0041729
a	0.358641	0.561522	0.0360122	0.00322087	0.0120257	0.00293184	0.0256469
k	0.00264391	0.0579208	0.902661	0.0251161	0.00191784	0.000657709	0.0090827
í	0.00118668	0.0182694	0.955171	0.0230849	0.000604868	0.000408608	0.00127461
n	0.00396131	0.108529	0.81297	0.0687754	0.00112396	0.000590434	0.00404981
d	0.00853438	0.123483	0.703436	0.141242	0.00791054	0.0016584	0.0137348
á	0.0304074	0.177899	0.424858	0.264442	0.0463478	0.0050352	0.0510105
o	0.052671	0.115432	0.116185	0.560539	0.118338	0.0213128	0.0155223
t	0.00123583	0.00540944	0.131631	0.79116	0.0313082	0.0332785	0.00597668
s	0.000155563	0.00359271	0.0359288	0.922175	0.0118633	0.0216935	0.00459126
ε	0.000250651	0.0033053	0.0897372	0.866184	0.00886323	0.0274145	0.00424533
n	0.0012093	0.00496687	0.0246833	0.65563	0.189514	0.0335264	0.0904695
y	0.0128024	0.0179817	0.0240452	0.625847	0.221456	0.0381953	0.0596732
έ	0.00503776	0.0158984	0.0220151	0.442827	0.287345	0.03136	0.195517
ε	0.00152326	0.00441194	0.00190559	0.100081	0.73777	0.103682	0.0506262
k	0.0019361	0.00436273	0.00124039	0.0207203	0.393198	0.476092	0.102451
ó	0.000954692	0.00556637	0.00906111	0.0704349	0.0681009	0.821929	0.0239531
l	0.000160547	0.00100501	0.00817886	0.1277	0.0382871	0.773957	0.0507111
i	0.00118018	0.00234002	0.00918866	0.039914	0.136374	0.615466	0.195538
y	0.00123799	0.00252724	0.00380869	0.0171227	0.267713	0.169223	0.538368
á	0.00299824	0.0163469	0.00800872	0.0239634	0.45547	0.153893	0.33932
p	0.00353271	0.00845119	0.00459879	0.0215885	0.490099	0.336778	0.134952
á	0.00275216	0.00621869	0.00275724	0.0113402	0.13466	0.781086	0.061186
b	0.00276189	0.0135397	0.013205	0.0308099	0.165557	0.590726	0.183401
h	0.0238032	0.0236241	0.00823046	0.0290895	0.140009	0.441328	0.333916
a	0.00550734	0.027286	0.0351328	0.0865303	0.153324	0.300799	0.391421
y	0.0011088	0.00555874	0.0183124	0.0578685	0.243388	0.219195	0.454569
é	0.00133109	0.014154	0.00887287	0.0247632	0.296798	0.0658344	0.588246
</S>	0.00111957	0.00287078	0.00536417	0.0212246	0.246887	0.196821	0.525712
