 	ma	femme	est	enceinte	</S>
n	0.862168	0.129002	0.00631107	0.00140052	0.00111846
g	0.947496	0.0497888	0.00076777	0.00165338	0.0002942
á	0.195916	0.795039	0.000597339	0.00810196	0.000346578
m	0.302893	0.51365	0.0689203	0.0426114	0.0719249
w	0.0432458	0.936707	0.01331	0.00193868	0.00479796
á	0.735815	0.249579	0.0072145	0.00115299	0.00623926
s	0.986299	0.00400036	0.00851316	0.000103256	0.0010841
í	0.490779	0.133382	0.0362904	0.139472	0.200076
a	0.153687	0.0419729	0.615667	0.112193	0.0764794
b	0.0131584	0.00396339	0.890004	0.0660241	0.02685
h	0.0471097	0.00391449	0.817758	0.0180127	0.113205
i	0.0323363	0.00130288	0.725091	0.0190028	0.222267
s	0.0915783	0.000884903	0.263932	0.0969158	0.546689
ε	0.020095	0.00276748	0.0574828	0.756348	0.163307
n	0.00539541	0.000620888	0.0405894	0.61244	0.340955
g	0.024646	0.000217235	0.00708667	0.883547	0.0845029
έ	0.052221	0.00324868	0.0156909	0.661104	0.267736
</S>	0.00306284	5.45973e-05	0.0500479	0.122651	0.824184
