 	où	est	ton	enfant	</S>
m	0.618966	0.156873	0.212754	0.00651036	0.00489714
w	0.0351699	0.0271946	0.0387335	0.811915	0.0869868
á	0.00317441	0.00367276	0.000673519	0.992367	0.000112168
n	0.0870495	0.0262863	0.0196492	0.855692	0.0113234
a	0.117093	0.189874	0.0255831	0.189447	0.478004
y	0.344624	0.0623044	0.574807	0.00668682	0.0115785
a	0.241901	0.3532	0.324123	0.00714447	0.0736311
n	0.252267	0.0221946	0.652938	0.0551795	0.0174205
ω	0.293438	0.024424	0.613441	0.0626656	0.00603149
a	0.053985	0.152172	0.119838	0.0256216	0.648383
d	0.0714461	0.25642	0.41526	0.0435268	0.213348
é	0.0130226	0.063535	0.0562787	0.00757738	0.859586
e	0.0477739	0.0738137	0.41068	0.0123164	0.455417
</S>	0.015423	0.0427524	0.147261	0.0879121	0.706652
