 	on	a	augmenté	le	prix	du	manioc	à	oyo	</S>
á	0.889381	0.104506	0.00160473	0.000639035	0.000802871	0.00204951	0.000538974	0.000340092	3.02038e-05	0.000108254
m	0.0910588	0.489493	0.2433	0.121135	0.0271809	0.00561334	0.0008787	0.00304667	0.0157015	0.00259117
i	0.0296925	0.0717368	0.573657	0.13272	0.0663833	0.037805	0.00166607	0.0173539	0.0025774	0.0664082
l	0.00379798	0.0301037	0.931015	0.0142926	0.0018735	0.00219735	0.00246195	0.0028848	0.000550108	0.0108233
é	0.0016709	0.0206232	0.945443	0.0157557	0.00205215	0.00121433	0.00099548	0.000936443	0.000507306	0.0108013
é	0.022002	0.0942078	0.719476	0.0730892	0.0230013	0.0141674	0.000652429	0.00903333	0.00402645	0.0403442
s	0.0587506	0.053376	0.125362	0.530779	0.117746	0.0530557	0.00620357	0.0241159	0.00863496	0.021976
á	0.00669011	0.0116501	0.357173	0.413855	0.124415	0.0264506	0.00128015	0.00914081	0.00718991	0.042155
o	0.0520054	0.0216443	0.0827998	0.33187	0.301538	0.125734	0.00222708	0.0161311	0.0300603	0.0359897
t	0.000727425	0.00131768	0.0232936	0.631757	0.183396	0.0846708	0.0471764	0.0022903	0.0187595	0.00661135
ú	0.000879199	0.0029622	0.0133283	0.414446	0.1485	0.217201	0.083441	0.00445141	0.0466769	0.0681142
y	0.00229919	0.00224158	0.00601591	0.23485	0.202939	0.119379	0.0332707	0.00630643	0.0699893	0.322708
a	0.00551954	0.00118292	0.000724038	0.252096	0.435277	0.188649	0.0127099	0.0133717	0.0312877	0.0591822
m	0.00276163	0.00284271	0.0124124	0.0767514	0.292654	0.375893	0.0942121	0.0778353	0.0118542	0.0527829
é	0.0107872	0.00277606	0.000762279	0.100713	0.402905	0.254779	0.016784	0.0879454	0.011909	0.11064
k	0.00272925	0.00201906	0.00126659	0.0558286	0.187852	0.31685	0.171713	0.0762377	0.159091	0.0264129
ώ	0.000511119	0.00031537	0.000232559	0.0100097	0.0356441	0.113873	0.75406	0.0123852	0.0184718	0.054497
ώ	4.2543e-05	4.06955e-05	0.00024645	0.00879128	0.0313915	0.10342	0.673512	0.0402115	0.0730989	0.0692449
s	0.00206231	0.00150973	0.0019997	0.028603	0.110207	0.100071	0.0580802	0.467053	0.0656031	0.164811
ó	0.0046363	0.00295359	0.00195892	0.0505007	0.32761	0.0937833	0.00690504	0.108565	0.113961	0.289126
y	0.058588	0.00679824	0.00139881	0.0129616	0.115488	0.0691934	0.00642633	0.0515444	0.64347	0.0341303
ó	0.001653	0.00452421	0.00459064	0.0222368	0.106135	0.0136557	0.00104515	0.0573621	0.711806	0.0769921
o	0.00206207	0.00207283	0.00176219	0.00718297	0.0733601	0.0320471	0.00246919	0.11659	0.352259	0.410194
</S>	0.000186074	0.00035889	0.000919855	0.00787378	0.0273558	0.0300039	0.0137613	0.185711	0.249329	0.484501
