 	tu	es	venu	à	pied	</S>
n	0.810775	0.17863	0.00251274	0.00462617	0.0030614	0.000394258
ω	0.855242	0.132147	0.00165388	0.00905989	0.000202	0.00169472
ó	0.058391	0.889544	0.0429464	0.00243999	0.0012239	0.00545413
y	0.00182082	0.206687	0.614493	0.0616632	0.00815339	0.107182
ε	0.0151683	0.0793474	0.797813	0.0522027	0.00177396	0.0536942
ε	0.00149042	0.0421395	0.575756	0.146158	0.0054599	0.228996
m	0.000729292	0.0717523	0.225038	0.381218	0.0311153	0.290147
o	0.000770249	0.0133859	0.13133	0.407865	0.00620818	0.440441
a	0.000174021	0.0207896	0.124029	0.277638	0.138952	0.438417
k	3.37234e-05	0.016155	0.0613436	0.292068	0.473252	0.157147
o	5.14783e-05	0.00112113	0.0350793	0.0656576	0.7407	0.15739
o	1.4611e-05	0.00177989	0.0125267	0.0191015	0.917457	0.0491207
</S>	2.81638e-05	0.00290064	0.00513223	0.169581	0.0982322	0.724126
