 	elle	mit	la	sauce	dans	un	bol	</S>
w	0.627883	0.197084	0.0931366	0.0453933	0.0110874	0.0218393	0.00348113	9.49198e-05
a	0.546159	0.0516416	0.13601	0.0908669	0.0325547	0.142281	0.000362538	0.000124087
a	0.34975	0.215571	0.215045	0.0970163	0.0524689	0.0298778	0.00205752	0.0382128
k	0.109311	0.545889	0.117371	0.0200797	0.0397387	0.0105322	0.00408284	0.152996
a	0.087442	0.667589	0.103258	0.0387733	0.0530793	0.00901185	0.000670202	0.0401765
n	0.0278606	0.657573	0.0684292	0.0195031	0.067616	0.00369215	0.00457666	0.150749
í	0.178358	0.314548	0.226837	0.0673264	0.0348697	0.0143726	0.00316254	0.160526
b	0.0648739	0.129827	0.268301	0.423385	0.0567881	0.0320932	0.00208309	0.0226493
e	0.23447	0.0919493	0.152578	0.325621	0.133626	0.0490699	0.00305024	0.00963623
a	0.0532985	0.0828263	0.0956592	0.573128	0.110556	0.0436215	0.00502619	0.0358837
s	0.0153276	0.0610674	0.111178	0.0867175	0.530142	0.0939118	0.0266907	0.0749649
á	0.00544518	0.0157849	0.080796	0.0447775	0.638823	0.0860414	0.0154901	0.112842
s	0.00297054	0.00422912	0.0704238	0.0608559	0.432906	0.28306	0.060892	0.0846628
a	0.00123015	0.00255671	0.0271148	0.0235694	0.448733	0.256236	0.202957	0.0376027
á	0.00264304	0.00173322	0.0357309	0.0379566	0.29518	0.365922	0.0938283	0.167006
n	0.0059699	0.012331	0.0246046	0.0102514	0.148328	0.165965	0.481019	0.151531
i	0.00205767	0.000929856	0.0115446	0.00795903	0.0384486	0.0517843	0.831285	0.0559908
l	0.00134736	0.00326434	0.0497769	0.0237804	0.171519	0.119833	0.23642	0.394059
á	0.0305937	0.037039	0.066514	0.0262701	0.115782	0.255058	0.141711	0.327032
i	0.0152313	0.0154593	0.0761491	0.0488142	0.0954893	0.430186	0.078067	0.240604
b	0.0100414	0.0439562	0.0203337	0.00412651	0.0741225	0.064786	0.227476	0.555158
é	0.0180741	0.121764	0.058192	0.0468904	0.25969	0.2261	0.000729444	0.26856
á	0.000979141	0.00856218	0.00651906	0.00424208	0.0610841	0.0492849	0.00231357	0.867015
</S>	0.00628013	0.00385915	0.0130452	0.0357591	0.0408539	0.0500765	0.155139	0.694987
