 	tout	en	chantant	les	femmes	d'	ongondza	sont	en	train	d'	élever	une	butte	en	mémoire	d'	un	mort	</S>
a	0.230432	0.428866	0.166192	0.0899291	0.0330289	0.00691101	0.0124203	0.00662121	0.00798958	0.000737956	0.00420744	0.000545673	0.00390952	0.00275019	0.00264422	0.00010004	0.00143493	0.00113626	0.000110793	3.30637e-05
y	0.0411054	0.395741	0.417482	0.039909	0.064596	0.00603005	0.00453257	0.00134098	0.000460937	0.00133684	0.000324895	0.000292014	0.00114937	0.00100258	0.000554706	0.0133981	0.000659275	0.00189913	0.00630275	0.00188196
ú	0.0280896	0.218418	0.495115	0.077093	0.104911	0.00882957	0.0456295	0.00449271	0.000223614	6.46607e-05	0.000435965	0.00715228	0.00415725	0.000799405	0.000842855	0.000162827	0.000387644	0.000568737	0.00073322	0.00189357
r	0.0525097	0.186857	0.435344	0.0818686	0.0730413	0.0233196	0.04258	0.00773343	0.000552626	5.40789e-05	0.000704761	0.00390123	0.0144716	0.0011384	0.00460183	0.00307652	0.00338154	0.00722808	0.0039336	0.0537019
u	0.151951	0.201563	0.33576	0.100346	0.0553393	0.036681	0.0842937	0.0129541	0.00211859	7.53059e-05	0.00252353	0.000135186	0.00286679	0.000767984	0.00219684	0.00277814	0.0013178	0.00123111	0.0013068	0.00379339
b	0.100674	0.0490123	0.0658376	0.471717	0.0443777	0.0326721	0.0252389	0.014174	0.0316107	0.00970913	0.0327905	0.00773725	0.0163412	0.00571424	0.00959854	0.00321097	0.0234545	0.010967	0.00618247	0.0389801
o	0.107616	0.0700426	0.0197254	0.19941	0.0161231	0.0874248	0.0580786	0.0630385	0.105419	0.0102546	0.0193447	0.00253785	0.0590256	0.0315886	0.0276135	0.00164314	0.0322482	0.0352852	0.0197248	0.0338561
n	0.0808048	0.0588138	0.0350231	0.392751	0.144469	0.0626222	0.0332498	0.0198251	0.0472747	0.0142581	0.00670081	0.021546	0.0113427	0.0142987	0.00533074	0.00451922	0.0179561	0.0112369	0.00402709	0.0139501
g	0.117292	0.129297	0.0898276	0.104112	0.152183	0.0650359	0.272032	0.0310371	0.00539026	0.000375372	0.00203434	0.000383429	0.00520434	0.00037871	0.00210378	0.00344397	0.00189595	0.00141876	0.000690221	0.0158648
ó	0.0109585	0.0118347	0.0168339	0.0358062	0.0668492	0.0180946	0.791842	0.0273305	0.0086411	0.00362387	0.000394829	0.000689588	0.00147312	0.000345382	0.000443885	0.00139022	0.000285269	0.000420231	0.000406051	0.00233746
n	0.0223264	0.0124465	0.010197	0.0817613	0.0324063	0.0970686	0.2777	0.0902675	0.22772	0.0653696	0.0138819	0.00360603	0.0169541	0.00386206	0.00609593	0.00362749	0.00801363	0.00717742	0.00333414	0.0161835
d	0.0219749	0.0227529	0.02333	0.12241	0.11405	0.0902206	0.272185	0.193612	0.0671906	0.00697467	0.0179012	0.00303031	0.00944829	0.00203771	0.00401401	0.00306923	0.00455443	0.00266021	0.00190845	0.0166754
z	0.00350719	0.00292113	0.00771525	0.0125287	0.101932	0.0267203	0.624957	0.190065	0.0163789	0.00133472	0.00136963	0.00266903	0.00117855	0.000330601	0.000417615	0.00102223	0.000162764	0.000222962	0.000417186	0.00414944
a	0.00317921	0.00528805	0.0205006	0.0137668	0.0506739	0.046677	0.661851	0.159829	0.015913	0.000635021	0.00139896	0.000197156	0.00150098	0.000308216	0.000974737	0.00536229	0.000607641	0.000462568	0.000882012	0.00999247
b	0.01611	0.0128886	0.0160643	0.172274	0.113515	0.138713	0.064193	0.0990917	0.217113	0.0284985	0.0399129	0.0344715	0.0169699	0.00601274	0.00486147	0.0035215	0.0055486	0.00198219	0.00164459	0.00661351
ó	0.0213544	0.0066007	0.00338952	0.040826	0.00974881	0.0810515	0.115177	0.157097	0.25214	0.0626378	0.058654	0.00671095	0.0384782	0.0786044	0.0243272	0.00189515	0.0095116	0.00492653	0.0156438	0.0112241
b	0.00694108	0.00464513	0.0033821	0.0583521	0.00539961	0.0396381	0.0302663	0.0286111	0.290619	0.337857	0.0619511	0.0418068	0.0337384	0.0116915	0.0204327	0.000932752	0.00917151	0.00776111	0.00154945	0.00525382
á	0.0555279	0.0486578	0.005545	0.102619	0.070942	0.106908	0.0585844	0.117662	0.120127	0.0665126	0.0671662	0.0474915	0.0669707	0.0323468	0.0193122	0.00158547	0.00255425	0.00136167	0.00239696	0.00572802
a	0.00644598	0.00626914	0.00140586	0.0746415	0.0156839	0.126653	0.0409768	0.117837	0.252377	0.104978	0.0979238	0.0494347	0.048808	0.0226663	0.0178929	0.00296998	0.00254055	0.00348876	0.00254665	0.00446013
s	0.00424941	0.00337011	0.00213937	0.00666507	0.0658521	0.0462599	0.00999116	0.00847134	0.00483093	0.0034525	0.0326502	0.579269	0.0963872	0.0665114	0.0078843	0.0367214	0.00440887	0.00241961	0.00110692	0.0173595
á	0.000208152	0.00139476	0.00728243	0.00327628	0.11199	0.0280156	0.00595306	0.00107553	0.000189864	0.000201992	0.000914391	0.758652	0.0142038	0.00462864	0.00499433	0.0502413	0.000555237	0.000773247	0.00038993	0.00505937
á	0.00262247	0.000967429	0.000566806	0.00809097	0.0121908	0.125605	0.0591971	0.0367662	0.00534939	0.000835913	0.0586589	0.151273	0.363052	0.0548189	0.0288674	0.0148557	0.0088186	0.00613108	0.00315905	0.0581736
b	0.00116158	0.000400534	0.000533244	0.00510591	0.00152386	0.0241566	0.0233327	0.0143629	0.0111017	0.00714655	0.222462	0.0473913	0.234595	0.186724	0.17833	0.0133979	0.015907	0.00637665	0.00182714	0.00416356
v	0.00955036	0.00371751	0.000501801	0.00905468	0.00139189	0.0515249	0.0302412	0.0412534	0.0165038	0.0254979	0.0848141	0.0618632	0.12642	0.353235	0.099168	0.0307285	0.0150208	0.00486647	0.0309023	0.00374347
w	0.000443064	0.000469934	0.000401634	0.00227444	0.000376681	0.0206536	0.0102377	0.0099688	0.012629	0.00488034	0.0283452	0.0202354	0.137669	0.210361	0.398664	0.0929491	0.015082	0.00845348	0.0196711	0.00623399
o	0.000380414	0.000559846	0.000417407	0.00210517	0.000245437	0.0258993	0.00499028	0.00712513	0.011456	0.000871158	0.0353175	0.0107872	0.236324	0.36066	0.203564	0.0299801	0.0151471	0.0160553	0.0174335	0.020682
o	7.12091e-05	0.000204526	0.000874022	0.0028592	0.000441042	0.0275783	0.00337029	0.00162838	0.00303196	0.00105809	0.0170755	0.00776462	0.0977469	0.155934	0.296799	0.259321	0.0639243	0.0215122	0.00949973	0.029306
l	0.000826708	0.000558614	0.000400899	0.00147614	0.000210875	0.012837	0.000593845	0.000692821	0.00107428	5.14559e-05	0.0149288	0.00213457	0.18805	0.179798	0.152433	0.084743	0.260299	0.0606489	0.0117043	0.0265366
a	0.00428952	0.0054097	0.00169323	0.00467635	0.000830744	0.0322305	0.00523271	0.00149923	0.00380867	0.000798067	0.00752508	0.00512159	0.143488	0.123655	0.0868908	0.0920007	0.194022	0.0869606	0.056492	0.143376
b	0.000550895	0.000528136	0.000673915	0.00270074	0.000218879	0.026711	0.00684453	0.00213555	0.00535315	0.000737549	0.0140031	0.000898501	0.072401	0.0559779	0.165972	0.0284444	0.313166	0.161042	0.0371854	0.104455
á	0.00232722	0.00380418	0.00267726	0.0133909	0.000656287	0.0298523	0.00306953	0.00186238	0.0036257	0.00115029	0.00818003	0.00602601	0.124264	0.282639	0.167015	0.0749523	0.091171	0.0666803	0.0973864	0.0192699
a	0.00163391	0.00160227	0.000472479	0.0041051	0.000322397	0.0220015	0.00876859	0.00494033	0.0129487	0.0173222	0.0346738	0.00227102	0.058912	0.165767	0.143054	0.0159089	0.138659	0.123857	0.180649	0.0621309
k	0.000573518	0.000322265	0.000164394	0.000631527	0.00011901	0.00430861	0.000183036	0.000316837	0.000707129	6.79772e-05	0.0017486	0.000710412	0.0258881	0.0368267	0.0166551	0.0391437	0.301423	0.227293	0.110157	0.232761
y	0.000118934	0.000364737	0.000457379	0.000727969	0.000358707	0.00729316	0.00019121	0.000272445	0.000664341	6.32946e-05	0.000549593	0.000550892	0.0170996	0.10996	0.0166871	0.174222	0.23564	0.172334	0.106539	0.155905
a	0.00277622	0.00507651	0.00151559	0.00220858	0.000302119	0.0194526	0.00281613	0.00197461	0.00229212	0.000339677	0.00575753	0.00158473	0.0433218	0.208658	0.0296509	0.139994	0.136222	0.0773449	0.210946	0.107767
b	0.000166716	0.000262922	0.000290128	0.000466181	6.15162e-05	0.00214627	0.000289757	0.00075503	0.000888906	0.000237572	0.00341437	0.000349443	0.016979	0.0582801	0.0237002	0.0301775	0.225654	0.109923	0.216307	0.30965
á	0.000637163	0.000480075	0.000118195	0.000220448	1.56877e-05	0.00356986	0.000833844	0.000823586	0.00240647	0.00016133	0.00127332	0.000186421	0.0153122	0.105069	0.00993357	0.0179146	0.168689	0.126381	0.301157	0.244818
a	0.00179911	0.000598876	8.88512e-05	0.000697085	3.07227e-05	0.0030925	0.00258151	0.00287482	0.00394822	0.00259155	0.00740864	0.00018537	0.0143653	0.02285	0.0214366	0.0026061	0.145074	0.160372	0.379864	0.227534
y	0.000969122	0.000434945	0.000260184	0.00119949	0.000242827	0.0052065	0.000434159	0.000549025	0.001114	0.000177269	0.00142356	0.000662968	0.0109084	0.00534007	0.00526871	0.00638298	0.108341	0.222185	0.222817	0.406083
é	0.000285639	0.000744056	0.00389383	0.00313423	0.00173833	0.0172878	0.00355162	0.000450382	0.000617871	5.2602e-05	0.00131419	0.00608545	0.0332796	0.0105091	0.0241047	0.0081303	0.0878699	0.344767	0.111957	0.340226
m	8.4329e-05	7.87851e-05	6.12284e-05	0.000306454	3.12729e-05	0.0022745	0.00047025	0.000176948	0.000350053	4.66679e-05	0.000617599	0.000177956	0.00775391	0.00138302	0.00371824	0.0026458	0.0393363	0.104736	0.156584	0.679167
b	5.76043e-05	0.000108277	0.000213895	0.000722077	0.000146159	0.0118592	0.00220535	0.000679803	0.000349109	1.17761e-05	0.000896477	0.000131528	0.0133733	0.00980162	0.0241717	0.00357091	0.0652768	0.252461	0.288404	0.32556
a	0.00117582	0.00179098	0.000380815	0.002268	0.000261151	0.0200342	0.00937693	0.00682109	0.00749755	0.000551092	0.00374715	3.2506e-05	0.0103142	0.00366876	0.0145442	0.0145171	0.0504279	0.0980352	0.317573	0.436982
</S>	0.000371071	0.000350081	0.000170132	0.000533619	2.14303e-05	0.002604	0.000891114	0.000501639	0.00134555	0.000335243	0.00244925	9.25808e-05	0.00834382	0.0101159	0.0117687	0.00558407	0.125334	0.164217	0.309552	0.355419
