 	les	jeunes	gens	ont	implanté	une	église	ici	dans	le	village	</S>
l	0.548822	0.372569	0.06044	0.0104131	0.000214494	0.00129057	0.0031292	0.000962034	0.000744917	0.00132642	5.04976e-05	3.71164e-05
l	0.186398	0.745186	0.00143251	0.026847	0.00441318	0.01561	0.00129228	0.0045101	0.00738216	0.00568639	0.00101408	0.000228535
ε	0.13312	0.75099	0.00256332	0.00945651	0.00722308	0.0241707	0.065469	0.00225986	0.00362883	0.000627891	0.000221482	0.000268882
n	0.18256	0.725321	0.00836054	0.0197196	0.00997759	0.0220181	0.00612205	0.0127672	0.00674695	0.0020805	0.00120882	0.00311821
g	0.368368	0.570561	0.0016209	0.00306898	0.00284623	0.0209078	0.00469387	0.00867513	0.00472215	0.00135672	0.000188842	0.0129898
έ	0.147161	0.825536	0.0011193	0.00248921	0.00080367	0.00655708	0.00505203	0.00398712	0.00190783	0.000767499	8.00826e-05	0.00453914
í	0.0633206	0.0540834	0.0533623	0.605142	0.137148	0.0210434	0.000480102	0.00879574	0.00630709	0.0051113	0.000336967	0.0448692
m	0.023699	0.0183703	0.021246	0.41666	0.432673	0.0581507	0.00230602	0.010167	0.00679022	0.00131019	0.000329312	0.00829744
i	0.0297319	0.0269197	0.0248385	0.146982	0.581903	0.145971	0.00757468	0.0147243	0.00701709	0.00256693	0.000162911	0.0116071
y	0.00181452	0.00209107	0.00106448	0.0310511	0.834405	0.109002	0.00376729	0.00785851	0.00282198	0.000485629	0.000298735	0.00533931
a	0.0022458	0.000832203	0.000225881	0.0206174	0.887214	0.073419	0.00640762	0.00181268	0.00255285	0.000373162	0.00110585	0.00319332
á	0.00903394	0.00175506	0.00190945	0.0390775	0.578693	0.268768	0.0164266	0.00712042	0.010144	0.00149882	0.000501997	0.0650711
l	0.0134559	0.00526268	0.0444503	0.163938	0.15661	0.331115	0.219653	0.0227841	0.0104919	0.018626	0.00365955	0.0099539
a	0.011071	0.00438017	0.0115156	0.0776161	0.149102	0.298993	0.170208	0.0968602	0.0692945	0.0333169	0.00261474	0.0750282
n	0.0162952	0.00690502	0.0204385	0.0859564	0.111327	0.228076	0.331588	0.109302	0.0447335	0.0184049	0.00481455	0.0221585
d	0.00065052	0.000536988	7.04055e-05	0.000417318	0.000737146	0.0136864	0.978592	0.00239915	0.00185882	0.000529059	2.00525e-05	0.000502196
z	0.000935185	0.00115246	0.000245409	0.00578339	0.0162921	0.118716	0.810338	0.0189037	0.0152633	0.00338741	0.0016315	0.00735157
a	0.000369286	0.00154033	7.49167e-05	0.00130111	0.00645368	0.144633	0.795088	0.0251563	0.0143716	0.00325622	0.00220587	0.00555008
m	0.00633119	0.00971469	0.00355981	0.00386229	0.00540986	0.140953	0.353719	0.1463	0.186231	0.0310362	0.00609141	0.106792
b	0.00363185	0.00185573	0.00104019	0.00397269	0.00441708	0.131521	0.456259	0.240397	0.0577369	0.0423184	0.00455967	0.0522909
é	0.0205995	0.0239129	0.00134967	0.0013621	0.00253418	0.163118	0.348505	0.352582	0.0394912	0.0198958	0.000681481	0.0259686
s	0.00208025	0.0019401	0.00270321	0.0134231	0.01367	0.0807838	0.0403385	0.505967	0.1972	0.0884271	0.00442706	0.0490394
á	0.00241015	0.000950428	0.0001925	0.000548896	0.00350348	0.0514794	0.432423	0.239499	0.176894	0.0509271	0.00502891	0.0361427
p	0.00583221	0.00173026	0.00169288	0.00498175	0.00582023	0.0300138	0.0761959	0.252735	0.193562	0.091854	0.314041	0.021541
o	0.000673616	0.000875871	0.000500583	0.000806503	0.00354704	0.0163718	0.00294168	0.0956635	0.0500926	0.0120221	0.805009	0.0114959
o	0.000438305	0.000508225	0.000190368	0.000322565	0.00891306	0.0402003	0.0089306	0.0589306	0.103366	0.0268719	0.701991	0.0493379
b	0.000676673	9.41101e-05	0.000109571	0.000831716	0.00271617	0.0182955	0.00331539	0.0726883	0.300268	0.213539	0.0145922	0.372874
h	0.00241551	0.00196491	0.00536202	0.00332168	0.00685735	0.0490415	0.0127684	0.12603	0.324547	0.174945	0.025756	0.266991
á	0.00813507	0.00353326	0.00195384	0.000360415	0.0017232	0.0436775	0.0261457	0.181515	0.281315	0.0564011	0.0315756	0.363664
</S>	0.000275109	0.000217622	0.00029827	0.000349165	0.00252583	0.01221	0.00841081	0.0666917	0.212524	0.108292	0.0529596	0.535246
