 	les	gens	sont	en	train	de	parler	très	fort	chez	le	chef	du	village	</S>
b	0.445071	0.471527	0.0519918	0.0159354	0.00544553	0.00218589	0.000182171	0.00371656	0.000574243	0.00122392	0.00107756	0.000202061	0.000744339	7.80892e-05	4.43762e-05
a	0.10134	0.759896	0.0395678	0.0729188	0.0185441	0.000677145	0.000180237	0.000424723	0.000257024	0.00318127	0.00128912	8.51617e-05	0.00143808	5.65756e-06	0.000194342
r	0.0263965	0.832501	0.052295	0.0727925	0.0132105	0.000679802	0.000182675	0.000148291	0.000236829	0.00138012	6.17471e-05	1.21272e-05	4.44145e-05	5.59948e-07	5.77946e-05
e	0.316929	0.278643	0.324267	0.0545401	0.000715365	0.00218315	0.00326311	0.0037611	0.0019614	0.00565189	0.00063228	0.000777233	0.000406911	1.72349e-06	0.00626648
b	0.136144	0.0826505	0.517114	0.203831	0.0142921	0.017234	0.00338275	0.0047874	0.00460971	0.00309515	0.00404495	0.000124021	0.002944	0.000103377	0.00564264
á	0.0451769	0.0471422	0.301325	0.414245	0.0413982	0.0562266	0.00443907	0.00930901	0.00675834	0.0290251	0.0193393	0.000785704	0.0143706	9.05358e-05	0.0103684
a	0.0353807	0.0431261	0.366426	0.288607	0.146529	0.0258609	0.0174509	0.00809412	0.00923042	0.0152218	0.00774141	0.00333606	0.00790056	0.000914127	0.0241818
w	0.0132185	0.00333446	0.106143	0.0411499	0.0214996	0.255687	0.446665	0.0235079	0.0176073	0.00612295	0.00662592	0.0209642	0.00463378	0.000488899	0.0323516
o	0.00335744	0.00196625	0.0202459	0.0629585	0.0150722	0.0731097	0.672599	0.0369448	0.0322843	0.0189128	0.0116904	0.0303371	0.00613002	0.000171326	0.0142202
o	0.00805357	0.00149672	0.034304	0.0529134	0.0103323	0.117907	0.590294	0.0929818	0.0385113	0.00478823	0.0040065	0.0226826	0.00104579	0.00119322	0.0194901
m	0.0101602	0.00286136	0.0332435	0.0116512	0.00100616	0.456789	0.147735	0.263946	0.0274544	0.015394	0.0153241	0.00175631	0.00452591	0.000482556	0.00767071
á	0.0372782	0.0124262	0.0419556	0.00778658	0.000581495	0.2078	0.108835	0.155432	0.26858	0.0832204	0.0497422	0.000277335	0.0152724	4.71774e-05	0.0107656
m	0.0248921	0.0130815	0.0258255	0.00864389	0.00108367	0.0556856	0.0907408	0.439343	0.190472	0.102876	0.0244122	0.00895675	0.00530511	0.00101855	0.00766263
b	0.0211231	0.0122878	0.00843479	0.00552248	0.000618754	0.0131734	0.0193051	0.0315014	0.437497	0.420455	0.0138592	0.000629861	0.00243791	0.000132397	0.0130218
v	0.00263918	0.00428881	0.000594919	0.00574892	0.00443752	0.00223285	0.00581483	0.0128075	0.0621579	0.889345	0.00572027	0.00276542	0.000422868	0.000132123	0.000891414
á	0.00421648	0.00577871	0.00232113	0.0273099	0.016332	0.00144416	0.0068838	0.00532174	0.0436793	0.851801	0.00773757	0.00593986	0.00192802	0.00017444	0.0191315
a	0.0223776	0.0139925	0.0263871	0.0272588	0.00479056	0.0123307	0.013515	0.0931328	0.15736	0.531804	0.0247403	0.00450024	0.00624554	0.000214353	0.0613508
o	0.00205034	0.00120784	0.00897888	0.00485735	0.000508622	0.0286872	0.0160908	0.355429	0.236242	0.160897	0.126331	0.00850426	0.0344899	0.00180132	0.0139246
k	0.000847204	0.000125802	0.000211009	0.000200786	2.13184e-05	0.00118015	0.0346329	0.0205193	0.471402	0.153772	0.0227409	0.279686	0.00170287	0.0103175	0.00264091
o	0.000132669	3.79781e-05	7.41818e-05	0.000113897	1.69632e-05	0.000275207	0.0119073	0.0150508	0.0983825	0.0244718	0.0112635	0.812234	0.00191378	0.0199811	0.00414401
n	0.000129212	2.25189e-05	5.18322e-05	0.000208734	0.00011346	0.000356736	0.0176119	0.044913	0.19333	0.0599733	0.0159442	0.637681	0.00448775	0.0204503	0.00472687
d	0.0026904	0.000273384	0.000328917	0.000129998	1.28096e-05	0.000584546	0.0271939	0.068124	0.244223	0.0448097	0.0338248	0.433213	0.00577235	0.00861052	0.130209
z	0.0161624	0.00946798	0.00653726	0.00413911	0.000580741	0.00231188	0.0361638	0.184429	0.166415	0.0530772	0.0346548	0.389577	0.0158849	0.0107336	0.0698654
i	0.00364029	0.00998845	0.00502642	0.00313281	0.00296719	0.0013874	0.0215621	0.209226	0.217687	0.034981	0.0412081	0.363238	0.0359536	0.0205218	0.0294801
y	0.00525693	0.0013291	0.00522573	0.00192384	0.000152542	0.00482183	0.00146901	0.0179813	0.0350122	0.15655	0.357631	0.0538766	0.242023	0.00448247	0.112263
a	0.00597002	0.00115062	0.0160339	0.00465953	2.35391e-05	0.00810946	0.0120179	0.0448703	0.11734	0.0705927	0.183983	0.0747413	0.208997	0.0415852	0.209925
p	0.00572254	0.00256917	0.0163506	0.00774871	7.81245e-05	0.00916596	0.00364035	0.0384551	0.0494246	0.0508764	0.209547	0.21033	0.136886	0.223384	0.0358214
o	0.000309834	0.000677172	0.00153818	0.00121321	7.78427e-05	0.00113564	0.00113069	0.00910644	0.0121985	0.00358077	0.0165448	0.197909	0.00721591	0.74073	0.00663154
o	0.0001047	7.03184e-05	0.000279541	0.000233869	3.03189e-05	0.0002389	0.00113654	0.00332224	0.00792389	0.00519881	0.0110905	0.196947	0.0145263	0.745614	0.0132832
</S>	0.00243905	0.000146916	0.00104395	0.000315088	2.57708e-06	0.00136394	0.000576654	0.00798253	0.00354739	0.0118193	0.159028	0.0703723	0.286398	0.0570523	0.397912
