 	c'	est	vraiment	toi	qui	s'	espionne	</S>
o	0.246684	0.110103	0.117239	0.416338	0.0740351	0.0287307	0.000751455	0.0061193
l	0.0165299	0.0118136	0.00715287	0.0446991	0.213136	0.19081	0.262757	0.253102
έ	0.00638744	0.0236927	0.0138081	0.00657772	0.0360499	0.0262693	0.705351	0.181864
n	0.00516398	0.039021	0.0294111	0.0188063	0.121991	0.108785	0.476757	0.200065
g	0.0437941	0.0448005	0.0421542	0.0409295	0.137092	0.372252	0.295082	0.0238954
i	0.155815	0.167893	0.115493	0.0729743	0.0828526	0.206823	0.13895	0.0591997
s	0.0695839	0.0891722	0.0981792	0.0873841	0.123905	0.145014	0.107533	0.279229
i	0.0186911	0.0170928	0.060396	0.106683	0.191844	0.245593	0.315986	0.0437134
n	0.0160577	0.0434222	0.111171	0.137867	0.169823	0.218125	0.095681	0.207853
g	0.00248082	0.00144284	0.0053355	0.0208606	0.0663977	0.329751	0.560653	0.0130785
á	0.00121631	0.00306187	0.0186642	0.0644389	0.0751214	0.191758	0.578892	0.0668477
l	0.00571088	0.00679478	0.0104146	0.00982774	0.0732502	0.5471	0.195904	0.150997
í	0.00962787	0.00717678	0.00646671	0.00505928	0.0461976	0.138847	0.23558	0.551044
n	0.0183051	0.0158148	0.0838859	0.017194	0.0569301	0.503398	0.158065	0.146408
ω	0.000383861	0.0012228	0.00750329	0.0159917	0.0559238	0.175373	0.47247	0.271131
</S>	0.00162273	0.00540767	0.0486796	0.0289171	0.0544592	0.0262751	0.0807148	0.753924
