 	cet	homme-là	avait	deux	femmes	</S>
m	0.540326	0.430703	0.00636431	0.0203532	0.000472347	0.00178056
o	0.545627	0.423485	0.00495521	0.00557594	0.0167984	0.00355847
r	0.19375	0.658262	0.0265397	0.0048581	0.00166019	0.11493
o	0.788052	0.130278	0.0362583	0.0133644	0.0142096	0.0178381
w	0.823483	0.137812	0.0177138	0.00663982	0.00143923	0.0129124
ú	0.519298	0.0898106	0.16044	0.035124	0.0113659	0.183962
u	0.136958	0.067471	0.573828	0.0286858	0.00567027	0.187387
á	0.0747797	0.0237903	0.572216	0.0566407	0.00395212	0.268621
d	0.00328752	0.01063	0.748823	0.12041	0.0475635	0.0692851
z	0.000308827	0.00130148	0.749508	0.08498	0.0199542	0.143948
á	0.0372306	0.00510676	0.563452	0.180208	0.188872	0.0251315
l	0.00258823	0.00482636	0.280316	0.466791	0.0342372	0.211241
a	0.00596852	0.00807783	0.4405	0.241466	0.055347	0.24864
b	0.0168497	0.0213177	0.265096	0.227043	0.402239	0.0674551
á	0.00265464	0.0209285	0.053624	0.577609	0.329456	0.0157278
s	0.00125502	0.0427715	0.173781	0.369444	0.196825	0.215923
í	0.00626933	0.00329914	0.33622	0.326638	0.103958	0.223616
á	0.00473141	0.00230484	0.241145	0.472542	0.0656658	0.213611
b	0.00225961	0.00274322	0.150606	0.592382	0.171807	0.0802019
a	0.00066341	0.00426123	0.0112981	0.897292	0.0389118	0.0475738
á	0.000106696	0.000374257	0.0259862	0.269875	0.00804148	0.695616
</S>	0.00171242	0.00297543	0.0663356	0.355222	0.0791607	0.494593
