 	je	suis	jaloux	de	ma	femme	</S>
n	0.860513	0.101165	0.00996874	0.0149912	0.0127611	0.000166781	0.000433499
g	0.936529	0.029317	0.000821558	0.00528993	0.027834	0.000196715	1.21008e-05
á	0.893	0.0625896	0.00456197	0.00308151	0.0149354	0.0217132	0.000118864
i	0.338808	0.505785	0.0384474	0.0159745	0.0267275	0.00503109	0.0692267
d	0.0151456	0.502316	0.297465	0.0300266	0.00222119	0.00437655	0.148449
í	0.0532141	0.381688	0.336513	0.0662619	0.00598511	0.0151126	0.141225
l	0.11364	0.0992831	0.26764	0.189642	0.253535	0.0150337	0.0612269
a	0.0251413	0.133178	0.343473	0.279033	0.0518568	0.0055778	0.16174
l	0.0110099	0.0602578	0.608415	0.142564	0.0529061	0.0808835	0.0439638
e	0.00404884	0.0471305	0.755338	0.14275	0.0178372	0.00367091	0.0292254
s	0.000204383	0.0175844	0.758084	0.146031	0.00310371	0.010405	0.0645873
ω	0.000130434	0.0118086	0.714687	0.205319	0.00577845	0.000417031	0.0618598
m	0.000232535	0.0396143	0.232083	0.566228	0.0495475	0.0023061	0.109988
ω	0.00233843	0.023256	0.148273	0.508631	0.0718001	0.00365555	0.242046
m	0.00038687	0.0108913	0.0797382	0.464152	0.0240966	0.00494373	0.415792
ó	0.00224185	0.013478	0.033925	0.252019	0.0858364	0.029962	0.582537
m	0.00280584	0.0199798	0.0364233	0.396397	0.227906	0.122343	0.194145
w	8.04827e-05	0.00169499	0.00227206	0.0135695	0.00455147	0.925696	0.0521354
á	0.00168471	0.00203108	0.00491107	0.0278583	0.01745	0.931681	0.0143836
s	0.00149565	0.0111607	0.00221374	0.11536	0.601731	0.0337488	0.23429
í	0.00161191	0.0100215	0.0235321	0.161987	0.140727	0.107848	0.554273
y	0.00348031	0.0140246	0.00900493	0.141451	0.192258	0.027501	0.61228
a	0.00354927	0.0227263	0.0167187	0.0963145	0.693847	0.00986621	0.156978
n	0.000719872	0.0066821	0.006924	0.065399	0.797424	0.0129161	0.109935
g	0.0152339	0.00478485	0.0112174	0.116086	0.543108	0.0145901	0.294979
á	0.00431575	0.00271859	0.00341525	0.0528888	0.143728	0.0311776	0.761756
</S>	0.000423655	0.00269522	0.00372416	0.0508832	0.049953	0.00252066	0.8898
