 	ne	vous	bagarrez	pas	</S>
l	0.684021	0.296063	0.0176625	0.0015088	0.000745069
e	0.864347	0.028689	0.0869827	0.012005	0.00797595
t	0.605808	0.136547	0.180881	0.0369968	0.039767
a	0.107693	0.133068	0.144987	0.424561	0.189691
a	0.320268	0.328563	0.20916	0.0396918	0.102318
w	0.129107	0.170617	0.530577	0.0589029	0.110797
á	0.125317	0.0920475	0.559104	0.170036	0.0534957
á	0.126959	0.276789	0.295972	0.198631	0.101649
l	0.0280325	0.0475287	0.376863	0.192103	0.355473
e	0.00862853	0.00748506	0.177685	0.454228	0.351973
b	0.0168504	0.0173972	0.124465	0.324955	0.516332
v	0.0471993	0.0658706	0.0427685	0.753018	0.0911436
u	0.00793376	0.0092986	0.0153522	0.81426	0.153156
n	0.0065762	0.00749589	0.0185535	0.320656	0.646718
ú	0.024617	0.0293417	0.0213728	0.179334	0.745334
</S>	0.0535767	0.0220318	0.0498506	0.102012	0.772528
