 	pendant	la	pêche	au	panier	on	attrappe	des	ibalii	</S>
b	0.390307	0.563299	0.00677981	0.0193449	0.00958277	0.00272289	0.00515636	0.00259522	0.000195731	1.60763e-05
á	0.283571	0.141222	0.0190157	0.163782	0.0556336	0.136009	0.140809	0.0493656	0.00597472	0.00461701
a	0.186922	0.446108	0.0082246	0.0544811	0.091316	0.0224036	0.160316	0.0194691	0.00515068	0.00560926
p	0.19973	0.232877	0.188517	0.201175	0.0302646	0.0346036	0.0144061	0.0130915	0.00149049	0.083845
i	0.0111921	0.021586	0.797913	0.0379173	0.0380512	0.0347858	0.00881603	0.0018734	0.0175456	0.0303199
á	0.0215032	0.0424649	0.610942	0.158298	0.0844673	0.0423931	0.0088207	0.00232829	0.00168225	0.0271005
i	0.0374444	0.00803447	0.00627038	0.383531	0.377724	0.0991431	0.0279715	0.0508253	0.00246529	0.00658985
b	0.00744564	0.0143403	0.0325387	0.181507	0.358959	0.196857	0.127778	0.0515156	0.0199065	0.00915293
á	0.0252298	0.0198132	0.00692942	0.125283	0.216448	0.382766	0.129153	0.0141261	0.0775603	0.00269115
l	0.0141842	0.00282479	0.00146049	0.0315389	0.178788	0.511751	0.199164	0.0135847	0.0194428	0.0272615
í	0.0273172	0.011206	0.00848747	0.135743	0.275851	0.369999	0.0734667	0.0530621	0.00954969	0.0353177
í	0.00400156	0.0015464	0.0018051	0.106535	0.0856791	0.282261	0.237347	0.22225	0.00748324	0.0510915
m	0.0136615	0.0102204	0.014131	0.0608913	0.0491555	0.133812	0.211318	0.432755	0.0421043	0.0319517
í	0.00840868	0.0206786	0.0035639	0.013279	0.0414583	0.0966631	0.423538	0.222826	0.092865	0.0767201
t	0.00254975	0.00345546	0.00145889	0.00412969	0.00700255	0.0155776	0.341369	0.0476225	0.567546	0.00928813
ó	0.00347514	0.00740346	0.0158367	0.0032482	0.00967472	0.0384723	0.170252	0.0122382	0.680793	0.0586057
a	0.000573759	0.00102513	0.00873788	0.00329728	0.0119975	0.0439762	0.229886	0.0295212	0.562703	0.108282
</S>	0.00640916	0.00631216	0.0062689	0.0637613	0.0223222	0.068125	0.116968	0.142018	0.153298	0.414517
