 	les	gens	se	rassemblèrent	autour	du	cadavre	</S>
b	0.468028	0.530498	0.000775777	5.40666e-05	0.000432352	0.000120189	7.4804e-05	1.74211e-05
a	0.0277737	0.971758	0.00032103	3.90998e-05	4.94953e-05	2.0345e-05	3.41818e-05	4.60392e-06
r	0.0255902	0.972508	0.00110394	0.000584331	0.000109534	1.22597e-05	6.29628e-05	2.84121e-05
e	0.757388	0.235567	0.00311141	0.00164903	0.00115317	5.68029e-05	0.000451198	0.000623515
á	0.11134	0.0959766	0.613246	0.106199	0.0327651	0.0215948	0.00041444	0.0184639
d	0.00480554	0.00198937	0.354242	0.541403	0.0825577	0.0074825	0.00152046	0.0059991
z	0.00205718	0.000609281	0.296353	0.610884	0.0610234	0.00688884	0.000209188	0.0219746
έ	0.00908622	8.72979e-05	0.0524447	0.794484	0.124849	0.00837966	0.000184112	0.0104852
n	0.00746555	0.00337777	0.164887	0.362994	0.270366	0.0999746	0.00654205	0.0843933
g	0.0267485	0.00770448	0.171506	0.450754	0.285943	0.0375111	0.00113056	0.018702
í	0.021502	0.00226458	0.11004	0.617572	0.209967	0.0229563	0.000297988	0.0154008
s	0.00671207	0.000588479	0.133761	0.0791099	0.429721	0.306057	0.00993449	0.0341164
í	0.0096369	0.000494223	0.0478105	0.294373	0.443967	0.143082	0.00393895	0.0566975
e	0.00866791	0.00142547	0.0371105	0.0731249	0.263382	0.474628	0.0496963	0.0919651
b	0.000789371	0.00073499	0.00573804	0.0432338	0.125295	0.355304	0.424973	0.0439318
e	0.000839082	0.00173764	0.0014621	0.00135868	0.0125441	0.00436151	0.974312	0.00338477
m	0.000110044	8.60784e-05	0.00254885	0.00995038	0.0131604	0.00632355	0.929858	0.0379631
b	0.0040995	0.000167288	0.00698315	0.0140828	0.141465	0.26144	0.345041	0.226722
e	0.00792868	0.0010364	0.00724348	0.0258251	0.0640408	0.0272883	0.744691	0.121946
</S>	0.00146415	0.000182383	0.0208158	0.0100541	0.056949	0.17866	0.0646314	0.667243
