 	pourquoi	mange-t-il	si	vite	</S>
t	0.900375	0.0955792	0.00281297	0.00109383	0.000138671
s	0.685339	0.232091	0.0431828	0.0305962	0.00879103
í	0.570058	0.371226	0.0260411	0.0291025	0.00357287
n	0.889614	0.0785522	0.00385935	0.00407523	0.0238996
a	0.439885	0.0933167	0.0565295	0.00925454	0.401014
n	0.556823	0.13505	0.20331	0.00862147	0.0961959
d	0.429307	0.297243	0.0757929	0.0209676	0.17669
é	0.278808	0.514613	0.0497292	0.0281143	0.128735
w	0.177184	0.337825	0.217043	0.0607587	0.207189
a	0.257392	0.583788	0.0974251	0.0137619	0.0476329
l	0.118147	0.270719	0.475886	0.0263375	0.108911
á	0.0756962	0.103131	0.331447	0.052601	0.437125
a	0.33592	0.316123	0.175574	0.0667451	0.105637
d	0.0494051	0.152816	0.620823	0.0836643	0.0932917
z	0.00996426	0.0713283	0.687865	0.145184	0.0856584
á	0.0521077	0.0980223	0.71541	0.0790769	0.0553832
á	0.00989412	0.0139521	0.372112	0.130117	0.473925
m	0.0443538	0.0743332	0.191274	0.58101	0.109029
ó	0.000758661	0.00250049	0.106794	0.391787	0.498159
m	0.00573911	0.0156972	0.0338929	0.867285	0.0773856
b	0.00171017	0.00477774	0.0706572	0.432235	0.49062
á	0.00146586	0.00240063	0.0432653	0.724603	0.228265
á	0.00246923	0.00506515	0.0797031	0.308117	0.604645
n	0.080802	0.0596676	0.174659	0.423963	0.260908
g	0.102394	0.0613387	0.0413719	0.396731	0.398164
e	0.072573	0.0606881	0.0148018	0.344491	0.507446
b	0.00114495	0.00208046	0.00972156	0.257722	0.729331
ó	0.00806325	0.00309823	0.0206576	0.157028	0.811153
</S>	0.0034368	0.0128009	0.0270099	0.466408	0.490345
