 	on	a	chaulé	les	bâtiments	de	l'	école	</S>
á	0.864624	0.0750858	0.00971929	0.00884154	0.0121349	0.0113416	0.0167733	0.00132911	0.000150289
m	0.0398002	0.641633	0.28254	0.0215095	0.00830699	0.00291384	0.00247347	0.000571179	0.000251831
i	0.0266811	0.326835	0.0424249	0.143767	0.0988187	0.0487541	0.0261025	0.00404957	0.282567
k	0.0101066	0.415545	0.398047	0.0387197	0.00611158	0.011294	0.00544597	0.0101986	0.104532
a	0.00155256	0.0246387	0.875769	0.0416085	0.00237548	0.00967814	0.00460682	0.0066238	0.033147
n	0.000759297	0.0186872	0.881434	0.0535977	0.00605264	0.00810882	0.00726307	0.00601794	0.018079
á	0.0274334	0.120644	0.675908	0.0899613	0.0281132	0.0133975	0.00538928	0.004585	0.034568
a	0.254374	0.132297	0.0897236	0.277611	0.147847	0.0430641	0.0288303	0.0103807	0.0158724
n	0.00984547	0.0811172	0.162441	0.402156	0.277284	0.0328244	0.0143228	0.00549035	0.014519
d	0.00841697	0.0364805	0.0184574	0.136381	0.690152	0.0313959	0.0313394	0.00571619	0.041661
é	0.00144673	0.00506887	0.0131252	0.167214	0.703281	0.0215261	0.0257432	0.0126385	0.0499566
e	0.00214545	0.0240161	0.0590336	0.29113	0.27611	0.0721322	0.107753	0.0622025	0.105477
m	0.00245731	0.0370702	0.0617354	0.256474	0.16079	0.252951	0.124397	0.0447579	0.0593678
á	0.00492042	0.0136899	0.00620734	0.108233	0.252603	0.239832	0.135576	0.0191895	0.21975
l	0.00241169	0.00997761	0.0265372	0.124743	0.165523	0.185736	0.20701	0.235072	0.0429897
e	0.00153085	0.00509963	0.00486644	0.0535321	0.144618	0.154039	0.200764	0.221567	0.213983
k	0.000138554	0.00108502	0.00408764	0.0258553	0.0225627	0.116326	0.254858	0.531685	0.0434023
ώ	7.65652e-05	0.000352677	0.0302197	0.0161159	0.0065585	0.0520253	0.0450613	0.826939	0.022651
ώ	3.41767e-05	7.28438e-05	0.0303855	0.0213751	0.00490942	0.0572334	0.0865448	0.781149	0.0182954
l	0.00105808	0.00180861	0.00277027	0.0236729	0.0641233	0.33773	0.303483	0.138175	0.127178
i	0.000779138	0.00260869	0.00613909	0.0335971	0.0469865	0.184649	0.203736	0.253059	0.268445
l	0.00633229	0.00404127	0.00105918	0.015934	0.0518502	0.197355	0.286784	0.210036	0.226608
e	0.00816508	0.00554943	0.00397395	0.0241025	0.0342288	0.137471	0.190732	0.329696	0.266081
p	0.000213328	0.000914558	0.000896054	0.00847171	0.0161927	0.0824286	0.26793	0.460287	0.162667
έ	0.00024552	0.001371	0.0105097	0.0138697	0.00489686	0.0613353	0.0881893	0.742194	0.0773881
m	0.00355959	0.000621341	0.017315	0.0192791	0.00953852	0.142448	0.159047	0.514431	0.13376
b	0.000398268	0.000117831	0.000831812	0.00675524	0.0340808	0.237322	0.196522	0.103724	0.420249
έ	0.00268629	0.000420235	0.00157521	0.0240568	0.165052	0.325524	0.292706	0.08464	0.103339
</S>	0.00133382	0.000715533	0.00499533	0.0197683	0.0350988	0.142096	0.189559	0.175991	0.430443
