 	autrefois	on	éclairait	la	maison	avec	du	feu	</S>
l	0.672564	0.248321	0.0359651	0.0257885	0.00877785	0.00202561	0.00579835	0.00070789	5.18395e-05
a	0.433716	0.355089	0.139443	0.0388813	0.0041802	0.0203242	0.00485659	0.00120013	0.00231039
k	0.728922	0.119447	0.0551387	0.0318123	0.00960054	0.0279331	0.00473967	0.0128038	0.00960293
a	0.92523	0.0217224	0.0349069	0.00639953	0.00042147	0.00713499	0.00125476	3.97533e-05	0.00289002
l	0.621801	0.202193	0.110935	0.0190024	0.00226113	0.00788857	0.00387495	0.00204357	0.0300005
a	0.213288	0.434028	0.231215	0.0308274	0.00661346	0.0289498	0.0040374	0.000557825	0.0504838
á	0.00134477	0.74094	0.195526	0.0328079	0.00250653	0.00533107	0.0035797	0.00130154	0.0166631
d	0.00173056	0.227359	0.581621	0.114723	0.0214607	0.0182587	0.0082607	0.00429737	0.0222892
z	4.70091e-05	0.374804	0.264219	0.190212	0.0197703	0.0417619	0.00475466	0.0040177	0.100414
a	0.000436547	0.0749869	0.355802	0.228004	0.258652	0.045034	0.00673719	0.0153964	0.0149507
b	0.000177757	0.185441	0.340109	0.259345	0.0400033	0.0253776	0.0193307	0.0150776	0.115138
á	0.000282197	0.186275	0.543504	0.192002	0.0222937	0.0388542	0.00431558	0.000541781	0.0119321
a	0.000152146	0.170639	0.355239	0.257886	0.121524	0.0418415	0.0111271	0.00605491	0.0355367
t	0.000831564	0.0193369	0.203989	0.489563	0.0825397	0.065658	0.04176	0.0357645	0.060557
á	0.00476337	0.0260983	0.436035	0.213881	0.00631186	0.226714	0.0258993	0.00091408	0.0593838
á	0.000767088	0.0403726	0.439416	0.0842024	0.00873178	0.0507908	0.00520503	0.00364522	0.366869
n	0.000153569	0.010556	0.0206004	0.1467	0.41187	0.215403	0.134626	0.0130293	0.0470625
d	0.00113088	0.00358104	0.00273998	0.0845562	0.746128	0.0922827	0.0373159	0.00781232	0.024453
é	0.000452335	0.0010962	0.00102484	0.0316216	0.817974	0.0832125	0.0335796	0.0197657	0.011273
e	0.000746373	0.0020873	0.00519936	0.153534	0.174421	0.461852	0.125613	0.0223384	0.0542083
m	0.00047134	0.00386623	0.00370175	0.0404927	0.0702237	0.417464	0.34814	0.0272985	0.0883412
ó	7.92424e-06	0.00104162	0.000900398	0.012968	0.00924177	0.0710331	0.311176	0.171135	0.422496
m	0.000700978	0.00307102	0.00517956	0.0330006	0.0144578	0.132778	0.404228	0.355104	0.0514801
í	2.2441e-06	0.000218469	8.47746e-05	0.0011197	0.000449222	0.0119463	0.0955018	0.854343	0.036335
á	5.71672e-06	0.00171789	0.00108243	0.0247878	0.00392381	0.111076	0.456558	0.357448	0.0433998
</S>	0.000187848	0.00529934	0.00965664	0.0159338	0.0323247	0.140247	0.150361	0.115251	0.530739
