 	le	dénuement	rend	l'	homme	mélancolique	</S>
i	0.793595	0.174461	0.0182156	0.0114309	0.00182909	0.000403899	6.53397e-05
k	0.0309838	0.963086	0.00202707	0.000733645	0.00211292	0.000816913	0.000239783
á	0.00341896	0.991484	0.00356479	0.000532342	0.00035684	0.000484005	0.000159015
m	0.0019546	0.984275	0.00675913	0.00184681	0.001008	0.00143201	0.00272481
b	0.062239	0.874097	0.0411322	0.00891261	0.00503922	0.000355022	0.00822459
í	0.105454	0.831204	0.0206161	0.0149648	0.00089975	0.00400932	0.0228519
l	0.262243	0.204448	0.420637	0.0391131	0.0291027	0.000735962	0.0437206
í	0.167577	0.050027	0.427099	0.127063	0.0219159	0.0163849	0.189934
i	0.32007	0.0229989	0.46803	0.0988512	0.0174624	0.0156616	0.0569252
y	0.0143859	0.0791425	0.651398	0.123931	0.102473	0.00541611	0.0232538
í	0.00722472	0.0146801	0.509193	0.242059	0.163862	0.0191176	0.0438632
á	0.00929349	0.00872977	0.391946	0.292472	0.167538	0.0142503	0.115771
m	0.00733093	0.00386073	0.173516	0.583317	0.185851	0.016803	0.0293222
o	0.0214422	0.00521145	0.054813	0.498216	0.164914	0.0430009	0.212403
r	0.00301084	0.0109411	0.0377133	0.262165	0.601274	0.0514981	0.0333981
o	0.0213882	0.0195672	0.0833586	0.473327	0.0874835	0.175616	0.13926
y	0.012541	0.00184275	0.0636205	0.526205	0.102894	0.188674	0.104223
o	0.0517672	0.0216265	0.0752537	0.237233	0.275028	0.217256	0.121835
n	0.00627982	0.0016005	0.0166378	0.118842	0.0985619	0.571823	0.186255
g	0.0114697	0.00112108	0.0278365	0.249856	0.0718087	0.508924	0.128983
ó	0.000279557	7.85606e-05	0.00188483	0.038707	0.00541195	0.915455	0.0381826
n	0.000456461	0.000361829	0.018694	0.134556	0.0817301	0.373742	0.390459
g	0.00250564	0.0074734	0.0190689	0.0779419	0.121369	0.45977	0.31187
ó	0.00129343	0.000463849	0.00487482	0.0613145	0.00293199	0.879724	0.0493974
</S>	0.0045064	0.0021213	0.032217	0.152821	0.1101	0.158795	0.539439
