 	j'	ai	jeté	mes	habits	usés	dans	la	poubelle	</S>
n	0.942318	0.027277	0.00719623	0.0112053	0.00809988	0.00208332	0.000854468	0.000900581	5.597e-05	9.75595e-06
g	0.9669	0.0062492	0.00115788	0.0166198	0.000301555	0.00855111	0.000166985	4.34674e-05	6.30003e-06	3.7643e-06
á	0.969397	0.0120943	0.00173835	0.00796833	0.000539854	0.0080742	0.000115913	5.26622e-05	1.87471e-05	8.64233e-07
í	0.226681	0.308178	0.028928	0.199786	0.0386284	0.054803	0.0290042	0.0224413	0.0032121	0.088338
b	0.0138576	0.558864	0.366477	0.0340547	0.0131293	0.00169205	0.00211506	0.00163873	0.000247039	0.00792384
v	0.000256665	0.0914786	0.89012	0.00995327	0.00592081	0.000124636	0.00062371	0.000695555	3.51395e-05	0.000791794
έ	0.00759664	0.150365	0.743447	0.0912766	0.00397692	0.000325275	0.0021279	0.000808506	4.18961e-06	7.23208e-05
ε	0.00848302	0.0622472	0.581009	0.212461	0.0503222	0.00773259	0.0245916	0.010882	0.00455734	0.0377141
a	0.00120136	0.0481045	0.128415	0.684707	0.109424	0.0167675	0.00577753	0.0019262	0.000804941	0.00287258
t	0.000161192	0.0184573	0.0349854	0.518694	0.340073	0.0252417	0.0143539	0.00543617	0.0064822	0.0361155
u	2.78371e-05	0.00979396	0.120419	0.140661	0.699234	0.0101229	0.00260741	0.00260798	0.00239342	0.0121321
m	0.000362028	0.00892745	0.0278888	0.0953799	0.724979	0.0206013	0.00421899	0.00510458	0.0212647	0.0912737
b	0.00308522	0.00754235	0.0371007	0.170327	0.471265	0.242875	0.043688	0.0116565	0.00197562	0.0104851
ú	0.0131338	0.00243446	0.0149279	0.0704985	0.211757	0.510624	0.119758	0.0149394	0.00253634	0.0393912
m	0.000103826	0.00823329	0.0151383	0.187898	0.300991	0.269977	0.15492	0.0297973	0.00205453	0.0308867
í	0.000554492	0.0018393	0.00303919	0.0744209	0.0616744	0.222099	0.447169	0.0845981	0.00832229	0.0962828
k	0.000249084	0.00446662	0.00396692	0.073847	0.282912	0.344774	0.162861	0.0382385	0.0366528	0.052032
á	0.000107941	0.000373696	0.00405801	0.00961781	0.68338	0.182101	0.0285532	0.0229542	0.0254364	0.0434187
n	4.88346e-05	0.00254973	0.0420535	0.0357596	0.424978	0.0768224	0.0768365	0.0377884	0.0279651	0.275198
d	5.58889e-05	0.00222772	0.0223058	0.0325794	0.384251	0.327032	0.111902	0.0307326	0.004864	0.0840501
á	0.000163584	0.00098048	0.00092191	0.0202443	0.152255	0.500675	0.115212	0.0311064	0.0159709	0.16247
m	0.000118769	0.00458503	0.00237136	0.00941563	0.00918584	0.0686703	0.710113	0.123615	0.0084483	0.0634762
á	0.00020176	0.0019175	0.00109394	0.0109123	0.00177384	0.0257247	0.448407	0.289387	0.0343978	0.186184
n	0.00093556	0.00285222	0.0016042	0.0170592	0.029123	0.0570388	0.330637	0.390348	0.0873339	0.083068
g	0.00728226	0.00098395	0.000848251	0.029288	0.00332758	0.468996	0.342169	0.0969266	0.0177626	0.0324159
á	0.00710191	0.000851665	0.000281211	0.0110814	0.00425267	0.730505	0.116354	0.062717	0.0512121	0.0156437
s	2.6818e-05	0.00024014	7.23564e-05	0.0040414	0.00625042	0.0970627	0.437985	0.320261	0.0488856	0.0851746
á	0.000631372	0.00115835	0.000682374	0.0211292	0.0132978	0.0797835	0.304676	0.239977	0.167949	0.170715
d	0.000315787	0.000843524	0.000179653	0.00370948	0.00531464	0.00811014	0.118697	0.302294	0.414905	0.145631
z	6.95301e-06	0.000103903	2.42914e-05	0.00111816	0.000658651	0.00124765	0.00954022	0.0348672	0.88886	0.0635731
a	3.32766e-05	0.000248117	3.58871e-05	0.00214546	0.000834101	0.00246425	0.0164321	0.0396451	0.916266	0.0218961
l	2.50187e-05	2.47568e-05	1.65135e-05	0.000197583	0.000541414	0.00478172	0.0173152	0.0378351	0.762764	0.176499
a	8.29657e-05	0.000278329	0.00158434	0.00136464	0.0044247	0.0183114	0.0595448	0.210797	0.462316	0.241297
l	6.02678e-06	0.000598047	0.00304248	0.00157141	0.00278611	0.00269557	0.0720709	0.225421	0.156155	0.535653
a	5.34348e-05	0.000928151	0.00646169	0.00484624	0.00815777	0.00448864	0.0340662	0.119253	0.511017	0.310728
</S>	0.000117734	0.0009735	0.00103142	0.00358413	0.00120768	0.00289661	0.0437186	0.16587	0.537226	0.243375
