 	la	panthère	s'	approche	du	cabri	sans	bruit	</S>
n	0.658208	0.304799	0.0188004	0.00399564	0.00796016	0.00236547	0.00283877	0.000882432	0.000150044
g	0.477318	0.52037	0.00111294	4.6063e-05	0.000271629	1.64293e-05	0.000754282	9.07023e-05	1.96379e-05
w	0.0630058	0.934073	0.00165168	0.000148569	0.000419343	0.000152195	0.000212488	0.000286192	5.09849e-05
ε	0.214857	0.724778	0.0196327	0.017213	0.00805187	0.00374226	0.000940575	0.00385373	0.0069304
l	0.413139	0.0370541	0.238464	0.0309034	0.0152185	0.00175614	0.0336127	0.0171479	0.212705
á	0.243593	0.0822528	0.0702178	0.0480994	0.0275134	0.00405873	0.151153	0.104853	0.268259
a	0.157939	0.0190452	0.698327	0.0559237	0.0419059	0.00347109	0.0102984	0.00317545	0.00991427
b	0.00509591	0.00167744	0.636691	0.28288	0.0496362	0.00918749	0.00120378	0.00226926	0.0113591
h	0.00468423	0.000985392	0.152345	0.596791	0.112618	0.115223	0.00140096	0.00372395	0.0122284
ε	0.000978551	6.35925e-05	0.0217964	0.894967	0.0479633	0.0314113	0.000153133	0.00116499	0.00150123
n	0.00531167	0.000371946	0.0941695	0.495663	0.25985	0.0299027	0.043316	0.0151133	0.0563025
έ	0.0128062	0.000220909	0.0523168	0.701312	0.128234	0.00269256	0.0558621	0.0148559	0.0316991
έ	0.024823	0.00153401	0.098549	0.0639496	0.670047	0.0248909	0.08093	0.013963	0.0213133
l	0.00102694	0.00178049	0.0181101	0.0314975	0.620283	0.236934	0.0205913	0.0423377	0.0274392
a	0.00872725	0.000163676	0.0106731	0.0137172	0.619133	0.0939073	0.0459402	0.0385599	0.169178
m	0.00909359	0.000498466	0.013414	0.00539271	0.463797	0.252508	0.0466437	0.157697	0.0509561
b	0.000188602	3.45745e-05	0.000436731	8.69527e-05	0.0227941	0.875408	0.00637201	0.0148873	0.0797919
ó	7.18156e-07	1.53513e-06	6.20136e-05	0.000223881	0.0062143	0.98758	0.000225603	0.00323218	0.00245971
s	1.97124e-05	1.18399e-05	0.000235028	0.00124915	0.00392772	0.97079	0.000560868	0.00899781	0.0142078
i	0.000924481	0.000181054	0.00097476	0.0056827	0.0452035	0.2135	0.038397	0.131001	0.564135
l	0.00114241	9.96755e-05	0.0100879	0.00293351	0.0332953	0.0155998	0.237981	0.230384	0.468476
o	0.00461438	6.79116e-05	0.00744884	0.00343242	0.017807	0.00472439	0.213754	0.325731	0.42242
b	0.0065615	0.000593169	0.00288761	0.000280985	0.00555763	0.00306603	0.406855	0.491336	0.0828618
h	0.000979348	0.000387251	0.0211292	0.00668568	0.0491242	0.00413151	0.282558	0.593144	0.04186
ó	0.000273268	9.98285e-06	0.00100847	0.036366	0.0273274	0.0587951	0.0319937	0.75545	0.0887762
k	6.55934e-05	2.09205e-06	0.000389302	0.00582499	0.0115897	0.0129838	0.0718016	0.503876	0.393467
a	0.000505788	0.000115718	0.0214178	0.0503172	0.0332601	0.00278742	0.197312	0.208864	0.48542
á	0.000563644	1.76283e-05	0.00117298	0.00926395	0.00860015	0.0033334	0.0609233	0.287986	0.628139
</S>	0.00729117	0.000710276	0.0686167	0.00600647	0.0312015	0.0115651	0.130159	0.0857618	0.658688
