 	le	feu	brûle	les	hautes	herbes	</S>
m	0.518269	0.465949	0.0060201	0.00489509	0.00449802	0.000284868	8.36439e-05
í	0.0414058	0.91808	0.0118005	0.0155017	0.00231232	0.000716488	0.0101832
á	0.178887	0.809324	0.00676148	0.00124562	0.00143472	0.000776439	0.00157012
m	0.187508	0.555246	0.169125	0.0351653	0.00372535	0.00179515	0.0474353
í	0.078232	0.839603	0.0517107	0.0237852	0.000885885	0.000287733	0.00549542
i	0.103482	0.63785	0.14333	0.0623876	0.0138962	0.00374191	0.0353129
l	0.00618384	0.0190468	0.920529	0.0255942	0.0173247	0.00218894	0.0091329
o	0.00606153	0.00693	0.84087	0.0636214	0.0551963	0.00487246	0.0224485
o	0.0365114	0.00795602	0.778142	0.0664681	0.0749445	0.0182932	0.0176851
s	0.018393	0.0149209	0.0268333	0.790279	0.126762	0.0137462	0.00906544
á	0.0466088	0.0117316	0.274742	0.245879	0.140125	0.108738	0.172176
i	0.0443113	0.0456427	0.0231966	0.144464	0.270715	0.416315	0.0553553
t	0.00474821	0.0140484	0.0277771	0.0401953	0.216865	0.652809	0.0435567
s	0.000902491	0.000402336	0.020372	0.0055966	0.0336453	0.893654	0.0454274
ε	0.000240433	0.00013911	0.0205534	0.00777135	0.0442204	0.894769	0.0323059
</S>	0.000601487	0.000248792	0.00543127	0.0244512	0.0122634	0.569635	0.387369
