 	les	femmes	sont	parties	occuper	les	espaces	favorables	à	la	culture	du	sésame	dans	la	savane	</S>
a	0.928768	0.067081	0.000948703	3.08701e-05	0.000607251	0.000580013	0.000314765	0.000173722	0.000363122	0.000179391	0.000130856	0.000242016	6.46425e-05	0.000228412	0.000248417	2.44934e-05	1.43781e-05
y	0.0642796	0.927126	0.00264824	0.000456277	0.00217369	0.000268253	0.000793817	0.000614666	9.82504e-05	0.000147354	8.66369e-05	0.000113946	9.18865e-05	0.000145476	0.000178445	0.000605752	0.000172047
ú	0.47365	0.518804	0.00148203	0.0030226	0.000489886	0.000208579	2.61191e-05	0.0005921	6.71349e-05	0.000124661	0.000392928	8.88923e-05	0.000404673	0.0001386	8.95203e-05	0.000307329	0.000110902
r	0.68324	0.117583	0.011394	0.0478417	0.00627143	0.00673678	0.000230908	0.0121632	0.00658134	0.0113396	0.0134956	0.00776061	0.00942114	0.01094	0.00560511	0.00873274	0.0406623
u	0.815714	0.0550488	0.011199	0.00677453	0.0154992	0.0074467	0.00125815	0.0119907	0.00618034	0.00949634	0.00400129	0.00673917	0.0244726	0.00428826	0.00640201	0.00572453	0.00776412
á	0.0277562	0.00512415	0.896152	0.0315071	0.0078953	0.00211951	0.000679496	0.00155258	0.00301197	0.00259505	0.0010684	0.00271535	0.000815063	0.00490808	0.0024642	0.00047382	0.00916205
m	0.0059241	0.00118675	0.138706	0.598384	0.213308	0.00727854	0.00175583	0.0124482	0.00141395	0.0015302	0.00080245	0.00208628	0.00389895	0.00141557	0.00207498	0.00148722	0.0062985
i	0.0128745	0.00503449	0.12765	0.651187	0.0436473	0.0840488	0.0250374	0.00464258	0.00525066	0.00467442	0.00668079	0.00686929	0.00132644	0.00321977	0.00538343	0.00136355	0.0111099
d	0.000292126	0.000199348	0.002204	0.943129	0.0379732	0.00411243	0.00161644	0.00443256	0.000365286	0.000478048	0.000315357	0.000558353	0.000910938	0.000255123	0.000294938	0.000330402	0.00253217
z	0.00139057	0.000300276	0.000695342	0.95859	0.0102305	0.00724787	0.0032413	0.003961	0.000909924	0.000943665	0.00075539	0.000854545	0.000413148	0.000413464	0.000333962	0.000477558	0.00924169
