 	la	roussette	est	accrochée	sur	une	branche	d'	arbre	</S>
l	0.439188	0.408708	0.103384	0.00692756	0.0222387	0.00807071	0.00126205	0.00799343	0.00213606	9.07725e-05
e	0.267383	0.686213	0.0294961	0.00563816	0.00554259	0.0027911	0.000156868	0.00170424	0.000671274	0.000403265
n	0.0158714	0.934438	0.0233347	0.016666	0.00229075	0.00276779	0.000132934	0.000126256	4.21355e-05	0.0043296
g	0.0365021	0.927854	0.00865296	0.00277065	0.0091573	0.00223247	0.000232389	0.000578744	4.78208e-05	0.0119715
y	0.0184677	0.968882	0.00615633	0.00238493	0.0022149	0.00090949	0.000166343	7.98682e-05	2.71817e-05	0.000711557
ε	0.0541537	0.912276	0.00731855	0.0141748	0.00609785	0.00199422	0.000229721	0.000248117	6.37061e-05	0.00344314
m	0.124571	0.0423737	0.281549	0.0953103	0.279132	0.0584703	0.00718581	0.014326	0.00190865	0.0951733
b	0.299945	0.14094	0.31963	0.0893071	0.082527	0.0274311	0.00637541	0.0180445	0.00334381	0.0124556
í	0.122224	0.118481	0.370776	0.193783	0.0896704	0.041425	0.0207679	0.010973	0.00328105	0.0286184
í	0.104809	0.022923	0.377515	0.278333	0.0828813	0.0266288	0.0145862	0.00677064	0.003877	0.0816756
d	0.0111889	0.00165992	0.760339	0.11077	0.0650733	0.0160123	0.00984111	0.00693059	0.00104626	0.017139
í	0.010549	0.008197	0.330604	0.246468	0.266589	0.0753458	0.00350281	0.00389225	0.00023456	0.0546174
p	0.00701173	0.000894087	0.139033	0.305316	0.259575	0.141937	0.0531291	0.0277222	0.0108261	0.0545564
a	0.000358116	0.00126633	0.0054559	0.877092	0.0183253	0.0500323	0.0363109	0.00115347	0.00179788	0.00820819
n	0.000300639	0.000742457	0.0163049	0.725453	0.0865972	0.0888491	0.0440825	0.00405689	0.00432334	0.0292897
y	0.00544628	0.00587985	0.0625756	0.633362	0.154113	0.0749883	0.0182457	0.00678906	0.00271065	0.0358894
á	0.00116599	0.00210826	0.0116826	0.753412	0.0885456	0.0896523	0.0245671	0.00388262	0.00187707	0.0231063
m	0.0105572	0.000826827	0.0476968	0.0733185	0.503835	0.266117	0.0494909	0.0234861	0.0084703	0.0162009
é	0.0251737	0.00249718	0.0485827	0.0283679	0.177648	0.213034	0.113606	0.0987041	0.0180025	0.274384
t	0.0108053	0.000833084	0.0291196	0.0401533	0.0943507	0.304867	0.242593	0.0717893	0.184228	0.0212607
á	0.00129541	0.00214715	0.00750972	0.12876	0.0334543	0.269398	0.360649	0.0578349	0.0810527	0.0578993
b	0.0015585	0.000208622	0.0106167	0.0442313	0.0299227	0.139114	0.381228	0.0302346	0.0764705	0.286415
h	0.000443385	2.85542e-05	0.00255411	0.011417	0.00899722	0.0576498	0.631097	0.029791	0.194182	0.0638405
e	0.00266439	0.00912314	0.0104838	0.0368548	0.0676467	0.0882861	0.502282	0.0346538	0.12081	0.127196
y	0.00143804	0.000318987	0.00964743	0.00234149	0.0338138	0.0756201	0.173412	0.424452	0.136838	0.142119
í	0.0631211	0.0103985	0.0765048	0.0525408	0.219481	0.167342	0.0778982	0.188096	0.0575144	0.0871019
b	0.00580247	0.000583538	0.0128583	0.00470327	0.0549886	0.0692402	0.0402893	0.351348	0.346591	0.113596
v	0.00411101	0.000313071	0.0179759	0.00442969	0.0215201	0.030562	0.072855	0.0823653	0.739655	0.0262131
ú	0.000914586	7.77072e-05	0.00109978	0.000734533	0.00540684	0.00568024	0.0406176	0.0467276	0.884444	0.0142969
a	0.000518486	0.000390982	0.00057606	0.00503673	0.0191398	0.0399358	0.151015	0.169893	0.332783	0.280711
</S>	0.00498481	0.000112727	0.0148521	0.0012967	0.0312686	0.0197241	0.0297632	0.350273	0.141637	0.406089
