 	je	casse	la	pierre	pour	construire	une	maison	</S>
n	0.608564	0.295968	0.0499066	0.0201722	0.0164822	0.00491995	0.0038403	4.24528e-05	0.000104047
g	0.936456	0.0486817	0.00507704	0.000883758	0.00186786	0.00417838	0.002122	0.000706648	2.62444e-05
á	0.791302	0.16679	0.0106217	0.00295704	0.00381822	0.00920825	0.00095046	0.0143271	2.49402e-05
l	0.230519	0.402975	0.158076	0.0151639	0.035683	0.00954583	0.0156587	0.00616551	0.126213
í	0.572935	0.069944	0.0621916	0.0293297	0.0446656	0.0275304	0.0202477	0.00782216	0.165334
i	0.118908	0.100178	0.426738	0.0634765	0.0673733	0.0420775	0.0261647	0.0293356	0.125749
b	0.00481756	0.32313	0.592952	0.041237	0.0139518	0.00518468	0.000825984	0.000422356	0.0174781
o	0.00474843	0.614281	0.306056	0.0665096	0.00540091	0.000850193	0.000120097	2.27906e-05	0.0020113
n	0.00396232	0.40361	0.449002	0.104494	0.0186167	0.0116602	0.00140839	0.000107641	0.00713858
d	0.010762	0.195403	0.596775	0.110216	0.0485937	0.023264	0.00512959	0.00235139	0.00750552
z	0.00384565	0.130185	0.421114	0.104372	0.047647	0.118763	0.0211915	0.0125201	0.140362
á	0.00450949	0.125683	0.22033	0.118398	0.0339909	0.12432	0.0452535	0.0190829	0.308433
a	0.0218081	0.0299764	0.127786	0.36287	0.365245	0.0470338	0.0297661	0.00971108	0.00580424
b	0.0186669	0.00816726	0.0489783	0.436718	0.36308	0.105072	0.00754823	0.00669808	0.0050713
v	0.00978709	0.00533066	0.0518449	0.590135	0.274343	0.0523832	0.0042877	0.00149311	0.0103953
e	0.000686525	0.0113103	0.0345347	0.575006	0.327087	0.0310417	0.00755539	0.00317261	0.00960555
m	0.00353728	0.00306827	0.0146361	0.309125	0.444698	0.0950649	0.0421217	0.00274208	0.0850065
í	0.00207483	0.00276867	0.0277394	0.0879323	0.526954	0.0736278	0.185189	0.0138509	0.0798636
t	0.00157866	0.00148088	0.0140736	0.0788844	0.219183	0.28681	0.222665	0.130287	0.0450369
ó	0.000799421	0.00259182	0.0233469	0.0295263	0.124418	0.593822	0.0868416	0.0222181	0.116436
n	0.000587888	0.00152965	0.0122257	0.0190699	0.0552616	0.800932	0.0233439	0.0189376	0.0681117
g	0.000522146	0.0239607	0.0344346	0.0816467	0.128711	0.550932	0.0469478	0.035805	0.0970396
a	0.000541754	0.00702605	0.00206793	0.00504888	0.0129473	0.578052	0.151075	0.16893	0.0743114
l	0.00069359	0.00144822	0.00379433	0.0165167	0.0396386	0.0508966	0.402459	0.0898864	0.394667
á	0.00451345	0.00643946	0.0218903	0.0440019	0.0719316	0.097992	0.288749	0.153863	0.310618
n	0.00451722	0.00439491	0.00690593	0.010781	0.0276024	0.0305223	0.235255	0.589331	0.0906902
d	0.012618	0.00138712	0.0016485	0.001707	0.00596122	0.026693	0.08583	0.851713	0.0124418
é	0.000263153	0.000369917	0.000352659	0.000379581	0.00101184	0.0203581	0.0145402	0.943184	0.0195406
e	2.70703e-05	0.000335798	0.000965677	0.00183851	0.0126455	0.30053	0.145477	0.204562	0.333619
</S>	0.000357069	0.00152519	0.00660832	0.013469	0.0284246	0.0259059	0.298261	0.04449	0.580959
