 	la	loutre	se	nourrit	de	poissons	</S>
l	0.578613	0.174135	0.235791	0.000671286	0.00852104	0.00155629	0.000712349
e	0.449131	0.441646	0.0690056	0.0029601	0.0245481	0.0041104	0.0085985
n	0.0851658	0.826067	0.0260726	0.0260908	0.00897946	0.00151094	0.0261135
y	0.0628356	0.915317	0.0107747	0.000718535	0.00193462	0.000439801	0.00797987
ώ	0.032784	0.958196	0.00639126	0.000300297	0.000580931	6.06685e-05	0.00168735
n	0.0300628	0.953864	0.0115996	0.000497072	0.000781532	9.21342e-05	0.00310307
g	0.0510693	0.682452	0.0699153	0.0197497	0.0222163	0.00208691	0.15251
ώ	0.116884	0.743311	0.0941405	0.00131658	0.00479257	0.000609581	0.0389459
l	0.0519233	0.0241838	0.853211	0.0289901	0.0307568	0.0021371	0.00879766
í	0.163037	0.0654532	0.359305	0.181512	0.0521144	0.00603249	0.172546
i	0.312343	0.0239731	0.549407	0.0386592	0.0482902	0.00636789	0.0209595
d	0.00543618	0.0161461	0.0149917	0.909633	0.0217879	0.00823501	0.02377
z	0.000296143	0.000219426	0.00148588	0.960642	0.0139844	0.0136526	0.00971905
á	0.00568713	0.000648314	0.0120437	0.962122	0.0115288	0.00367334	0.00429649
á	0.0026827	0.00126305	0.0449332	0.585478	0.106648	0.0542017	0.204794
m	0.0127332	0.00214292	0.149643	0.0690757	0.428121	0.295122	0.0431618
á	0.0052997	0.000985342	0.0188546	0.0436465	0.124974	0.672871	0.133369
s	0.0159379	0.00292053	0.0166651	0.0365196	0.127148	0.742089	0.0587208
w	0.00134714	0.00156482	0.0030066	0.0406718	0.101867	0.763525	0.0880175
é	0.00115192	0.00104748	0.00272722	0.0274712	0.141976	0.741731	0.0838955
</S>	0.000307519	0.000985456	0.0041701	0.0857992	0.110571	0.242208	0.555958
