 	il	faut	danser	traditionnellement	</S>
k	0.659122	0.313118	0.0137543	0.0135137	0.000492213
á	0.446216	0.522955	0.0125024	0.00557672	0.0127504
a	0.113262	0.347332	0.0171526	0.0065274	0.515726
l	0.368758	0.387534	0.139561	0.0102956	0.0938509
é	0.109985	0.299544	0.221479	0.0266813	0.34231
e	0.204173	0.255052	0.226353	0.0383752	0.276047
y	0.0410914	0.325303	0.401276	0.0502871	0.182043
é	0.00604112	0.0777217	0.764458	0.038274	0.113505
m	0.0225262	0.0623926	0.564025	0.0920484	0.259008
b	0.0162803	0.0311095	0.40762	0.278327	0.266664
á	0.0369181	0.0308153	0.0848435	0.0595766	0.787846
m	0.0509939	0.0527332	0.285725	0.545831	0.0647172
b	0.00132022	0.00038026	0.0284068	0.771697	0.198196
ó	0.00074724	0.00081569	0.018894	0.923424	0.0561186
a	0.00204841	0.00231259	0.0438164	0.511605	0.440218
m	0.00985555	0.014322	0.249437	0.11234	0.614046
b	0.0182338	0.00315401	0.308213	0.315034	0.355365
ó	0.00450471	0.00115305	0.0777524	0.788319	0.128271
a	0.0038544	0.00366446	0.14284	0.278866	0.570775
</S>	0.00745794	0.0128176	0.266475	0.0972547	0.615995
