 	un	match	de	foot-ball	a	eu	lieu	hier	à	nganya	</S>
d	0.424421	0.261994	0.167317	0.0820383	0.0310329	0.0098552	0.0112646	0.00294463	0.00894909	7.25129e-05	0.000110667
i	0.211076	0.657226	0.0383476	0.0103295	0.00961173	0.00554864	0.0198416	0.00126313	0.00366307	0.00580384	0.0372882
n	0.251536	0.516312	0.0819483	0.0277902	0.024324	0.0204111	0.0194412	0.0111708	0.00422902	0.00288826	0.0399499
g	0.29054	0.522302	0.0731396	0.0158393	0.00949922	0.00614583	0.0233288	0.00176383	0.00781809	0.013423	0.0362009
a	0.174889	0.689546	0.0541633	0.0153493	0.00693371	0.00375656	0.0187841	0.000553472	0.0036622	0.00440653	0.0279564
l	0.0997687	0.212741	0.394144	0.0563331	0.0506744	0.0277121	0.0179683	0.0186868	0.0175663	0.000555046	0.103851
í	0.0755179	0.0690752	0.183008	0.0727603	0.0541064	0.0613659	0.0486099	0.093988	0.0211593	0.00476649	0.315643
m	0.13739	0.142752	0.25007	0.141028	0.0487709	0.0369348	0.0226773	0.0253779	0.0142953	0.011488	0.169215
b	0.0292399	0.0214056	0.191448	0.432023	0.206381	0.0687242	0.0290886	0.00253335	0.00397428	0.00381293	0.0113701
ώ	0.0165753	0.0123479	0.120443	0.746063	0.0408828	0.0153428	0.0351055	0.00158733	0.000902197	0.000738533	0.0100115
n	0.0348753	0.00843789	0.207323	0.65848	0.04919	0.0129525	0.0159316	0.00161926	0.000779024	0.000102793	0.0103091
d	0.153606	0.196107	0.193499	0.303856	0.0341122	0.0144383	0.0462345	0.00611401	0.00676357	0.00199506	0.0432746
ώ	0.0718423	0.251307	0.235465	0.345983	0.0351123	0.00877508	0.0236721	0.00235365	0.00451545	0.00194566	0.0190278
í	0.0302156	0.0536487	0.251666	0.320574	0.172127	0.0735994	0.0414474	0.0170075	0.025542	0.000870965	0.0133012
s	0.0167224	0.0133137	0.0849265	0.124581	0.296664	0.228721	0.0662069	0.0852821	0.0293254	0.033403	0.0208543
ω	0.0082579	0.00720816	0.0306841	0.0678604	0.0969975	0.192691	0.18474	0.0598565	0.0840147	0.0907063	0.176983
m	0.00599065	0.00497366	0.062086	0.138026	0.109533	0.192159	0.211671	0.095547	0.0503877	0.0284368	0.101188
i	0.0110793	0.00330377	0.0575335	0.262893	0.142908	0.0598307	0.1588	0.0281509	0.0363663	0.0137577	0.225377
n	0.00321134	0.00255398	0.0597216	0.0735327	0.147507	0.109424	0.192575	0.165555	0.148174	0.00673414	0.0910111
i	0.00750696	0.0113987	0.0296141	0.0782931	0.0729402	0.0654984	0.375537	0.06606	0.0614454	0.0327764	0.19893
ó	0.000411675	0.00113741	0.0130774	0.0342865	0.0649917	0.130531	0.215694	0.159044	0.144048	0.034096	0.202682
n	0.0162363	0.00992669	0.0185219	0.0144215	0.0513749	0.0842475	0.0777547	0.265902	0.135908	0.198539	0.127167
g	0.0103751	0.0156603	0.0213489	0.0272065	0.0266156	0.0378439	0.169758	0.0203834	0.0843656	0.317922	0.26852
a	0.000627514	0.0085727	0.0141771	0.0383211	0.0257264	0.0494609	0.212505	0.0414322	0.0507592	0.482565	0.0758528
n	0.000147337	0.00104857	0.0114209	0.0370073	0.0242923	0.0621819	0.157912	0.0750345	0.109135	0.157947	0.363873
y	0.00213746	0.00762986	0.00965351	0.0133351	0.0173713	0.026533	0.159501	0.031052	0.167593	0.282123	0.283071
a	0.000510925	0.00327399	0.00303049	0.00527588	0.00873672	0.0243678	0.204378	0.0525737	0.121274	0.238185	0.338394
l	0.000192472	0.000458927	0.00279596	0.0063777	0.0160976	0.0346216	0.0842781	0.166221	0.16161	0.0700724	0.457274
a	0.00198502	0.00325057	0.0104629	0.0146157	0.0166526	0.0261891	0.0726276	0.0669408	0.165916	0.110811	0.510549
p	0.000344738	0.000752228	0.00611915	0.00676696	0.00968554	0.0134318	0.0418683	0.0722759	0.303456	0.0749296	0.47037
ó	0.0011221	0.00377389	0.0162353	0.0140794	0.0289325	0.0368781	0.0537022	0.398436	0.21271	0.0411134	0.193017
a	0.000518774	0.000379534	0.00134818	0.00717619	0.0114281	0.0289052	0.101955	0.347109	0.0349844	0.0149287	0.451267
</S>	0.00176453	0.000927001	0.00795101	0.00899146	0.0205268	0.0260496	0.0386231	0.038253	0.171592	0.0689607	0.616361
