 	c'	est	une	très	belle	femme	</S>
é	0.669174	0.279309	0.0222008	0.00689548	0.0215162	0.000253681	0.000650804
d	0.12774	0.765326	0.0620813	0.0373586	0.00295624	0.00331917	0.00121894
í	0.0687995	0.446544	0.310054	0.0857039	0.00563171	0.0394099	0.0438563
e	0.0347345	0.221277	0.373638	0.0998713	0.0752954	0.0125146	0.182669
p	0.00473901	0.0331317	0.486756	0.347249	0.0468437	0.0292622	0.0520178
f	0.00115539	0.0150107	0.127899	0.76316	0.019451	0.00894044	0.064384
u	0.000936815	0.0187407	0.273628	0.657168	0.015797	0.00142266	0.0323067
a	0.00806581	0.0193587	0.0546551	0.456852	0.306345	0.0573956	0.097328
y	0.0198131	0.0141596	0.273694	0.196905	0.280897	0.0472793	0.167252
á	0.0531271	0.0391833	0.283533	0.276494	0.205925	0.0551224	0.0866152
o	0.016708	0.00543588	0.0280035	0.0734849	0.723232	0.140269	0.0128668
y	0.00590047	0.0122806	0.129982	0.203877	0.329711	0.164759	0.15349
ú	0.00200884	0.0120506	0.0822385	0.159884	0.212589	0.388617	0.142612
r	0.00547157	0.0066665	0.116807	0.151328	0.24551	0.123302	0.350914
u	0.00366146	0.00393061	0.0867443	0.58085	0.171506	0.0426281	0.110679
</S>	0.00570553	0.00763019	0.111891	0.0905653	0.0954377	0.0107129	0.678057
