 	mes	beaux-parents	boudent	contre	moi	parce	que	j'	ai	refusé	de	leur	donner	de	l'	argent	</S>
a	0.456806	0.500578	0.00431091	0.0196224	0.00245583	0.0102226	0.00247924	0.00139938	0.00113747	4.63227e-05	0.000135595	0.000310938	9.66131e-05	3.91971e-05	0.000329623	2.37711e-05	5.8178e-06
b	0.0676479	0.890563	0.0282006	0.0021168	0.00304127	0.00153478	0.00084069	0.0010092	0.00135056	0.000712495	0.00038994	0.000329529	0.000102947	0.000431963	0.000482439	0.00101709	0.000228638
v	0.0100097	0.923818	0.0334127	0.00547446	0.00291784	0.00693069	0.00320719	0.00398783	0.00165848	0.00224573	0.00130938	0.00121704	0.000268433	0.000331638	0.000848908	0.00192462	0.000437681
ú	0.00774859	0.977483	0.0028954	0.00440197	0.00140919	0.00258554	0.000759875	0.000724507	0.000364624	0.000326784	0.000256931	0.000309925	0.000162025	9.84395e-05	0.000245088	0.000146297	8.19249e-05
ε	0.491183	0.391796	0.0581262	0.032924	0.00661244	0.00906259	0.00174244	0.000441911	0.000990688	0.000485941	0.00126032	0.000582825	0.000530118	0.000909127	0.000711234	0.000985506	0.00165525
b	0.366307	0.378226	0.0317966	0.0194411	0.00783255	0.00913299	0.0166082	0.00556024	0.0138223	0.00666992	0.0231885	0.0177172	0.00999754	0.0182365	0.0155425	0.000376985	0.0595443
ó	0.077369	0.0602346	0.0531373	0.0434067	0.0257298	0.0395384	0.02835	0.00963432	0.0168215	0.0397177	0.0909032	0.0671432	0.124347	0.110103	0.091497	0.0165979	0.10547
b	0.144965	0.0764037	0.263612	0.107914	0.0479572	0.0349613	0.0499381	0.0277469	0.0369661	0.0266987	0.0340146	0.0314259	0.0107117	0.020034	0.051117	0.00450679	0.0310268
á	0.420667	0.239968	0.0853572	0.0926986	0.0337997	0.0214653	0.0127032	0.0049165	0.00725922	0.0106195	0.011573	0.00992241	0.0240819	0.00732617	0.00625251	0.00592762	0.00546228
a	0.321485	0.0934038	0.0636049	0.0728436	0.0361811	0.0707632	0.0235857	0.0216553	0.0255214	0.0194551	0.0329835	0.05211	0.0536437	0.0244418	0.0292663	0.0212678	0.0377876
f	0.00561492	0.0177186	0.899493	0.0324499	0.00325358	0.00331025	0.0029529	0.000952328	0.00158435	0.00288763	0.00379203	0.00152759	0.00480517	0.00475124	0.00210936	0.000124424	0.0126724
u	0.00236487	0.0299208	0.927121	0.0208145	0.00160933	0.00543852	0.00130673	0.000163959	0.000361015	0.00132947	0.00196649	0.000481557	0.002786	0.00145194	0.000363495	0.000226953	0.00229316
u	0.00334256	0.00339546	0.97485	0.00671048	0.000557033	0.00143804	0.000174249	3.15096e-05	7.4353e-05	0.000468498	0.000886597	0.0002976	0.000594694	0.00220269	0.000807179	0.000147957	0.00402117
l	0.0130072	0.00532641	0.407258	0.298431	0.0358667	0.0328271	0.012946	0.00179878	0.00437039	0.00167048	0.0268883	0.0194646	0.00771495	0.0304347	0.0248375	0.00170546	0.0754529
á	0.0367848	0.00261095	0.10006	0.341568	0.129371	0.102687	0.0489223	0.0157373	0.0159326	0.00664934	0.0320214	0.0366921	0.0101084	0.0203642	0.0269958	0.00288971	0.0706056
l	0.00305394	0.000717647	0.0477085	0.436411	0.254176	0.139388	0.038822	0.0203978	0.0126793	0.00569026	0.00538621	0.00902907	0.00261128	0.00341671	0.0128057	0.00560651	0.00209923
