 	les	hommes	partent	chasser	le	bouc	</S>
a	0.677333	0.309713	0.00111476	0.000182074	0.000515981	0.0110741	6.68671e-05
b	0.316179	0.519999	0.0951703	0.0191617	0.00915294	0.0377593	0.00257722
a	0.227308	0.514999	0.14438	0.0374009	0.0052968	0.0593166	0.0112978
a	0.10315	0.608869	0.136315	0.0423086	0.00901014	0.00460584	0.0957412
b	0.280589	0.234183	0.373808	0.0193702	0.0508243	0.000104152	0.041122
á	0.102979	0.133084	0.437518	0.0710617	0.209574	0.00193982	0.0438438
a	0.220616	0.510168	0.196956	0.0493006	0.0101601	0.0019778	0.0108212
d	0.00341501	0.00181692	0.609754	0.362284	0.0153436	0.000249261	0.00713693
z	0.000628912	9.88208e-05	0.528055	0.457158	0.00418969	0.000139153	0.00973036
w	0.00551853	0.000181009	0.455406	0.533318	0.00293073	0.000363678	0.00228161
á	0.00405201	0.000621041	0.491405	0.278044	0.151026	0.000466759	0.0743847
o	0.0218882	0.00347118	0.157917	0.533547	0.18953	0.0319892	0.0616581
b	0.00562433	0.00160142	0.153752	0.684159	0.137303	0.00249382	0.0150666
e	0.00260156	0.00361926	0.154035	0.62119	0.190887	0.00172372	0.0259435
n	0.00139875	0.000571824	0.253857	0.57819	0.127934	0.00285866	0.0351901
g	0.0126466	0.000224597	0.139185	0.435708	0.258775	0.00421547	0.149245
á	0.0261777	0.00343809	0.182936	0.333764	0.126345	0.0172957	0.310043
m	0.00670258	0.00155597	0.0139684	0.0502968	0.398529	0.396511	0.132436
b	0.00454374	0.000811841	0.0013674	0.00356908	0.0218352	0.887747	0.0801263
ó	0.000350689	7.85152e-05	0.000420114	0.00312256	0.00201921	0.989063	0.00494618
s	0.00173853	0.000141741	0.00747121	0.0128518	0.0067497	0.947886	0.0231611
i	0.00502665	0.000535438	0.0239292	0.0856405	0.0683571	0.352341	0.464171
</S>	0.00414723	0.000686407	0.0103187	0.0222424	0.0772403	0.0442728	0.841092
