 	elle	remplit	son	verre	jusqu'	au	bord	</S>
w	0.994908	0.0014626	0.00264635	1.41989e-05	6.37661e-05	0.000800227	8.5961e-05	1.87544e-05
a	0.968945	0.00200251	0.0255181	1.12449e-05	0.000188824	0.00298354	0.000341882	8.86168e-06
l	0.672679	0.273587	0.039779	0.00289688	0.00289391	0.00450303	0.00070236	0.00295826
á	0.154991	0.131659	0.276762	0.103907	0.0312069	0.0197142	0.0079003	0.273859
a	0.457328	0.240298	0.0963305	0.0322416	0.0118395	0.0211765	0.0126053	0.128181
n	0.0193164	0.854431	0.0177226	0.101248	0.00295699	0.000728595	0.000651658	0.00294423
y	0.0654817	0.899981	0.0155109	0.0162441	0.000274783	0.000295106	6.16421e-05	0.00215046
á	0.0409947	0.914673	0.0287843	0.0126111	0.000953228	0.000557614	6.06193e-05	0.00136547
á	0.0422317	0.365017	0.379322	0.103188	0.033444	0.00964602	0.00946018	0.0576911
s	0.0309316	0.0359178	0.866515	0.0267375	0.0209958	0.00940483	0.00388667	0.00561064
á	0.0361904	0.0193279	0.807084	0.0674925	0.0327866	0.00802578	0.00309949	0.0259938
e	0.0415007	0.00735531	0.85181	0.0699654	0.0125967	0.00875753	0.00447657	0.0035382
w	0.000825913	0.00219262	0.0554368	0.892096	0.0312914	0.00304961	0.00748565	0.00762201
á	0.00114454	0.00314642	0.0381069	0.635024	0.278363	0.00779333	0.0259804	0.0104417
l	0.00171254	0.00592964	0.0819472	0.496485	0.232535	0.0128963	0.0308616	0.137633
á	0.00355557	0.0192269	0.0877805	0.52891	0.261918	0.00596716	0.00540601	0.0872358
y	0.00718603	0.00456507	0.182631	0.172682	0.353444	0.18937	0.0276285	0.0624938
á	0.0351643	0.00962531	0.199047	0.0620291	0.283492	0.178125	0.0426304	0.189887
w	0.0396462	0.0117684	0.185115	0.0444339	0.184463	0.327246	0.151631	0.0556972
a	0.114444	0.00332714	0.20281	0.0292952	0.286628	0.20442	0.114369	0.0447073
ó	0.00234242	0.000246583	0.0253435	0.0416	0.145969	0.488342	0.227301	0.0688553
t	0.00222033	0.00148954	0.0336088	0.0617762	0.0687295	0.338872	0.442827	0.0504766
s	0.000406028	0.000776599	0.00572756	0.0374857	0.168438	0.119427	0.567408	0.10033
ώ	0.000113503	0.00037905	0.00189506	0.00952754	0.185972	0.090858	0.674609	0.0366461
b	0.000169941	0.000423383	0.0083134	0.0102667	0.0964305	0.115312	0.231039	0.538044
a	0.00439344	0.000549259	0.0058485	0.00557201	0.251687	0.102811	0.532805	0.0963334
</S>	0.00146389	0.000333177	0.0102916	0.0114015	0.0407539	0.100172	0.435391	0.400193
