 	les	ananas	qu'	il	vend	sont	restés	seuls	</S>
i	0.750576	0.0406205	0.103955	0.0278105	0.062921	0.0084287	0.00222741	0.00300871	0.000451948
t	0.0390295	0.923808	0.00811147	0.00243594	0.017265	0.000480497	0.00154513	0.00657484	0.000749394
o	0.00234519	0.982501	0.00947307	0.00270884	0.00166539	0.000185838	0.000244258	0.000101963	0.000774813
ó	0.00213951	0.979086	0.0111965	0.000599396	0.00561362	0.000156487	0.000610411	0.000186691	0.000411359
b	0.341269	0.0455071	0.475273	0.0837386	0.0228834	0.0112706	0.00191358	0.00274999	0.0153954
í	0.0469148	0.0119556	0.24009	0.206457	0.0623146	0.0354274	0.0100829	0.0372101	0.349548
í	0.0567037	0.0324981	0.562286	0.216581	0.0211986	0.0257592	0.00318587	0.0102173	0.0715698
k	0.00588821	0.00459295	0.0544236	0.237376	0.498466	0.06461	0.0438853	0.0137056	0.0770526
i	0.00381457	0.0487718	0.0285114	0.209284	0.600428	0.0372603	0.0277796	0.00569452	0.0384559
r	0.00254825	0.0202251	0.0338289	0.176288	0.71503	0.0122897	0.0206833	0.00424272	0.0148636
á	0.0598195	0.0610088	0.110833	0.281679	0.288573	0.0727539	0.00996453	0.00616006	0.109209
w	0.0338121	0.00491858	0.26378	0.320966	0.0952675	0.229733	0.0103759	0.0150172	0.02613
a	0.0978035	0.00565946	0.140141	0.473034	0.056459	0.115583	0.0084037	0.0197955	0.0831213
í	0.0140738	0.00174758	0.13916	0.158877	0.0516839	0.52876	0.0149963	0.0353185	0.0553837
b	0.0036664	0.0103184	0.0254856	0.0468919	0.176908	0.321518	0.312271	0.0577453	0.0451956
v	0.000803561	0.00164797	0.00121526	0.00991879	0.313721	0.0745856	0.405962	0.157253	0.0348931
u	0.00111061	0.000587879	0.00383847	0.0255014	0.367208	0.16947	0.163251	0.210889	0.0581436
u	0.00131675	0.000236132	0.00127403	0.00627089	0.0384308	0.109565	0.149305	0.295886	0.397715
b	0.0044193	0.000753017	0.00421366	0.00811364	0.00745069	0.0963075	0.105263	0.462568	0.310911
í	0.00390843	0.00195159	0.00364516	0.0109276	0.0465474	0.135238	0.0752061	0.614404	0.108171
a	0.00222986	0.00131897	0.00192149	0.00420894	0.0425482	0.0360771	0.015878	0.462472	0.433346
m	0.000951814	0.000264269	0.00553061	0.00571623	0.00457613	0.0564053	0.0223009	0.292438	0.611816
έ	0.0558521	0.00428858	0.0131676	0.00620693	0.000645173	0.0825348	0.0209969	0.204472	0.611836
n	0.00305081	0.000795615	0.00318793	0.00402921	0.00632804	0.160769	0.0270571	0.190145	0.604637
έ	0.0056435	0.000321645	0.00245721	0.00171788	0.000212019	0.0187131	0.000999699	0.221703	0.748232
</S>	0.000441012	9.46497e-05	0.00381594	0.00154964	7.38678e-05	0.016407	0.00111253	0.104904	0.871601
