 	je	vais	couper	cet	arbre	qui	est	derrière	la	maison	</S>
n	0.935653	0.0335171	0.0131563	0.00272731	0.00799414	0.00377437	0.00157565	0.000157055	0.00119421	0.00012708	0.000124076
g	0.993027	0.000890307	0.000345207	0.000106389	8.82952e-05	5.69746e-05	0.000126201	0.00458322	0.000353795	0.000399225	2.33861e-05
á	0.935098	0.0473425	0.00581999	0.00104906	0.000429403	0.000373025	0.000766153	0.00667013	0.00020778	0.00222778	1.61167e-05
í	0.112866	0.165442	0.038524	0.057541	0.0147248	0.020609	0.0611757	0.0191056	0.0449765	0.0620358	0.403
m	0.0233794	0.469349	0.437822	0.0225468	0.00338653	0.0036042	0.0071843	0.0034418	0.00149226	0.00084296	0.0269512
o	0.000301034	0.339913	0.41728	0.158042	0.0242216	0.0173739	0.0214414	0.000393253	0.00104864	0.000212875	0.0197728
k	0.00345772	0.405772	0.43033	0.0973696	0.0132117	0.0106504	0.00606947	0.00146077	0.00101025	0.000373606	0.0302937
y	0.000465936	0.0866803	0.823693	0.0571523	0.0166773	0.00804181	0.00129785	0.00193034	0.00061269	0.000169189	0.0032789
é	0.000144007	0.044616	0.84575	0.0782071	0.0181862	0.00812899	0.00155317	0.000855291	0.000294712	0.000100565	0.00216416
n	0.00149067	0.00367919	0.459733	0.161176	0.165071	0.0598296	0.0331992	0.00738499	0.0347458	0.0127713	0.0609195
á	0.00457194	0.00640725	0.589209	0.190108	0.0894473	0.0316125	0.0171277	0.00733996	0.021673	0.0235134	0.0189897
i	0.00117918	0.00180878	0.0850497	0.264609	0.354523	0.176965	0.0418517	0.0161619	0.0181264	0.0239978	0.0157277
b	0.00103548	0.00101193	0.0785461	0.299002	0.432196	0.140337	0.013832	0.0138128	0.00307932	0.00777031	0.00937709
v	0.000169736	0.000402712	0.0668533	0.121048	0.649158	0.145243	0.0109514	0.000676552	0.00072346	0.00049988	0.00427346
ú	7.34521e-06	0.000264316	0.055627	0.0719497	0.751304	0.109867	0.00749259	0.000447331	0.000542549	0.000256995	0.0022419
a	0.000621798	0.000254885	0.0460451	0.185788	0.426889	0.301828	0.0226884	0.00333319	0.00968005	0.000551804	0.00232008
l	7.40581e-05	0.000499268	0.00867254	0.0555658	0.205433	0.315658	0.33631	0.0265756	0.028491	0.00171623	0.0210041
í	0.0033373	0.00165087	0.00730535	0.030518	0.0265987	0.116868	0.224489	0.144312	0.174947	0.0499517	0.220023
í	0.00132381	0.000526011	0.0015822	0.0187979	0.0238023	0.0956017	0.154929	0.35846	0.190068	0.099161	0.0557491
d	0.000987038	0.00582634	0.015187	0.0337415	0.0398706	0.103603	0.242972	0.328161	0.138608	0.0363306	0.0547135
i	0.000425042	0.00734863	0.000659403	0.0164648	0.0203262	0.151449	0.30085	0.0412912	0.107859	0.0322297	0.321097
ó	0.000126059	0.000959415	0.000807092	0.0158869	0.0674751	0.27676	0.362916	0.033944	0.140595	0.0131464	0.0873842
n	0.000320444	0.000977779	0.0117381	0.0117572	0.0183998	0.0288308	0.0764377	0.314	0.29541	0.0964503	0.145678
g	0.000844465	0.00123909	0.000562786	0.00218926	0.0012105	0.00446433	0.0185705	0.425242	0.163274	0.255212	0.127192
ω	0.000258227	5.67409e-05	0.000138454	0.00106078	0.000939945	0.00198485	0.00487771	0.630109	0.0841224	0.251617	0.0248354
n	4.08253e-06	2.41615e-05	0.00109309	0.00399897	0.0063949	0.0140292	0.0271029	0.226784	0.444921	0.0270606	0.248587
g	2.19456e-05	0.000146409	0.00310344	0.00641095	0.0060634	0.0192878	0.0707591	0.326354	0.273061	0.0830373	0.211755
ω	4.27027e-05	1.22748e-05	0.000239699	0.000550717	0.00061513	0.0032134	0.00978821	0.479008	0.229838	0.218317	0.0583754
y	4.48156e-05	5.65326e-05	0.00155569	0.00409545	0.00775448	0.0136384	0.0601423	0.0410883	0.41713	0.131096	0.323397
á	0.000302522	0.000248715	0.00207101	0.0157609	0.010913	0.0210717	0.0334635	0.0685838	0.595274	0.139285	0.113026
n	0.00328114	0.000225441	0.000553888	0.00567814	0.00329963	0.00531674	0.0139912	0.00547919	0.174477	0.747623	0.0400751
d	0.000673475	1.50018e-06	1.29177e-05	4.29294e-05	5.10409e-05	0.000128069	0.000367196	0.0110637	0.0181188	0.96309	0.00645007
é	0.000572966	0.000107301	7.45641e-05	0.000278299	9.07232e-05	0.000319015	0.00136828	0.149974	0.0325106	0.752928	0.061776
e	2.42975e-05	4.45338e-05	0.000136815	0.000961348	0.000278445	0.00139688	0.00850714	0.217851	0.149332	0.198918	0.422551
d	0.000109446	0.000266013	0.00275795	0.00670721	0.00654823	0.00883965	0.0367728	0.0433726	0.353987	0.0888376	0.451801
í	8.27698e-06	0.000170828	0.000361363	0.00422985	0.00122927	0.00328138	0.0134646	0.00632469	0.157042	0.0466951	0.767193
</S>	5.48974e-05	0.000547542	0.00168134	0.00681557	0.00609008	0.00656588	0.0356502	0.00589668	0.300718	0.038589	0.597391
