 	il	bascula	en	arrière	</S>
w	0.778684	0.213073	0.00761303	0.000525245	0.000104742
a	0.966608	0.00848577	0.0241552	0.000519628	0.000231448
a	0.737397	0.118618	0.0913572	0.0081573	0.0444706
k	0.130381	0.560055	0.217335	0.00382318	0.0884056
a	0.0173848	0.921881	0.0214412	0.00268933	0.036604
l	0.00897624	0.868382	0.0624576	0.0100139	0.0501707
í	0.099377	0.424625	0.233941	0.0172313	0.224825
í	0.115492	0.0654689	0.642889	0.0453699	0.13078
m	0.0419846	0.0528525	0.823738	0.0533708	0.0280537
ó	0.0184622	0.00423276	0.479416	0.0419887	0.4559
n	0.00279559	0.0100253	0.0747869	0.886955	0.0254368
g	0.00042778	0.000562576	0.0117433	0.938419	0.0488471
ω	0.000168792	0.000382961	0.0036209	0.976413	0.0194142
n	8.11815e-05	0.00014944	0.00463289	0.898093	0.0970433
g	0.000690814	0.000158796	0.0114266	0.596109	0.391615
ω	0.0184392	0.000966707	0.00943322	0.733387	0.237774
</S>	0.0427967	0.00583805	0.162796	0.0806408	0.707929
