 	les	mauvaises	herbes	ont	envahi	toute	la	cour	</S>
m	0.684903	0.229518	0.0615196	0.0143936	0.00174376	0.00274609	0.00466649	0.000352924	0.000156569
v	0.0239606	0.954015	0.00856016	0.00345089	0.00188321	0.000895007	0.00171977	0.000454435	0.00506051
u	0.0227088	0.975899	0.000499576	1.50553e-05	0.00023025	0.000175773	0.000139966	0.000299895	3.15754e-05
m	0.16496	0.576018	0.178654	0.00683061	0.0102148	0.00530357	0.00743943	0.0223282	0.0282506
b	0.270951	0.648785	0.06349	0.00698649	0.00175565	0.00130727	0.00130164	0.000529065	0.00489392
v	0.112593	0.701628	0.13082	0.0019008	0.0131329	0.00638435	0.00434026	0.00478596	0.0244149
ú	0.129585	0.522714	0.240867	0.000649959	0.0191964	0.00808894	0.00604668	0.0102859	0.0625661
é	0.14345	0.0254878	0.419384	0.365984	0.0101741	0.0152124	0.00702276	0.000485238	0.0127994
m	0.0582472	0.013594	0.294222	0.330642	0.168409	0.098194	0.0183195	0.0028479	0.015524
i	0.0854687	0.0262558	0.0627382	0.372596	0.233287	0.0684079	0.0778825	0.00584721	0.0675172
t	0.0064851	0.0118935	0.0290423	0.101063	0.661674	0.105872	0.0282394	0.00512529	0.0506052
ω	0.00107306	0.0038285	0.0118556	0.0198248	0.772676	0.128056	0.0206161	0.00760533	0.0344651
ώ	0.00359563	0.0103894	0.139283	0.0506106	0.513199	0.19578	0.0429126	0.0140608	0.0301681
d	0.0160538	0.00411635	0.0699833	0.108816	0.135486	0.302796	0.309118	0.0307733	0.0228575
z	0.00739813	0.00260417	0.0074052	0.0022762	0.154297	0.207861	0.127445	0.366858	0.123855
a	0.000493454	0.000927537	0.00493184	0.00173603	0.0632225	0.282584	0.111813	0.508423	0.0258687
n	0.00132022	0.001096	0.00802136	0.0119267	0.0428452	0.257521	0.2894	0.24292	0.14495
g	0.00614156	0.00528747	0.00375539	0.00589202	0.122713	0.367741	0.20794	0.162699	0.117832
é	0.00250183	0.0109356	0.0140253	0.00116524	0.20959	0.0820582	0.0506771	0.382977	0.246069
í	0.003122	0.00166181	0.0195508	0.0263424	0.0603797	0.204091	0.33022	0.155658	0.198975
t	0.00443292	0.000619558	0.00720415	0.00704853	0.0167615	0.180706	0.264643	0.265115	0.253469
s	0.001096	0.000284117	0.00824149	0.00409117	0.0403987	0.277977	0.287174	0.195159	0.185579
ω	0.00200956	0.000834823	0.00616973	0.00146476	0.0513824	0.249597	0.288296	0.235764	0.164481
</S>	0.000939401	0.000233172	0.00218046	0.00476971	0.0211947	0.109481	0.162215	0.094305	0.604682
