 	la	plantation	est	au-delà	du	village	</S>
a	0.738892	0.209845	0.0371083	0.00016494	0.0117914	0.0019326	0.000265729
n	0.0857401	0.871275	0.0339073	0.00641464	0.00161004	0.000635577	0.000417704
g	0.01265	0.985339	0.00120873	2.34669e-05	0.000230967	1.18425e-05	0.000536063
o	0.00290143	0.996894	0.000140863	1.41007e-05	1.33981e-05	1.50537e-06	3.46121e-05
n	0.00274323	0.994699	0.00126606	0.000235703	0.000220854	8.51503e-05	0.000749955
d	0.0974478	0.277313	0.345334	0.0177185	0.01046	0.00239627	0.249331
a	0.0893837	0.822532	0.0335844	0.0101053	0.00258522	0.00384662	0.0379623
á	0.172756	0.0572038	0.708716	0.0204916	0.0256739	0.00099263	0.0141658
d	0.0273208	0.0157571	0.450721	0.447489	0.0261239	0.00745303	0.0251352
í	0.0187438	0.00365988	0.275745	0.556604	0.0345355	0.00234407	0.108368
o	0.0195635	0.000655081	0.117495	0.738968	0.0595225	0.00745302	0.0563429
s	0.00366694	0.00247563	0.0130641	0.901504	0.0367283	0.0364994	0.00606188
í	0.000281025	0.000143314	0.00137221	0.994062	0.0014476	0.00112108	0.00157239
á	0.00263521	8.09528e-05	0.0125909	0.924932	0.00717951	0.00387623	0.0487051
l	0.0058627	0.000700893	0.0211027	0.213586	0.517558	0.191584	0.0496063
a	0.00784234	0.0002422	0.0213541	0.180811	0.49685	0.0691592	0.223741
p	0.027952	0.00326758	0.014811	0.0800908	0.451769	0.32473	0.0973792
o	0.00038482	0.000131537	0.000952962	0.00403473	0.00402012	0.981368	0.00910801
o	0.000528292	0.00028175	0.00404709	0.0234185	0.0589837	0.852334	0.0604068
</S>	0.00665216	8.54803e-05	0.00821184	0.0473335	0.274172	0.0311132	0.632432
