 	ils	s'	arrêtèrent	en	bordure	du	village	</S>
b	0.964596	0.0171931	0.00449204	0.0081392	9.45435e-05	0.00529099	5.54047e-05	0.000139012
á	0.916149	0.0590948	0.0102279	0.0121747	0.000103899	0.00196175	0.000113008	0.000174847
a	0.876262	0.112275	0.00432757	0.00575957	0.000109285	0.000185639	5.00525e-05	0.00103062
b	0.180019	0.548261	0.166039	0.0493268	0.00465654	0.00554714	8.90397e-05	0.0460616
á	0.116822	0.521536	0.266793	0.0810551	0.00117203	0.00196371	1.0759e-05	0.0106485
a	0.199472	0.308817	0.3307	0.103663	0.00396365	0.0142199	0.000205408	0.0389589
s	0.000955052	0.246369	0.599906	0.0339115	0.0967086	0.00482729	0.000643342	0.0166791
ú	4.67931e-05	0.0443246	0.935933	0.00544411	0.00986857	0.000274922	4.70671e-05	0.00406123
á	0.00525238	0.133295	0.677893	0.108359	0.0439973	0.00922968	0.00320208	0.0187717
m	0.000349506	0.0227254	0.514657	0.284832	0.0762399	0.0554829	0.0180367	0.0276761
ó	0.0103188	0.0244371	0.174358	0.733712	0.00703505	0.0304273	0.0014076	0.0183035
p	0.00278635	0.00580674	0.0340323	0.374207	0.482468	0.0432941	0.0384427	0.0189631
ε	0.000144911	0.000353386	0.000732895	0.0136479	0.916086	0.00604798	0.0580476	0.00493899
l	0.0003877	0.000997279	0.00866207	0.035146	0.80797	0.0977501	0.0303804	0.0187068
έ	0.000105864	0.00165319	0.00498731	0.0422192	0.791667	0.0965075	0.00423471	0.0586249
m	8.25456e-05	0.00198197	0.00774117	0.175235	0.0475468	0.642843	0.0156546	0.108914
á	0.0068731	0.00706454	0.0207526	0.289055	0.0407644	0.203647	0.0554065	0.376436
p	0.00605231	0.00422033	0.0168939	0.131833	0.00954846	0.104858	0.62407	0.102524
o	0.000169971	0.000280689	0.0011473	0.00517785	0.0837032	0.00912069	0.886424	0.013976
o	8.70742e-05	3.18778e-05	0.000458588	0.00268681	0.0111398	0.0117503	0.915253	0.0585926
</S>	0.000514691	0.00308361	0.0189247	0.0386458	0.00333538	0.0612877	0.0565215	0.817687
