 	je	suis	frappé	d'	un	malheur	</S>
b	0.64165	0.105907	0.140177	0.0792217	0.03162	0.000949577	0.00047474
v	0.0819248	0.0652986	0.595229	0.0872109	0.0870867	0.0808284	0.00242193
ú	0.0423316	0.221999	0.458681	0.0980801	0.0577649	0.0867326	0.0344106
s	0.00683637	0.137147	0.701793	0.118145	0.0217492	0.00559281	0.00873602
á	0.336971	0.195933	0.110128	0.179317	0.0219111	0.0657964	0.0899432
ó	0.138336	0.269924	0.257879	0.142871	0.148302	0.00858948	0.0340988
m	0.0755796	0.517643	0.102289	0.165566	0.0829767	0.0311678	0.0247781
i	0.0241842	0.155081	0.0224568	0.113021	0.247703	0.0727322	0.364822
b	0.00420405	0.140291	0.0442066	0.273519	0.143852	0.0342798	0.359648
h	0.00108682	0.0649933	0.0610305	0.302717	0.0409065	0.0479971	0.481269
í	0.000478112	0.0596308	0.134246	0.378911	0.0380911	0.0435081	0.345134
n	0.00168837	0.0358163	0.125805	0.356646	0.118363	0.0216517	0.34003
d	0.00850305	0.0419057	0.030895	0.281822	0.102104	0.0495668	0.485204
á	0.00351483	0.0281982	0.0220044	0.15298	0.0726021	0.0419908	0.67871
l	0.021686	0.029589	0.047642	0.102203	0.427568	0.226946	0.144366
a	0.0193184	0.0162043	0.00605256	0.101737	0.229855	0.231606	0.395226
n	0.0102681	0.00706847	0.00693759	0.0437317	0.141393	0.681728	0.108873
g	0.0301239	0.00866177	0.00359915	0.0116799	0.0884308	0.71948	0.138024
á	0.0223129	0.00913846	0.00173585	0.00790402	0.0729928	0.726748	0.159169
</S>	0.00134697	0.0100155	0.00993059	0.0506524	0.118209	0.222756	0.587089
